round,date,team_home,team_away,full_text
16,2025-11-17,Platense,Gimnasia L.P.,17.11.2025 | Platense | Gimnasia L.P. | 0 | 3
16,2025-11-17,Barracas Central,Huracan,17.11.2025 | Barracas Central | Huracan | 1 | 1
16,2025-11-17,Belgrano,Union de Santa Fe,17.11.2025 | Belgrano | Union de Santa Fe | 0 | 0
16,2025-11-17,Defensa y Justicia,Ind. Rivadavia,17.11.2025 | Defensa y Justicia | Ind. Rivadavia | 0 | 2
16,2025-11-17,Boca Juniors,Tigre,17.11.2025 | Boca Juniors | Tigre | 2 | 0
16,2025-11-17,Central Cordoba,Banfield,17.11.2025 | Central Cordoba | Banfield | 1 | 1
16,2025-11-17,Estudiantes L.P.,Argentinos Jrs,17.11.2025 | Estudiantes L.P. | Argentinos Jrs | 1 | 2
16,2025-11-17,Newells Old Boys,Racing Club,17.11.2025 | Newells Old Boys | Racing Club | 0 | 1
16,2025-11-16,Instituto,Talleres Cordoba,16.11.2025 | Instituto | Talleres Cordoba | 0 | 0
16,2025-11-16,Velez Sarsfield,River Plate,16.11.2025 | Velez Sarsfield | River Plate | 0 | 0
16,2025-11-16,Independiente,Rosario Central,16.11.2025 | Independiente | Rosario Central | 1 | 0
16,2025-11-15,San Lorenzo,Sarmiento Junin,15.11.2025 | San Lorenzo | Sarmiento Junin | 1 | 1
16,2025-11-15,Aldosivi,San Martin S.J.,15.11.2025 | Aldosivi | San Martin S.J. | 4 | 2
16,2025-11-15,Godoy Cruz,Dep. Riestra,15.11.2025 | Godoy Cruz | Dep. Riestra | 1 | 1
16,2025-11-15,Lanus,Atl. Tucuman,15.11.2025 | Lanus | Atl. Tucuman | 3 | 1
15,2025-11-11,Argentinos Jrs,Belgrano,11.11.2025 | Argentinos Jrs | Belgrano | 1 | 0
15,2025-11-11,Ind. Rivadavia,Central Cordoba,11.11.2025 | Ind. Rivadavia | Central Cordoba | 0 | 0
15,2025-11-10,Dep. Riestra,Independiente,10.11.2025 | Dep. Riestra | Independiente | 0 | 1
15,2025-11-10,Gimnasia L.P.,Velez Sarsfield,10.11.2025 | Gimnasia L.P. | Velez Sarsfield | 2 | 0
15,2025-11-10,Atl. Tucuman,Godoy Cruz,10.11.2025 | Atl. Tucuman | Godoy Cruz | 2 | 1
15,2025-11-10,Tigre,Estudiantes L.P.,10.11.2025 | Tigre | Estudiantes L.P. | 1 | 0
15,2025-11-09,Banfield,Aldosivi,09.11.2025 | Banfield | Aldosivi | 0 | 1
15,2025-11-09,Sarmiento Junin,Instituto,09.11.2025 | Sarmiento Junin | Instituto | 2 | 1
15,2025-11-09,Boca Juniors,River Plate,09.11.2025 | Boca Juniors | River Plate | 2 | 0
15,2025-11-09,San Martin S.J.,Lanus,09.11.2025 | San Martin S.J. | Lanus | 1 | 1
15,2025-11-09,Union de Santa Fe,Barracas Central,09.11.2025 | Union de Santa Fe | Barracas Central | 0 | 0
15,2025-11-08,Talleres Cordoba,Platense,08.11.2025 | Talleres Cordoba | Platense | 1 | 0
15,2025-11-08,Huracan,Newells Old Boys,08.11.2025 | Huracan | Newells Old Boys | 0 | 2
15,2025-11-08,Racing Club,Defensa y Justicia,08.11.2025 | Racing Club | Defensa y Justicia | 1 | 0
15,2025-11-08,Rosario Central,San Lorenzo,08.11.2025 | Rosario Central | San Lorenzo | 0 | 0
14,2025-11-04,Banfield,Lanus,04.11.2025 | Banfield | Lanus | 2 | 1
14,2025-11-04,Belgrano,Tigre,04.11.2025 | Belgrano | Tigre | 0 | 0
14,2025-11-03,Central Cordoba,Racing Club,03.11.2025 | Central Cordoba | Racing Club | 0 | 0
14,2025-11-03,Defensa y Justicia,Huracan,03.11.2025 | Defensa y Justicia | Huracan | 1 | 3
14,2025-11-03,Platense,Sarmiento Junin,03.11.2025 | Platense | Sarmiento Junin | 1 | 1
14,2025-11-03,River Plate,Gimnasia L.P.,03.11.2025 | River Plate | Gimnasia L.P. | 0 | 1
14,2025-11-02,Godoy Cruz,San Martin S.J.,02.11.2025 | Godoy Cruz | San Martin S.J. | 0 | 0
14,2025-11-02,Estudiantes L.P.,Boca Juniors,02.11.2025 | Estudiantes L.P. | Boca Juniors | 1 | 2
