round,date,team_home,team_away,full_text
16,2025-05-05,River Plate,Velez Sarsfield,05.05.2025 | River Plate | Velez Sarsfield | 4 | 1
16,2025-05-04,Tigre,Boca Juniors,04.05.2025 | Tigre | Boca Juniors | 1 | 1
16,2025-05-04,Gimnasia L.P.,Platense,04.05.2025 | Gimnasia L.P. | Platense | 1 | 0
16,2025-05-04,San Martin S.J.,Aldosivi,04.05.2025 | San Martin S.J. | 2 | Aldosivi | 0 | 3
16,2025-05-04,Atl. Tucuman,Lanus,04.05.2025 | Atl. Tucuman | Lanus | 1 | 0
16,2025-05-04,Huracan,Barracas Central,04.05.2025 | Huracan | Barracas Central | 0 | 1
16,2025-05-03,Rosario Central,Independiente,03.05.2025 | Rosario Central | Independiente | 1 | 0
16,2025-05-03,Dep. Riestra,Godoy Cruz,03.05.2025 | Dep. Riestra | Godoy Cruz | 3 | 0
16,2025-05-03,Sarmiento Junin,San Lorenzo,03.05.2025 | Sarmiento Junin | San Lorenzo | 1 | 1
16,2025-05-03,Talleres Cordoba,Instituto,03.05.2025 | Talleres Cordoba | Instituto | 1 | 2
16,2025-05-02,Union de Santa Fe,Belgrano,02.05.2025 | Union de Santa Fe | Belgrano | 1 | 1
16,2025-05-02,Argentinos Jrs,Estudiantes L.P.,02.05.2025 | Argentinos Jrs | Estudiantes L.P. | 4 | 0
16,2025-05-02,Banfield,Central Cordoba,02.05.2025 | Banfield | Central Cordoba | 3 | 1
16,2025-05-02,Ind. Rivadavia,Defensa y Justicia,02.05.2025 | Ind. Rivadavia | Defensa y Justicia | 3 | 2
16,2025-05-02,Racing Club,Newells Old Boys,02.05.2025 | Racing Club | Newells Old Boys | 1 | 0
14,2025-05-01,Atl. Tucuman,Independiente,01.05.2025 | Atl. Tucuman | Independiente | 2 | 0
15,2025-04-30,Newells Old Boys,Huracan,30.04.2025 | Newells Old Boys | Huracan | 2 | 0
15,2025-04-30,Platense,Talleres Cordoba,30.04.2025 | Platense | Talleres Cordoba | 2 | 1
15,2025-04-29,Central Cordoba,Ind. Rivadavia,29.04.2025 | Central Cordoba | Ind. Rivadavia | 1 | 2
15,2025-04-29,Velez Sarsfield,Gimnasia L.P.,29.04.2025 | Velez Sarsfield | Gimnasia L.P. | 1 | 0
15,2025-04-29,Defensa y Justicia,Racing Club,29.04.2025 | Defensa y Justicia | Racing Club | 1 | 2
15,2025-04-29,Estudiantes L.P.,Tigre,29.04.2025 | Estudiantes L.P. | Tigre | 0 | 0
15,2025-04-28,Godoy Cruz,Atl. Tucuman,28.04.2025 | Godoy Cruz | Atl. Tucuman | 1 | 0
15,2025-04-28,Barracas Central,Union de Santa Fe,28.04.2025 | Barracas Central | Union de Santa Fe | 2 | 1
15,2025-04-28,Independiente,Dep. Riestra,28.04.2025 | Independiente | Dep. Riestra | 0 | 0
15,2025-04-28,Instituto,Sarmiento Junin,28.04.2025 | Instituto | Sarmiento Junin | 1 | 1
15,2025-04-28,Lanus,San Martin S.J.,28.04.2025 | Lanus | San Martin S.J. | 1 | 0
15,2025-04-27,River Plate,Boca Juniors,27.04.2025 | River Plate | Boca Juniors | 2 | 1
15,2025-04-27,Belgrano,Argentinos Jrs,27.04.2025 | Belgrano | Argentinos Jrs | 1 | 1
15,2025-04-26,San Lorenzo,Rosario Central,26.04.2025 | San Lorenzo | Rosario Central | 0 | 1
15,2025-04-26,Aldosivi,Banfield,26.04.2025 | Aldosivi | Banfield | 2 | 1
14,2025-04-23,Ind. Rivadavia,Aldosivi,23.04.2025 | Ind. Rivadavia | Aldosivi | 1 | 0
14,2025-04-23,Argentinos Jrs,Barracas Central,23.04.2025 | Argentinos Jrs | Barracas Central | 3 | 0
14,2025-04-23,Tigre,Belgrano,23.04.2025 | Tigre | Belgrano | 0 | 0
