round,date,team_home,team_away,full_text
29,04.05.2025,Melbourne Victory,Newcastle Jets,04.05.2025 | Melbourne Victory | Newcastle Jets | 1 | 1
29,04.05.2025,Wellington Phoenix,Perth Glory,04.05.2025 | Wellington Phoenix | Perth Glory | 0 | 2
29,03.05.2025,Macarthur FC,WS Wanderers,03.05.2025 | Macarthur FC | WS Wanderers | 1 | 3
29,03.05.2025,Western United,Auckland FC,03.05.2025 | Western United | Auckland FC | 4 | 2
29,03.05.2025,Melbourne City,Sydney FC,03.05.2025 | Melbourne City | Sydney FC | 5 | 1
29,02.05.2025,Central Coast Mariners,Brisbane Roar,02.05.2025 | Central Coast Mariners | Brisbane Roar | 1 | 2
28,27.04.2025,Western United,Sydney FC,27.04.2025 | Western United | Sydney FC | 1 | 0
28,27.04.2025,Auckland FC,Perth Glory,27.04.2025 | Auckland FC | Perth Glory | 1 | 0
28,26.04.2025,Melbourne City,Adelaide United,26.04.2025 | Melbourne City | Adelaide United | 0 | 0
28,26.04.2025,Newcastle Jets,WS Wanderers,26.04.2025 | Newcastle Jets | WS Wanderers | 0 | 1
28,26.04.2025,Brisbane Roar,Wellington Phoenix,26.04.2025 | Brisbane Roar | Wellington Phoenix | 1 | 0
28,25.04.2025,Macarthur FC,Melbourne Victory,25.04.2025 | Macarthur FC | Melbourne Victory | 1 | 2
16,22.04.2025,Brisbane Roar,Adelaide United,22.04.2025 | Brisbane Roar | Adelaide United | 1 | 1
27,20.04.2025,Central Coast Mariners,Macarthur FC,20.04.2025 | Central Coast Mariners | Macarthur FC | 2 | 2
27,20.04.2025,Sydney FC,Newcastle Jets,20.04.2025 | Sydney FC | Newcastle Jets | 3 | 2
27,19.04.2025,WS Wanderers,Melbourne City,19.04.2025 | WS Wanderers | Melbourne City | 2 | 2
27,19.04.2025,Melbourne Victory,Auckland FC,19.04.2025 | Melbourne Victory | Auckland FC | 0 | 2
27,18.04.2025,Adelaide United,Wellington Phoenix,18.04.2025 | Adelaide United | Wellington Phoenix | 3 | 2
27,17.04.2025,Brisbane Roar,Western United,17.04.2025 | Brisbane Roar | Western United | 2 | 1
26,13.04.2025,WS Wanderers,Western United,13.04.2025 | WS Wanderers | Western United | 2 | 0
26,12.04.2025,Perth Glory,Adelaide United,12.04.2025 | Perth Glory | Adelaide United | 4 | 1
26,12.04.2025,Newcastle Jets,Central Coast Mariners,12.04.2025 | Newcastle Jets | Central Coast Mariners | 6 | 0
26,12.04.2025,Sydney FC,Auckland FC,12.04.2025 | Sydney FC | Auckland FC | 2 | 2
