round,date,team_home,team_away,full_text
22,16.03.2025,A. Klagenfurt,Altach,16.03.2025 | A. Klagenfurt | Altach | 2 | 2
22,16.03.2025,BW Linz,Hartberg,16.03.2025 | BW Linz | Hartberg | 4 | 1
22,16.03.2025,Salzburg,Wolfsberger AC,16.03.2025 | Salzburg | Wolfsberger AC | 1 | 0
22,16.03.2025,SK Rapid,Grazer AK,16.03.2025 | SK Rapid | Grazer AK | 3 | 0
22,16.03.2025,Sturm Graz,LASK,16.03.2025 | Sturm Graz | LASK | 4 | 2
22,16.03.2025,Tirol,Austria Vienna,16.03.2025 | Tirol | Austria Vienna | 0 | 2
21,09.03.2025,Hartberg,SK Rapid,09.03.2025 | Hartberg | SK Rapid | 2 | 1
21,09.03.2025,Grazer AK,Sturm Graz,09.03.2025 | Grazer AK | Sturm Graz | 1 | 2
21,09.03.2025,Altach,Salzburg,09.03.2025 | Altach | Salzburg | 1 | 1
21,09.03.2025,Austria Vienna,A. Klagenfurt,09.03.2025 | Austria Vienna | A. Klagenfurt | 2 | 0
21,09.03.2025,LASK,Tirol,09.03.2025 | LASK | Tirol | 2 | 1
21,09.03.2025,Wolfsberger AC,BW Linz,09.03.2025 | Wolfsberger AC | BW Linz | 1 | 2
20,02.03.2025,Salzburg,Sturm Graz,02.03.2025 | Salzburg | Sturm Graz | 3 | 1
20,02.03.2025,A. Klagenfurt,LASK,02.03.2025 | A. Klagenfurt | LASK | 1 | 2
20,02.03.2025,BW Linz,Tirol,02.03.2025 | BW Linz | Tirol | 2 | 1
20,01.03.2025,Grazer AK,Austria Vienna,01.03.2025 | Grazer AK | Austria Vienna | 1 | 2
20,01.03.2025,Hartberg,Wolfsberger AC,01.03.2025 | Hartberg | Wolfsberger AC | 0 | 3
20,01.03.2025,SK Rapid,Altach,01.03.2025 | SK Rapid | Altach | 5 | 0
19,23.02.2025,LASK,SK Rapid,23.02.2025 | LASK | SK Rapid | 2 | 1
19,23.02.2025,Altach,Hartberg,23.02.2025 | Altach | Hartberg | 0 | 0
19,23.02.2025,Sturm Graz,BW Linz,23.02.2025 | Sturm Graz | BW Linz | 2 | 1
19,22.02.2025,A. Klagenfurt,Grazer AK,22.02.2025 | A. Klagenfurt | Grazer AK | 4 | 2
19,22.02.2025,Austria Vienna,Salzburg,22.02.2025 | Austria Vienna | Salzburg | 0 | 1
19,22.02.2025,Tirol,Wolfsberger AC,22.02.2025 | Tirol | Wolfsberger AC | 3 | 3
18,16.02.2025,Austria Vienna,SK Rapid,16.02.2025 | Austria Vienna | SK Rapid | 2 | 1
18,16.02.2025,Grazer AK,LASK,16.02.2025 | Grazer AK | LASK | 0 | 0
18,16.02.2025,Hartberg,A. Klagenfurt,16.02.2025 | Hartberg | A. Klagenfurt | 1 | 1
18,15.02.2025,BW Linz,Altach,15.02.2025 | BW Linz | Altach | 1 | 3
18,15.02.2025,Salzburg,Tirol,15.02.2025 | Salzburg | Tirol | 1 | 1
18,15.02.2025,Wolfsberger AC,Sturm Graz,15.02.2025 | Wolfsberger AC | Sturm Graz | 3 | 0
17,09.02.2025,LASK,BW Linz,09.02.2025 | LASK | BW Linz | 0 | 0
17,09.02.2025,A. Klagenfurt,Salzburg,09.02.2025 | A. Klagenfurt | Salzburg | 0 | 0
17,09.02.2025,Tirol,Hartberg,09.02.2025 | Tirol | Hartberg | 0 | 0
17,08.02.2025,Altach,Grazer AK,08.02.2025 | Altach | Grazer AK | 1 | 2
17,08.02.2025,SK Rapid,Wolfsberger AC,08.02.2025 | SK Rapid | Wolfsberger AC | 1 | 3
17,07.02.2025,Sturm Graz,Austria Vienna,07.02.2025 | Sturm Graz | Austria Vienna | 2 | 2
6,14.12.2024,Salzburg,A. Klagenfurt,14.12.2024 | Salzburg | A. Klagenfurt | 3 | 0
16,08.12.2024,Austria Vienna,Altach,08.12.2024 | Austria Vienna | Altach | 3 | 0
16,08.12.2024,BW Linz,A. Klagenfurt,08.12.2024 | BW Linz | A. Klagenfurt | 2 | 1
16,08.12.2024,Grazer AK,Hartberg,08.12.2024 | Grazer AK | Hartberg | 0 | 3
16,07.12.2024,Salzburg,SK Rapid,07.12.2024 | Salzburg | SK Rapid | 2 | 2
16,07.12.2024,Tirol,Sturm Graz,07.12.2024 | Tirol | Sturm Graz | 0 | 3
16,07.12.2024,Wolfsberger AC,LASK,07.12.2024 | Wolfsberger AC | LASK | 2 | 1
4,04.12.2024,Salzburg,Hartberg,04.12.2024 | Salzburg | Hartberg | 4 | 0
15,01.12.2024,LASK,Austria Vienna,01.12.2024 | LASK | Austria Vienna | 1 | 3
15,01.12.2024,A. Klagenfurt,Tirol,01.12.2024 | A. Klagenfurt | Tirol | 0 | 3
15,01.12.2024,SK Rapid,BW Linz,01.12.2024 | SK Rapid | BW Linz | 0 | 1
15,30.11.2024,Altach,Sturm Graz,30.11.2024 | Altach | Sturm Graz | 1 | 1
15,30.11.2024,Grazer AK,Wolfsberger AC,30.11.2024 | Grazer AK | 2 | Wolfsberger AC | 3 | 4
15,30.11.2024,Hartberg,Salzburg,30.11.2024 | Hartberg | Salzburg | 1 | 1
14,24.11.2024,Austria Vienna,Hartberg,24.11.2024 | Austria Vienna | Hartberg | 1 | 0
14,24.11.2024,BW Linz,Grazer AK,24.11.2024 | BW Linz | Grazer AK | 1 | 2
14,24.11.2024,Wolfsberger AC,Altach,24.11.2024 | Wolfsberger AC | Altach | 2 | 0
14,23.11.2024,Salzburg,LASK,23.11.2024 | Salzburg | LASK | 1 | 2
14,23.11.2024,Sturm Graz,A. Klagenfurt,23.11.2024 | Sturm Graz | A. Klagenfurt | 7 | 0
14,23.11.2024,Tirol,SK Rapid,23.11.2024 | Tirol | SK Rapid | 0 | 0
13,10.11.2024,SK Rapid,A. Klagenfurt,10.11.2024 | SK Rapid | A. Klagenfurt | 2 | 0
13,10.11.2024,Altach,LASK,10.11.2024 | Altach | LASK | 1 | 2
13,10.11.2024,BW Linz,Salzburg,10.11.2024 | BW Linz | Salzburg | 2 | 0
13,09.11.2024,Grazer AK,Tirol,09.11.2024 | Grazer AK | Tirol | 2 | 1
13,09.11.2024,Hartberg,Sturm Graz,09.11.2024 | Hartberg | Sturm Graz | 1 | 2
