round,date,team_home,team_away,full_text
20,2025-05-25,Alianza,Santa Fe,25.05.2025 | Alianza | Santa Fe | 6 | 1
20,2025-05-25,America De Cali,Ind. Medellin,25.05.2025 | America De Cali | Ind. Medellin | 2 | 0
20,2025-05-25,Atl. Nacional,Junior,25.05.2025 | Atl. Nacional | Junior | 2 | 3
20,2025-05-25,Bucaramanga,Dep. Pasto,25.05.2025 | Bucaramanga | Dep. Pasto | 2 | 1
20,2025-05-25,Deportes Tolima,Aguilas,25.05.2025 | Deportes Tolima | Aguilas | 1 | 2
20,2025-05-25,Millonarios,Chico,25.05.2025 | Millonarios | Chico | 2 | 4 | 2
20,2025-05-25,Once Caldas,Dep. Cali,25.05.2025 | Once Caldas | Dep. Cali | 1 | 0
20,2025-05-24,Fortaleza,U. Magdalena,24.05.2025 | Fortaleza | U. Magdalena | 0 | 1
20,2025-05-24,Envigado,Llaneros,24.05.2025 | Envigado | Llaneros | 1 | 2
20,2025-05-24,Pereira,Inter Bogotá,24.05.2025 | Pereira | Inter Bogotá | 3 | 0
19,2025-05-20,Ind. Medellin,Pereira,20.05.2025 | Ind. Medellin | Pereira | 2 | 0
19,2025-05-20,Llaneros,Deportes Tolima,20.05.2025 | Llaneros | Deportes Tolima | 1 | 3
19,2025-05-19,U. Magdalena,America De Cali,19.05.2025 | U. Magdalena | America De Cali | 0 | 2
19,2025-05-19,Dep. Pasto,Once Caldas,19.05.2025 | Dep. Pasto | Once Caldas | 2 | 1
19,2025-05-18,Aguilas,Atl. Nacional,18.05.2025 | Aguilas | Atl. Nacional | 2 | 1
19,2025-05-18,Chico,Alianza,18.05.2025 | Chico | Alianza | 2 | 1
19,2025-05-18,Dep. Cali,Santa Fe,18.05.2025 | Dep. Cali | Santa Fe | 2 | 0 | 2
19,2025-05-17,Inter Bogotá,Bucaramanga,17.05.2025 | Inter Bogotá | Bucaramanga | 1 | 4
19,2025-05-17,Millonarios,Envigado,17.05.2025 | Millonarios | Envigado | 1 | 0
19,2025-05-17,Junior,Fortaleza,17.05.2025 | Junior | Fortaleza | 2 | 1
13,2025-05-16,Ind. Medellin,Deportes Tolima,16.05.2025 | Ind. Medellin | Deportes Tolima | 0 | 1
18,2025-05-14,Pereira,Dep. Pasto,14.05.2025 | Pereira | Dep. Pasto | 1 | 0
18,2025-05-12,Once Caldas,Millonarios,12.05.2025 | Once Caldas | Millonarios | 2 | 2
18,2025-05-12,Atl. Nacional,Llaneros,12.05.2025 | Atl. Nacional | Llaneros | 2 | 1
18,2025-05-11,Alianza,Dep. Cali,11.05.2025 | Alianza | Dep. Cali | 2 | 0
18,2025-05-11,Santa Fe,Junior,11.05.2025 | Santa Fe | Junior | 2 | 1
18,2025-05-11,Fortaleza,Inter Bogotá,11.05.2025 | Fortaleza | Inter Bogotá | 4 | 0
18,2025-05-10,Envigado,Aguilas,10.05.2025 | Envigado | Aguilas | 0 | 2
18,2025-05-10,Bucaramanga,Ind. Medellin,10.05.2025 | Bucaramanga | Ind. Medellin | 2 | 0
18,2025-05-10,Deportes Tolima,U. Magdalena,10.05.2025 | Deportes Tolima | U. Magdalena | 3 | 1
15,2025-05-09,Millonarios,Pereira,09.05.2025 | Millonarios | Pereira | 0 | 0
17,2025-05-06,Chico,Envigado,06.05.2025 | Chico | Envigado | 1 | 0
17,2025-05-05,Aguilas,Pereira,05.05.2025 | Aguilas | Pereira | 3 | 3
17,2025-05-05,U. Magdalena,Once Caldas,05.05.2025 | Awrd | U. Magdalena | Once Caldas | 0 | 3
17,2025-05-04,Ind. Medellin,Atl. Nacional,04.05.2025 | Ind. Medellin | 2 | Atl. Nacional | 1 | 1
17,2025-05-04,Dep. Pasto,Fortaleza,04.05.2025 | Dep. Pasto | Fortaleza | 1 | 0
17,2025-05-04,Junior,America De Cali,04.05.2025 | Junior | America De Cali | 0 | 0
17,2025-05-04,Dep. Cali,Deportes Tolima,04.05.2025 | Dep. Cali | Deportes Tolima | 1 | 1
17,2025-05-03,Llaneros,Bucaramanga,03.05.2025 | Llaneros | Bucaramanga | 2 | 1
17,2025-05-03,Inter Bogotá,Alianza,03.05.2025 | Inter Bogotá | Alianza | 0 | 2
11,2025-05-01,Envigado,Once Caldas,01.05.2025 | Envigado | Once Caldas | 1 | 2
15,2025-05-01,Llaneros,Santa Fe,01.05.2025 | Llaneros | Santa Fe | 0 | 1
4,2025-05-01,Aguilas,America De Cali,01.05.2025 | Aguilas | America De Cali | 0 | 1
16,2025-04-30,Atl. Nacional,Dep. Pasto,30.04.2025 | Atl. Nacional | Dep. Pasto | 3 | 0
16,2025-04-28,Bucaramanga,Millonarios,28.04.2025 | Bucaramanga | Millonarios | 0 | 2
16,2025-04-28,America De Cali,Dep. Cali,28.04.2025 | America De Cali | Dep. Cali | 2 | 0
16,2025-04-27,Fortaleza,Ind. Medellin,27.04.2025 | Fortaleza | Ind. Medellin | 0 | 0
16,2025-04-27,Santa Fe,Chico,27.04.2025 | Santa Fe | Chico | 0 | 0
16,2025-04-27,Pereira,Junior,27.04.2025 | Pereira | Junior | 1 | 0
16,2025-04-27,Deportes Tolima,Inter Bogotá,27.04.2025 | Deportes Tolima | Inter Bogotá | 2 | 1
16,2025-04-26,Alianza,Aguilas,26.04.2025 | Alianza | Aguilas | 0 | 0
16,2025-04-26,Envigado,U. Magdalena,26.04.2025 | Envigado | U. Magdalena | 2 | 1
15,2025-04-22,Dep. Pasto,Aguilas,22.04.2025 | Dep. Pasto | Aguilas | 1 | 0
