round,date,team_home,team_away,full_text
22,16.03.2025,Brondby,Silkeborg,16.03.2025 | Brondby | Silkeborg | 2 | 2
22,16.03.2025,Lyngby,Nordsjaelland,16.03.2025 | Lyngby | Nordsjaelland | 1 | 0
22,16.03.2025,Midtjylland,Randers FC,16.03.2025 | Midtjylland | Randers FC | 4 | 2
22,16.03.2025,Sonderjyske,Aalborg,16.03.2025 | Sonderjyske | Aalborg | 0 | 3
22,16.03.2025,Vejle,Aarhus,16.03.2025 | Vejle | Aarhus | 3 | 2
22,16.03.2025,Viborg,FC Copenhagen,16.03.2025 | Viborg | FC Copenhagen | 3 | 2
21,10.03.2025,Randers FC,Brondby,10.03.2025 | Randers FC | Brondby | 4 | 2
21,09.03.2025,FC Copenhagen,Sonderjyske,09.03.2025 | FC Copenhagen | Sonderjyske | 1 | 1
21,09.03.2025,Aarhus,Viborg,09.03.2025 | Aarhus | Viborg | 1 | 1
21,09.03.2025,Aalborg,Midtjylland,09.03.2025 | Aalborg | Midtjylland | 1 | 4
21,09.03.2025,Silkeborg,Lyngby,09.03.2025 | Silkeborg | Lyngby | 0 | 1
21,07.03.2025,Nordsjaelland,Vejle,07.03.2025 | Nordsjaelland | Vejle | 3 | 1
20,03.03.2025,Brondby,Lyngby,03.03.2025 | Brondby | Lyngby | 1 | 1
20,02.03.2025,Aalborg,FC Copenhagen,02.03.2025 | Aalborg | FC Copenhagen | 0 | 0
20,02.03.2025,Midtjylland,Nordsjaelland,02.03.2025 | Midtjylland | Nordsjaelland | 2 | 1
20,02.03.2025,Sonderjyske,Silkeborg,02.03.2025 | Sonderjyske | Silkeborg | 1 | 3
20,02.03.2025,Viborg,Vejle,02.03.2025 | Viborg | Vejle | 3 | 1
20,28.02.2025,Randers FC,Aarhus,28.02.2025 | Randers FC | Aarhus | 1 | 1
18,26.02.2025,Aalborg,Nordsjaelland,26.02.2025 | Aalborg | Nordsjaelland | 1 | 2
19,24.02.2025,Viborg,Silkeborg,24.02.2025 | Viborg | Silkeborg | 1 | 4
19,23.02.2025,FC Copenhagen,Midtjylland,23.02.2025 | FC Copenhagen | Midtjylland | 1 | 0
19,23.02.2025,Vejle,Brondby,23.02.2025 | Vejle | Brondby | 2 | 2
19,23.02.2025,Aarhus,Aalborg,23.02.2025 | Aarhus | Aalborg | 4 | 0
19,23.02.2025,Nordsjaelland,Sonderjyske,23.02.2025 | Nordsjaelland | Sonderjyske | 3 | 2
19,21.02.2025,Lyngby,Randers FC,21.02.2025 | Lyngby | Randers FC | 0 | 0
18,17.02.2025,Randers FC,FC Copenhagen,17.02.2025 | Randers FC | FC Copenhagen | 1 | 2
18,16.02.2025,Midtjylland,Lyngby,16.02.2025 | Midtjylland | Lyngby | 1 | 0
18,16.02.2025,Sonderjyske,Aarhus,16.02.2025 | Sonderjyske | Aarhus | 1 | 4
18,16.02.2025,Silkeborg,Vejle,16.02.2025 | Silkeborg | Vejle | 0 | 1
18,14.02.2025,Brondby,Viborg,14.02.2025 | Brondby | Viborg | 4 | 1
17,02.12.2024,FC Copenhagen,Nordsjaelland,02.12.2024 | FC Copenhagen | Nordsjaelland | 3 | 1
17,01.12.2024,Silkeborg,Aarhus,01.12.2024 | Silkeborg | Aarhus | 1 | 1
17,01.12.2024,Vejle,Midtjylland,01.12.2024 | Vejle | Midtjylland | 0 | 3
17,01.12.2024,Lyngby,Sonderjyske,01.12.2024 | Lyngby | Sonderjyske | 0 | 2
17,01.12.2024,Viborg,Randers FC,01.12.2024 | Viborg | Randers FC | 1 | 2
17,29.11.2024,Brondby,Aalborg,29.11.2024 | Brondby | Aalborg | 1 | 0
16,25.11.2024,Midtjylland,Silkeborg,25.11.2024 | Midtjylland | Silkeborg | 1 | 0
