round,date,team_home,team_away,full_text
30,2025-09-28,Ind. del Valle,Delfin,28.09.2025 | Ind. del Valle | Delfin | 0 | 0
30,2025-09-28,Libertad,Vinotinto,28.09.2025 | Libertad | Vinotinto | 1 | 0
30,2025-09-28,Orense,Emelec,28.09.2025 | Orense | Emelec | 0 | 0
30,2025-09-28,Tecnico U.,LDU Quito,28.09.2025 | Tecnico U. | LDU Quito | 1 | 3
30,2025-09-28,U. Catolica,Dep. Cuenca,28.09.2025 | U. Catolica | Dep. Cuenca | 2 | 1
30,2025-09-28,Barcelona SC,Aucas,28.09.2025 | Barcelona SC | Aucas | 1 | 1
30,2025-09-27,EL Nacional,Mushuc Runa,27.09.2025 | EL Nacional | 2 | Mushuc Runa | 0 | 5
30,2025-09-27,Manta,Macara,27.09.2025 | Manta | Macara | 1 | 3
29,2025-09-21,Aucas,Orense,21.09.2025 | Aucas | Orense | 0 | 0
29,2025-09-21,Dep. Cuenca,Barcelona SC,21.09.2025 | Dep. Cuenca | Barcelona SC | 0 | 1
29,2025-09-21,Emelec,EL Nacional,21.09.2025 | Emelec | EL Nacional | 4 | 0
29,2025-09-21,LDU Quito,U. Catolica,21.09.2025 | LDU Quito | U. Catolica | 2 | 4
29,2025-09-21,Macara,Libertad,21.09.2025 | Macara | Libertad | 1 | 1
29,2025-09-20,Delfin,Tecnico U.,20.09.2025 | Delfin | Tecnico U. | 0 | 1
29,2025-09-20,Vinotinto,Manta,20.09.2025 | Vinotinto | Manta | 4 | 1
29,2025-09-20,Mushuc Runa,Ind. del Valle,20.09.2025 | Mushuc Runa | Ind. del Valle | 2 | 2
28,2025-09-16,Manta,Aucas,16.09.2025 | Manta | Aucas | 3 | 1 | 1
28,2025-09-15,Emelec,Barcelona SC,15.09.2025 | Emelec | Barcelona SC | 0 | 4
28,2025-09-14,Tecnico U.,Dep. Cuenca,14.09.2025 | Tecnico U. | 2 | Dep. Cuenca | 0 | 2
28,2025-09-14,EL Nacional,Macara,14.09.2025 | EL Nacional | Macara | 0 | 2
28,2025-09-14,Orense,Mushuc Runa,14.09.2025 | Orense | Mushuc Runa | 3 | 1
28,2025-09-13,U. Catolica,Delfin,13.09.2025 | U. Catolica | Delfin | 1 | 1
28,2025-09-13,Ind. del Valle,Vinotinto,13.09.2025 | Ind. del Valle | Vinotinto | 3 | 1
28,2025-09-13,Libertad,LDU Quito,13.09.2025 | Libertad | LDU Quito | 0 | 1
27,2025-09-02,Delfin,Libertad,02.09.2025 | Delfin | Libertad | 0 | 0
