round,date,team_home,team_away,full_text
17,2025-03-05,Al Ahly,El Gaish,05.03.2025 | Al Ahly | El Gaish | 2 | 0
17,2025-03-05,Petrojet,Ghazl El Mahallah,05.03.2025 | Petrojet | Ghazl El Mahallah | 2 | 1
17,2025-03-05,Pyramids,Ceramica Cleopatra,05.03.2025 | Pyramids | Ceramica Cleopatra | 2 | 1
17,2025-03-04,Al Ittihad,Smouha,04.03.2025 | Al Ittihad | Smouha | 0 | 1
17,2025-03-04,Enppi,Zamalek,04.03.2025 | Enppi | Zamalek | 0 | 3
17,2025-03-04,ZED,El Ismaily,04.03.2025 | ZED | El Ismaily | 2 | 2
17,2025-03-03,Al Masry,Modern Sport,03.03.2025 | Al Masry | Modern Sport | 4 | 2
17,2025-03-03,National Bank Egypt,Haras El Hodood,03.03.2025 | National Bank Egypt | Haras El Hodood | 2 | 1
17,2025-03-03,Pharco,El Gouna,03.03.2025 | Pharco | El Gouna | 0 | 0
16,2025-02-28,Al Ittihad,Pyramids,28.02.2025 | Al Ittihad | Pyramids | 1 | 3
16,2025-02-28,Ceramica Cleopatra,Petrojet,28.02.2025 | Ceramica Cleopatra | Petrojet | 4 | 1
16,2025-02-28,Ghazl El Mahallah,Enppi,28.02.2025 | Ghazl El Mahallah | Enppi | 3 | 0
16,2025-02-27,Zamalek,ZED,27.02.2025 | Zamalek | ZED | 1 | 1
16,2025-02-27,El Gaish,National Bank Egypt,27.02.2025 | El Gaish | National Bank Egypt | 2 | 2
16,2025-02-27,Smouha,Al Masry,27.02.2025 | Smouha | Al Masry | 0 | 3
16,2025-02-26,El Ismaily,Pharco,26.02.2025 | El Ismaily | Pharco | 0 | 2
16,2025-02-26,Haras El Hodood,Al Ahly,26.02.2025 | Haras El Hodood | Al Ahly | 0 | 1
16,2025-02-26,Modern Sport,El Gouna,26.02.2025 | Modern Sport | El Gouna | 2 | 3
15,2025-02-23,Pyramids,El Gaish,23.02.2025 | Pyramids | El Gaish | 2 | 1
15,2025-02-23,ZED,Ghazl El Mahallah,23.02.2025 | ZED | Ghazl El Mahallah | 2 | 0
15,2025-02-22,Al Ahly,Zamalek,22.02.2025 | Al Ahly | Zamalek | 1 | 1
15,2025-02-22,Al Masry,El Ismaily,22.02.2025 | Al Masry | El Ismaily | 0 | 0
15,2025-02-22,El Gouna,Ceramica Cleopatra,22.02.2025 | El Gouna | Ceramica Cleopatra | 2 | 0
15,2025-02-21,National Bank Egypt,Al Ittihad,21.02.2025 | National Bank Egypt | Al Ittihad | 3 | 2
15,2025-02-21,Petrojet,Haras El Hodood,21.02.2025 | Petrojet | Haras El Hodood | 2 | 2
15,2025-02-21,Enppi,Smouha,21.02.2025 | Enppi | Smouha | 1 | 0
15,2025-02-21,Pharco,Modern Sport,21.02.2025 | Pharco | Modern Sport | 0 | 0
14,2025-02-18,Ghazl El Mahallah,Al Masry,18.02.2025 | Ghazl El Mahallah | Al Masry | 1 | 0
14,2025-02-18,El Gaish,ZED,18.02.2025 | El Gaish | ZED | 1 | 0
14,2025-02-17,Al Ittihad,El Gouna,17.02.2025 | Al Ittihad | El Gouna | 1 | 0
14,2025-02-17,Modern Sport,Pyramids,17.02.2025 | Modern Sport | Pyramids | 0 | 1
14,2025-02-17,Ceramica Cleopatra,Enppi,17.02.2025 | Ceramica Cleopatra | Enppi | 2 | 2
14,2025-02-16,El Ismaily,Al Ahly,16.02.2025 | El Ismaily | Al Ahly | 0 | 4
14,2025-02-16,Haras El Hodood,Pharco,16.02.2025 | Haras El Hodood | Pharco | 2 | 0
14,2025-02-16,Smouha,National Bank Egypt,16.02.2025 | Smouha | National Bank Egypt | 1 | 4
14,2025-02-16,Zamalek,Petrojet,16.02.2025 | Zamalek | Petrojet | 1 | 1
13,2025-02-13,Enppi,Al Ittihad,13.02.2025 | Enppi | Al Ittihad | 1 | 1
13,2025-02-13,Modern Sport,El Gaish,13.02.2025 | Modern Sport | El Gaish | 0 | 0
13,2025-02-12,Al Masry,National Bank Egypt,12.02.2025 | Al Masry | National Bank Egypt | 0 | 0
13,2025-02-12,Pyramids,Haras El Hodood,12.02.2025 | Pyramids | Haras El Hodood | 3 | 0
13,2025-02-12,El Gouna,El Ismaily,12.02.2025 | El Gouna | El Ismaily | 2 | 0
