round,date,team_home,team_away,full_text
34,17.05.2025,Lens,Monaco,17.05.2025 | Lens | Monaco | 4 | 0
34,17.05.2025,Lille,Reims,17.05.2025 | Lille | Reims | 2 | 1
34,17.05.2025,Lyon,Angers,17.05.2025 | Lyon | Angers | 2 | 0
34,17.05.2025,Marseille,Rennes,17.05.2025 | Marseille | Rennes | 4 | 2
34,17.05.2025,Nantes,Montpellier,17.05.2025 | Nantes | Montpellier | 3 | 0
34,17.05.2025,Nice,Brest,17.05.2025 | Nice | Brest | 6 | 0
34,17.05.2025,PSG,Auxerre,17.05.2025 | PSG | Auxerre | 3 | 1
34,17.05.2025,St Etienne,Toulouse,17.05.2025 | St Etienne | Toulouse | 2 | 3
34,17.05.2025,Strasbourg,Le Havre,17.05.2025 | Strasbourg | Le Havre | 2 | 3
33,10.05.2025,Angers,Strasbourg,10.05.2025 | Angers | Strasbourg | 2 | 1
33,10.05.2025,Auxerre,Nantes,10.05.2025 | Auxerre | Nantes | 1 | 1
33,10.05.2025,Brest,Lille,10.05.2025 | Brest | Lille | 2 | 0
33,10.05.2025,Le Havre,Marseille,10.05.2025 | Le Havre | Marseille | 1 | 3
33,10.05.2025,Monaco,Lyon,10.05.2025 | Monaco | Lyon | 2 | 0
33,10.05.2025,Montpellier,PSG,10.05.2025 | Montpellier | PSG | 1 | 4
33,10.05.2025,Reims,St Etienne,10.05.2025 | Reims | St Etienne | 0 | 2
33,10.05.2025,Rennes,Nice,10.05.2025 | Rennes | Nice | 2 | 0
33,10.05.2025,Toulouse,Lens,10.05.2025 | Toulouse | Lens | 1 | 1
32,04.05.2025,Lille,Marseille,04.05.2025 | Lille | Marseille | 1 | 1
32,04.05.2025,Auxerre,Le Havre,04.05.2025 | Auxerre | Le Havre | 1 | 2
32,04.05.2025,Brest,Montpellier,04.05.2025 | Brest | Montpellier | 1 | 0
32,04.05.2025,Lyon,Lens,04.05.2025 | Lyon | Lens | 1 | 2
32,04.05.2025,Nantes,Angers,04.05.2025 | Nantes | Angers | 0 | 1
32,03.05.2025,St Etienne,Monaco,03.05.2025 | St Etienne | Monaco | 1 | 3
32,03.05.2025,Toulouse,Rennes,03.05.2025 | Toulouse | Rennes | 2 | 1
32,03.05.2025,Strasbourg,PSG,03.05.2025 | Strasbourg | PSG | 2 | 1
32,02.05.2025,Nice,Reims,02.05.2025 | Nice | Reims | 1 | 0
31,27.04.2025,Marseille,Brest,27.04.2025 | Marseille | Brest | 4 | 1
31,27.04.2025,Lens,Auxerre,27.04.2025 | Lens | Auxerre | 0 | 4
31,27.04.2025,Montpellier,Reims,27.04.2025 | Montpellier | Reims | 0 | 0
31,27.04.2025,Nantes,Toulouse,27.04.2025 | Nantes | Toulouse | 0 | 0
31,27.04.2025,Angers,Lille,27.04.2025 | Angers | Lille | 0 | 2
31,26.04.2025,Lyon,Rennes,26.04.2025 | Lyon | Rennes | 4 | 1
31,26.04.2025,Le Havre,Monaco,26.04.2025 | Le Havre | Monaco | 1 | 1
31,26.04.2025,Strasbourg,St Etienne,26.04.2025 | Strasbourg | St Etienne | 3 | 1
31,25.04.2025,PSG,Nice,25.04.2025 | PSG | Nice | 1 | 3
29,22.04.2025,Nantes,PSG,22.04.2025 | Nantes | PSG | 1 | 1
30,20.04.2025,St Etienne,Lyon,20.04.2025 | St Etienne | Lyon | 2 | 1
30,20.04.2025,Brest,Lens,20.04.2025 | Brest | Lens | 1 | 3
30,20.04.2025,Nice,Angers,20.04.2025 | Nice | Angers | 2 | 1
30,20.04.2025,Reims,Toulouse,20.04.2025 | Reims | Toulouse | 1 | 0
30,20.04.2025,Lille,Auxerre,20.04.2025 | Lille | Auxerre | 3 | 1
30,19.04.2025,Marseille,Montpellier,19.04.2025 | Marseille | Montpellier | 5 | 1
30,19.04.2025,Monaco,Strasbourg,19.04.2025 | Monaco | Strasbourg | 0 | 0
30,19.04.2025,PSG,Le Havre,19.04.2025 | PSG | Le Havre | 2 | 1
30,18.04.2025,Rennes,Nantes,18.04.2025 | Rennes | Nantes | 2 | 1
29,13.04.2025,Auxerre,Lyon,13.04.2025 | Auxerre | Lyon | 1 | 3
29,13.04.2025,Angers,Montpellier,13.04.2025 | Angers | Montpellier | 2 | 0
