round,date,team_home,team_away,full_text
33,25.05.2025,Nyiregyhaza,Zalaegerszegi,25.05.2025 | Nyiregyhaza | Zalaegerszegi | 0 | 0
33,24.05.2025,Gyor,Ferencvaros,24.05.2025 | Gyor | Ferencvaros | 1 | 2
33,24.05.2025,Puskas Academy,DVTK,24.05.2025 | Puskas Academy | DVTK | 4 | 3
33,24.05.2025,Videoton,Debrecen,24.05.2025 | Videoton | Debrecen | 0 | 3
33,24.05.2025,MTK Budapest,Ujpest,24.05.2025 | MTK Budapest | Ujpest | 1 | 3
33,23.05.2025,Paks,Kecskemeti TE,23.05.2025 | Paks | Kecskemeti TE | 1 | 1
32,18.05.2025,Ferencvaros,Videoton,18.05.2025 | Ferencvaros | Videoton | 3 | 0
32,18.05.2025,Debrecen,Paks,18.05.2025 | Debrecen | Paks | 0 | 0
32,17.05.2025,DVTK,MTK Budapest,17.05.2025 | DVTK | MTK Budapest | 2 | 1
32,17.05.2025,Zalaegerszegi,Gyor,17.05.2025 | Zalaegerszegi | Gyor | 0 | 0
32,16.05.2025,Ujpest,Nyiregyhaza,16.05.2025 | Ujpest | Nyiregyhaza | 2 | 2
32,16.05.2025,Kecskemeti TE,Puskas Academy,16.05.2025 | Kecskemeti TE | Puskas Academy | 0 | 1
31,11.05.2025,Nyiregyhaza,DVTK,11.05.2025 | Nyiregyhaza | DVTK | 1 | 0
31,11.05.2025,Zalaegerszegi,Ujpest,11.05.2025 | Zalaegerszegi | Ujpest | 0 | 0
31,10.05.2025,Paks,Ferencvaros,10.05.2025 | Paks | Ferencvaros | 2 | 3
31,10.05.2025,MTK Budapest,Kecskemeti TE,10.05.2025 | MTK Budapest | Kecskemeti TE | 2 | 1
31,10.05.2025,Puskas Academy,Debrecen,10.05.2025 | Puskas Academy | Debrecen | 4 | 2
31,09.05.2025,Gyor,Videoton,09.05.2025 | Gyor | Videoton | 1 | 0
30,04.05.2025,Videoton,Paks,04.05.2025 | Videoton | Paks | 0 | 2
30,04.05.2025,Kecskemeti TE,Nyiregyhaza,04.05.2025 | Kecskemeti TE | Nyiregyhaza | 2 | 2
30,04.05.2025,DVTK,Zalaegerszegi,04.05.2025 | DVTK | Zalaegerszegi | 1 | 1
30,03.05.2025,Ferencvaros,Puskas Academy,03.05.2025 | Ferencvaros | Puskas Academy | 1 | 1
30,03.05.2025,Debrecen,MTK Budapest,03.05.2025 | Debrecen | MTK Budapest | 0 | 0
30,03.05.2025,Ujpest,Gyor,03.05.2025 | Ujpest | Gyor | 2 | 3
29,27.04.2025,Zalaegerszegi,Kecskemeti TE,27.04.2025 | Zalaegerszegi | Kecskemeti TE | 0 | 0
29,27.04.2025,MTK Budapest,Ferencvaros,27.04.2025 | MTK Budapest | Ferencvaros | 2 | 3
29,26.04.2025,Ujpest,DVTK,26.04.2025 | Ujpest | DVTK | 1 | 1
29,26.04.2025,Gyor,Paks,26.04.2025 | Gyor | Paks | 2 | 0
