round,date,team_home,team_away,full_text
30,15.05.2025,Esteghlal Khuzestan,Tractor,15.05.2025 | Esteghlal Khuzestan | Tractor | 1 | 3
30,15.05.2025,Chadormalu,Gol Gohar,15.05.2025 | Chadormalu | Gol Gohar | 0 | 1
30,15.05.2025,Mes Rafsanjan,Kheybar Khorramabad,15.05.2025 | Mes Rafsanjan | Kheybar Khorramabad | 0 | 0
30,15.05.2025,Malavan,Foolad,15.05.2025 | Malavan | Foolad | 1 | 1
30,15.05.2025,Nassaji Mazandaran,Zob Ahan,15.05.2025 | Nassaji Mazandaran | Zob Ahan | 0 | 3
30,15.05.2025,Persepolis,Havadar SC,15.05.2025 | Persepolis | Havadar SC | 2 | 0
30,15.05.2025,Sepahan,Esteghlal F.C.,15.05.2025 | Sepahan | Esteghlal F.C. | 3 | 1
30,15.05.2025,Shams Azar Qazvin,Aluminium Arak,15.05.2025 | Shams Azar Qazvin | Aluminium Arak | 1 | 3
29,08.05.2025,Aluminium Arak,Malavan,08.05.2025 | Aluminium Arak | Malavan | 1 | 1
29,08.05.2025,Esteghlal F.C.,Chadormalu,08.05.2025 | Esteghlal F.C. | Chadormalu | 0 | 0
29,08.05.2025,Foolad,Esteghlal Khuzestan,08.05.2025 | Foolad | Esteghlal Khuzestan | 2 | 1
29,08.05.2025,Gol Gohar,Shams Azar Qazvin,08.05.2025 | Gol Gohar | Shams Azar Qazvin | 1 | 0
29,08.05.2025,Havadar SC,Sepahan,08.05.2025 | Havadar SC | Sepahan | 1 | 1
29,08.05.2025,Kheybar Khorramabad,Persepolis,08.05.2025 | Kheybar Khorramabad | Persepolis | 1 | 2
29,08.05.2025,Tractor,Nassaji Mazandaran,08.05.2025 | Tractor | Nassaji Mazandaran | 3 | 3
29,08.05.2025,Zob Ahan,Mes Rafsanjan,08.05.2025 | Zob Ahan | Mes Rafsanjan | 2 | 1
28,02.05.2025,Sepahan,Gol Gohar,02.05.2025 | Sepahan | Gol Gohar | 1 | 2
28,02.05.2025,Shams Azar Qazvin,Tractor,02.05.2025 | Shams Azar Qazvin | Tractor | 0 | 4
28,02.05.2025,Malavan,Zob Ahan,02.05.2025 | Malavan | Zob Ahan | 3 | 3
28,02.05.2025,Esteghlal F.C.,Aluminium Arak,02.05.2025 | Esteghlal F.C. | Aluminium Arak | 5 | 1
28,01.05.2025,Esteghlal Khuzestan,Kheybar Khorramabad,01.05.2025 | Esteghlal Khuzestan | Kheybar Khorramabad | 0 | 0
28,01.05.2025,Chadormalu,Foolad,01.05.2025 | Chadormalu | Foolad | 1 | 1
28,01.05.2025,Mes Rafsanjan,Persepolis,01.05.2025 | Mes Rafsanjan | Persepolis | 0 | 3
28,01.05.2025,Nassaji Mazandaran,Havadar SC,01.05.2025 | Nassaji Mazandaran | Havadar SC | 0 | 0
22,25.04.2025,Foolad,Tractor,25.04.2025 | Foolad | Tractor | 1 | 2
22,21.04.2025,Esteghlal F.C.,Havadar SC,21.04.2025 | Esteghlal F.C. | Havadar SC | 2 | 2
27,18.04.2025,Foolad,Shams Azar Qazvin,18.04.2025 | Foolad | Shams Azar Qazvin | 1 | 0
27,18.04.2025,Persepolis,Sepahan,18.04.2025 | Persepolis | Sepahan | 0 | 2
27,18.04.2025,Tractor,Malavan,18.04.2025 | Tractor | Malavan | 3 | 0
27,17.04.2025,Aluminium Arak,Chadormalu,17.04.2025 | Aluminium Arak | Chadormalu | 0 | 0
27,17.04.2025,Kheybar Khorramabad,Nassaji Mazandaran,17.04.2025 | Kheybar Khorramabad | Nassaji Mazandaran | 1 | 0
27,17.04.2025,Zob Ahan,Esteghlal Khuzestan,17.04.2025 | Zob Ahan | Esteghlal Khuzestan | 1 | 0
27,16.04.2025,Gol Gohar,Esteghlal F.C.,16.04.2025 | Gol Gohar | Esteghlal F.C. | 1 | 1
27,16.04.2025,Havadar SC,Mes Rafsanjan,16.04.2025 | Havadar SC | Mes Rafsanjan | 0 | 4
26,11.04.2025,Nassaji Mazandaran,Persepolis,11.04.2025 | Nassaji Mazandaran | Persepolis | 0 | 1
26,11.04.2025,Chadormalu,Tractor,11.04.2025 | Chadormalu | Tractor | 2 | 2
26,11.04.2025,Esteghlal Khuzestan,Havadar SC,11.04.2025 | Esteghlal Khuzestan | Havadar SC | 1 | 1
26,11.04.2025,Sepahan,Mes Rafsanjan,11.04.2025 | Sepahan | Mes Rafsanjan | 1 | 0
26,11.04.2025,Gol Gohar,Aluminium Arak,11.04.2025 | Gol Gohar | Aluminium Arak | 0 | 0
26,11.04.2025,Malavan,Kheybar Khorramabad,11.04.2025 | Malavan | Kheybar Khorramabad | 3 | 0
26,11.04.2025,Shams Azar Qazvin,Zob Ahan,11.04.2025 | Shams Azar Qazvin | Zob Ahan | 1 | 1
26,10.04.2025,Esteghlal F.C.,Foolad,10.04.2025 | Esteghlal F.C. | Foolad | 0 | 1
25,06.04.2025,Kheybar Khorramabad,Shams Azar Qazvin,06.04.2025 | Kheybar Khorramabad | Shams Azar Qazvin | 0 | 0
25,05.04.2025,Aluminium Arak,Sepahan,05.04.2025 | Aluminium Arak | Sepahan | 1 | 1
25,05.04.2025,Persepolis,Esteghlal Khuzestan,05.04.2025 | Persepolis | Esteghlal Khuzestan | 0 | 0
25,05.04.2025,Mes Rafsanjan,Nassaji Mazandaran,05.04.2025 | Mes Rafsanjan | Nassaji Mazandaran | 0 | 0
25,05.04.2025,Havadar SC,Malavan,05.04.2025 | Havadar SC | Malavan | 2 | 0
25,04.04.2025,Tractor,Esteghlal F.C.,04.04.2025 | Tractor | Esteghlal F.C. | 2 | 1
25,04.04.2025,Foolad,Gol Gohar,04.04.2025 | Foolad | Gol Gohar | 1 | 1
25,04.04.2025,Zob Ahan,Chadormalu,04.04.2025 | Zob Ahan | Chadormalu | 0 | 1
24,30.03.2025,Malavan,Mes Rafsanjan,30.03.2025 | Malavan | Mes Rafsanjan | 3 | 0
24,30.03.2025,Sepahan,Foolad,30.03.2025 | Sepahan | Foolad | 2 | 0
24,30.03.2025,Shams Azar Qazvin,Persepolis,30.03.2025 | Shams Azar Qazvin | Persepolis | 3 | 2
24,30.03.2025,Chadormalu,Havadar SC,30.03.2025 | Chadormalu | Havadar SC | 1 | 2
24,29.03.2025,Aluminium Arak,Tractor,29.03.2025 | Aluminium Arak | Tractor | 0 | 1
24,29.03.2025,Esteghlal F.C.,Kheybar Khorramabad,29.03.2025 | Esteghlal F.C. | Kheybar Khorramabad | 1 | 1
24,29.03.2025,Esteghlal Khuzestan,Nassaji Mazandaran,29.03.2025 | Esteghlal Khuzestan | Nassaji Mazandaran | 2 | 0
24,29.03.2025,Gol Gohar,Zob Ahan,29.03.2025 | Gol Gohar | Zob Ahan | 0 | 2
23,16.03.2025,Tractor,Gol Gohar,16.03.2025 | Tractor | Gol Gohar | 2 | 1
23,16.03.2025,Zob Ahan,Esteghlal F.C.,16.03.2025 | Zob Ahan | Esteghlal F.C. | 1 | 1
23,14.03.2025,Foolad,Aluminium Arak,14.03.2025 | Foolad | Aluminium Arak | 2 | 0
23,14.03.2025,Persepolis,Malavan,14.03.2025 | Persepolis | Malavan | 2 | 0
23,14.03.2025,Mes Rafsanjan,Esteghlal Khuzestan,14.03.2025 | Mes Rafsanjan | Esteghlal Khuzestan | 0 | 0
23,13.03.2025,Kheybar Khorramabad,Chadormalu,13.03.2025 | Kheybar Khorramabad | Chadormalu | 2 | 0
23,13.03.2025,Havadar SC,Shams Azar Qazvin,13.03.2025 | Havadar SC | Shams Azar Qazvin | 2 | 3
23,13.03.2025,Nassaji Mazandaran,Sepahan,13.03.2025 | Nassaji Mazandaran | Sepahan | 1 | 1
22,07.03.2025,Aluminium Arak,Zob Ahan,07.03.2025 | Aluminium Arak | Zob Ahan | 2 | 0
22,07.03.2025,Chadormalu,Persepolis,07.03.2025 | Chadormalu | Persepolis | 0 | 1
22,07.03.2025,Malavan,Nassaji Mazandaran,07.03.2025 | Malavan | Nassaji Mazandaran | 1 | 0
22,07.03.2025,Shams Azar Qazvin,Mes Rafsanjan,07.03.2025 | Shams Azar Qazvin | Mes Rafsanjan | 3 | 1
