round,date,team_home,team_away,full_text
11,2025-03-31,Hamrun,Naxxar,31.03.2025 | Hamrun | Naxxar | 4 | 0
11,2025-03-30,Melita,Marsaxlokk,30.03.2025 | Melita | Marsaxlokk | 0 | 5
11,2025-03-30,Sliema,Birkirkara,30.03.2025 | Sliema | Birkirkara | 2 | 1
11,2025-03-29,Zabbar,Mosta,29.03.2025 | Zabbar | Mosta | 1 | 2
11,2025-03-29,Floriana,Hibernians,29.03.2025 | Floriana | Hibernians | 1 | 1
11,2025-03-28,Gzira,Balzan,28.03.2025 | Gzira | Balzan | 0 | 0
10,2025-03-13,Hibernians,Balzan,13.03.2025 | Hibernians | Balzan | 0 | 0
10,2025-03-13,Zabbar,Gzira,13.03.2025 | Zabbar | Gzira | 3 | 0
10,2025-03-13,Hamrun,Sliema,13.03.2025 | Hamrun | Sliema | 0 | 1
10,2025-03-13,Mosta,Melita,13.03.2025 | Mosta | Melita | 2 | 0
10,2025-03-13,Naxxar,Marsaxlokk,13.03.2025 | Naxxar | Marsaxlokk | 1 | 0
10,2025-03-12,Floriana,Birkirkara,12.03.2025 | Floriana | Birkirkara | 2 | 0 | 2
9,2025-03-09,Hamrun,Mosta,09.03.2025 | Hamrun | Mosta | 1 | 2
9,2025-03-09,Hibernians,Naxxar,09.03.2025 | Hibernians | Naxxar | 3 | 2
9,2025-03-08,Gzira,Floriana,08.03.2025 | Gzira | Floriana | 0 | 3
9,2025-03-08,Melita,Zabbar,08.03.2025 | Melita | Zabbar | 1 | 1
9,2025-03-08,Balzan,Sliema,08.03.2025 | Balzan | Sliema | 2 | 3
9,2025-03-08,Birkirkara,Marsaxlokk,08.03.2025 | Birkirkara | Marsaxlokk | 1 | 1
8,2025-03-02,Hamrun,Gzira,02.03.2025 | Hamrun | Gzira | 0 | 1
8,2025-03-02,Floriana,Mosta,02.03.2025 | Floriana | Mosta | 2 | 2
8,2025-03-01,Balzan,Melita,01.03.2025 | Balzan | Melita | 1 | 1
8,2025-03-01,Naxxar,Zabbar,01.03.2025 | Naxxar | Zabbar | 1 | 1
8,2025-03-01,Birkirkara,Hibernians,01.03.2025 | Birkirkara | Hibernians | 2 | 0
8,2025-03-01,Sliema,Marsaxlokk,01.03.2025 | Sliema | Marsaxlokk | 0 | 1
7,2025-02-23,Melita,Naxxar,23.02.2025 | Melita | Naxxar | 2 | 5
7,2025-02-23,Zabbar,Birkirkara,23.02.2025 | Zabbar | Birkirkara | 0 | 3
7,2025-02-23,Hibernians,Mosta,23.02.2025 | Hibernians | Mosta | 2 | 0
7,2025-02-22,Hamrun,Balzan,22.02.2025 | Hamrun | Balzan | 1 | 0
7,2025-02-22,Sliema,Floriana,22.02.2025 | Sliema | Floriana | 1 | 2
7,2025-02-21,Gzira,Marsaxlokk,21.02.2025 | Gzira | Marsaxlokk | 0 | 1
6,2025-02-16,Melita,Hamrun,16.02.2025 | Melita | Hamrun | 2 | 0
6,2025-02-16,Balzan,Floriana,16.02.2025 | Balzan | Floriana | 0 | 0
6,2025-02-15,Sliema,Gzira,15.02.2025 | Sliema | Gzira | 0 | 1
6,2025-02-15,Hibernians,Zabbar,15.02.2025 | Hibernians | Zabbar | 0 | 4
6,2025-02-15,Naxxar,Birkirkara,15.02.2025 | Naxxar | Birkirkara | 2 | 1
6,2025-02-14,Mosta,Marsaxlokk,14.02.2025 | Mosta | Marsaxlokk | 2 | 1
5,2025-02-10,Naxxar,Balzan,10.02.2025 | Naxxar | Balzan | 0 | 3
5,2025-02-09,Floriana,Marsaxlokk,09.02.2025 | Floriana | Marsaxlokk | 2 | 1
5,2025-02-09,Zabbar,Hamrun,09.02.2025 | Zabbar | Hamrun | 0 | 1
5,2025-02-08,Melita,Sliema,08.02.2025 | Melita | Sliema | 2 | 4
5,2025-02-08,Gzira,Hibernians,08.02.2025 | Gzira | Hibernians | 1 | 4
5,2025-02-08,Birkirkara,Mosta,08.02.2025 | Birkirkara | Mosta | 2 | 0
