round,date,team_home,team_away,full_text
17,2025-04-21,Juarez,Queretaro,21.04.2025 | Juarez | Queretaro | 0 | 2
17,2025-04-21,Club Leon,Monterrey,21.04.2025 | Club Leon | Monterrey | 0 | 2
17,2025-04-21,Atl. San Luis,Pachuca,21.04.2025 | Atl. San Luis | Pachuca | 2 | 1
17,2025-04-21,Santos Laguna,Club Tijuana,21.04.2025 | Santos Laguna | Club Tijuana | 0 | 4
17,2025-04-20,Atlas,Guadalajara Chivas,20.04.2025 | Atlas | Guadalajara Chivas | 1 | 1
17,2025-04-20,Tigres UANL,UNAM Pumas,20.04.2025 | Tigres UANL | UNAM Pumas | 2 | 1
17,2025-04-20,Toluca,Cruz Azul,20.04.2025 | Toluca | Cruz Azul | 2 | 2
17,2025-04-20,Club America,Mazatlan FC,20.04.2025 | Club America | Mazatlan FC | 5 | 0
17,2025-04-19,Puebla,Necaxa,19.04.2025 | Puebla | Necaxa | 0 | 1
16,2025-04-17,UNAM Pumas,Santos Laguna,17.04.2025 | UNAM Pumas | Santos Laguna | 2 | 0
16,2025-04-17,Mazatlan FC,Club Tijuana,17.04.2025 | Mazatlan FC | Club Tijuana | 0 | 2
16,2025-04-17,Atl. San Luis,Toluca,17.04.2025 | Atl. San Luis | Toluca | 0 | 1
16,2025-04-17,Monterrey,Club America,17.04.2025 | Monterrey | Club America | 1 | 0
16,2025-04-17,Queretaro,Atlas,17.04.2025 | Queretaro | Atlas | 1 | 2
16,2025-04-16,Cruz Azul,Club Leon,16.04.2025 | Cruz Azul | Club Leon | 2 | 1
16,2025-04-16,Juarez,Necaxa,16.04.2025 | Juarez | Necaxa | 2 | 2
16,2025-04-16,Guadalajara Chivas,Puebla,16.04.2025 | Guadalajara Chivas | Puebla | 1 | 0
16,2025-04-16,Pachuca,Tigres UANL,16.04.2025 | Pachuca | Tigres UANL | 0 | 0
15,2025-04-14,Santos Laguna,Queretaro,14.04.2025 | Santos Laguna | Queretaro | 1 | 2
15,2025-04-13,Club America,Cruz Azul,13.04.2025 | Club America | Cruz Azul | 0 | 0
15,2025-04-13,Atlas,Toluca,13.04.2025 | Atlas | Toluca | 2 | 3
15,2025-04-13,Tigres UANL,Monterrey,13.04.2025 | Tigres UANL | Monterrey | 2 | 2 | 1
15,2025-04-13,Club Leon,Puebla,13.04.2025 | Club Leon | Puebla | 1 | 0
15,2025-04-13,UNAM Pumas,Juarez,13.04.2025 | UNAM Pumas | Juarez | 0 | 0
15,2025-04-12,Mazatlan FC,Guadalajara Chivas,12.04.2025 | Mazatlan FC | Guadalajara Chivas | 2 | 1 | 1
15,2025-04-12,Necaxa,Pachuca,12.04.2025 | Necaxa | Pachuca | 3 | 5
15,2025-04-11,Club Tijuana,Atl. San Luis,11.04.2025 | Club Tijuana | Atl. San Luis | 2 | 1
14,2025-04-07,Toluca,Santos Laguna,07.04.2025 | Toluca | Santos Laguna | 2 | 1
14,2025-04-06,Cruz Azul,UNAM Pumas,06.04.2025 | Cruz Azul | UNAM Pumas | 3 | 2
14,2025-04-06,Monterrey,Guadalajara Chivas,06.04.2025 | Monterrey | Guadalajara Chivas | 3 | 1
14,2025-04-06,Atl. San Luis,Mazatlan FC,06.04.2025 | Atl. San Luis | Mazatlan FC | 2 | 1
14,2025-04-06,Atlas,Juarez,06.04.2025 | Atlas | Juarez | 1 | 1
14,2025-04-06,Pachuca,Club America,06.04.2025 | Pachuca | Club America | 1 | 0
14,2025-04-05,Puebla,Tigres UANL,05.04.2025 | Puebla | Tigres UANL | 0 | 0
14,2025-04-05,Club Tijuana,Necaxa,05.04.2025 | Club Tijuana | Necaxa | 1 | 2
14,2025-04-05,Queretaro,Club Leon,05.04.2025 | Queretaro | Club Leon | 1 | 1
13,2025-03-31,Club Leon,UNAM Pumas,31.03.2025 | Club Leon | UNAM Pumas | 1 | 2
13,2025-03-31,Santos Laguna,Atl. San Luis,31.03.2025 | Santos Laguna | Atl. San Luis | 2 | 3
13,2025-03-30,Monterrey,Club Tijuana,30.03.2025 | Monterrey | Club Tijuana | 1 | 2
