round,date,team_home,team_away,full_text
33,2025-03-24,Dungannon,Linfield,24.03.2025 | Dungannon | Linfield | 0 | 3
33,2025-03-22,Cliftonville,Carrick Rangers,22.03.2025 | Cliftonville | Carrick Rangers | 3 | 0
33,2025-03-22,Coleraine,Portadown,22.03.2025 | Coleraine | Portadown | 1 | 0
33,2025-03-22,Glenavon,Larne,22.03.2025 | Glenavon | Larne | 0 | 1
33,2025-03-22,Glentoran,Crusaders,22.03.2025 | Glentoran | Crusaders | 0 | 1
33,2025-03-22,Loughgall,Ballymena,22.03.2025 | Loughgall | Ballymena | 2 | 1
31,2025-03-18,Coleraine,Cliftonville,18.03.2025 | Coleraine | Cliftonville | 2 | 2
26,2025-03-18,Glentoran,Larne,18.03.2025 | Glentoran | Larne | 2 | 2
32,2025-03-15,Larne,Coleraine,15.03.2025 | Larne | Coleraine | 1 | 1
32,2025-03-15,Portadown,Dungannon,15.03.2025 | Portadown | Dungannon | 1 | 1
32,2025-03-15,Ballymena,Cliftonville,15.03.2025 | Ballymena | Cliftonville | 1 | 0
32,2025-03-15,Carrick Rangers,Glentoran,15.03.2025 | Carrick Rangers | Glentoran | 0 | 0
32,2025-03-15,Crusaders,Loughgall,15.03.2025 | Crusaders | Loughgall | 1 | 1
32,2025-03-15,Linfield,Glenavon,15.03.2025 | Linfield | Glenavon | 2 | 0
24,2025-03-12,Cliftonville,Dungannon,12.03.2025 | Cliftonville | Dungannon | 0 | 2
31,2025-03-12,Glentoran,Glenavon,12.03.2025 | Glentoran | Glenavon | 3 | 3
18,2025-03-11,Ballymena,Larne,11.03.2025 | Ballymena | Larne | 1 | 2
31,2025-03-08,Portadown,Carrick Rangers,08.03.2025 | Portadown | Carrick Rangers | 1 | 0
31,2025-03-08,Dungannon,Ballymena,08.03.2025 | Dungannon | Ballymena | 0 | 3
25,2025-03-08,Glenavon,Coleraine,08.03.2025 | Glenavon | Coleraine | 0 | 1
31,2025-03-08,Loughgall,Larne,08.03.2025 | Loughgall | Larne | 0 | 1
31,2025-03-07,Crusaders,Linfield,07.03.2025 | Crusaders | Linfield | 0 | 2
12,2025-03-04,Carrick Rangers,Larne,04.03.2025 | Carrick Rangers | Larne | 1 | 0
20,2025-03-04,Glentoran,Ballymena,04.03.2025 | Glentoran | Ballymena | 1 | 0
28,2025-03-04,Loughgall,Glenavon,04.03.2025 | Loughgall | Glenavon | 0 | 2
20,2025-03-01,Coleraine,Portadown,01.03.2025 | Coleraine | Portadown | 2 | 0
20,2025-02-26,Loughgall,Larne,26.02.2025 | Loughgall | Larne | 1 | 4
30,2025-02-22,Ballymena,Portadown,22.02.2025 | Ballymena | Portadown | 2 | 0
30,2025-02-22,Carrick Rangers,Loughgall,22.02.2025 | Carrick Rangers | Loughgall | 0 | 0
30,2025-02-22,Glenavon,Crusaders,22.02.2025 | Glenavon | Crusaders | 0 | 1
30,2025-02-22,Larne,Dungannon,22.02.2025 | Larne | Dungannon | 0 | 1
30,2025-02-22,Linfield,Coleraine,22.02.2025 | Linfield | Coleraine | 0 | 2
30,2025-02-21,Cliftonville,Glentoran,21.02.2025 | Cliftonville | Glentoran | 2 | 0
