round,date,team_home,team_away,full_text
30,30.11.2025,Bodo/Glimt,Fredrikstad,30.11.2025 | Bodo/Glimt | Fredrikstad | 5 | 0
30,30.11.2025,Brann,HamKam,30.11.2025 | Brann | HamKam | 3 | 1
30,30.11.2025,Haugesund,Bryne,30.11.2025 | Haugesund | Bryne | 1 | 4
30,30.11.2025,Kristiansund,Tromso,30.11.2025 | Kristiansund | Tromso | 1 | 3
30,30.11.2025,Rosenborg,Stromsgodset,30.11.2025 | Rosenborg | Stromsgodset | 6 | 0
30,30.11.2025,Sandefjord,KFUM Oslo,30.11.2025 | Sandefjord | KFUM Oslo | 2 | 0
30,30.11.2025,Sarpsborg 08,Molde,30.11.2025 | Sarpsborg 08 | Molde | 1 | 0
30,30.11.2025,Viking,Valerenga,30.11.2025 | Viking | Valerenga | 5 | 1
29,23.11.2025,Fredrikstad,Viking,23.11.2025 | Fredrikstad | Viking | 0 | 1
29,23.11.2025,Bryne,Sarpsborg 08,23.11.2025 | Bryne | Sarpsborg 08 | 0 | 3
29,23.11.2025,HamKam,Haugesund,23.11.2025 | HamKam | Haugesund | 5 | 0
29,22.11.2025,Molde,Brann,22.11.2025 | Molde | Brann | 4 | 0
29,22.11.2025,Stromsgodset,Sandefjord,22.11.2025 | Stromsgodset | Sandefjord | 2 | 6
29,22.11.2025,Valerenga,Kristiansund,22.11.2025 | Awrd | Valerenga | Kristiansund | 3 | 0
29,22.11.2025,Tromso,Rosenborg,22.11.2025 | Tromso | Rosenborg | 1 | 0
29,21.11.2025,KFUM Oslo,Bodo/Glimt,21.11.2025 | KFUM Oslo | Bodo/Glimt | 1 | 2
28,09.11.2025,Haugesund,Molde,09.11.2025 | Haugesund | Molde | 0 | 2
28,09.11.2025,Bodo/Glimt,Bryne,09.11.2025 | Bodo/Glimt | Bryne | 5 | 0
28,09.11.2025,Brann,KFUM Oslo,09.11.2025 | Brann | KFUM Oslo | 1 | 1
28,09.11.2025,Kristiansund,Stromsgodset,09.11.2025 | Kristiansund | Stromsgodset | 2 | 1
28,09.11.2025,Sandefjord,Tromso,09.11.2025 | Sandefjord | Tromso | 1 | 0
28,09.11.2025,Rosenborg,Valerenga,09.11.2025 | Rosenborg | Valerenga | 1 | 0
28,08.11.2025,Viking,HamKam,08.11.2025 | Viking | HamKam | 3 | 0
28,08.11.2025,Sarpsborg 08,Fredrikstad,08.11.2025 | Sarpsborg 08 | Fredrikstad | 0 | 2
