round,date,team_home,team_away,full_text
16,2025-11-09,Arabe Unido,Tauro,09.11.2025 | Arabe Unido | Tauro | 4 | 1
16,2025-11-09,Miguelito,Plaza Amador,09.11.2025 | Miguelito | Plaza Amador | 1 | 1
16,2025-11-09,UMECIT,Alianza,09.11.2025 | UMECIT | Alianza | 1 | 3
16,2025-11-08,Atl. Nacional,Independiente,08.11.2025 | Atl. Nacional | Independiente | 0 | 2
16,2025-11-08,Deportivo Universitario,Herrera,08.11.2025 | Deportivo Universitario | Herrera | 1 | 1
16,2025-11-08,San Francisco,Veraguas,08.11.2025 | San Francisco | Veraguas | 3 | 0
15,2025-11-02,Alianza,Arabe Unido,02.11.2025 | Alianza | Arabe Unido | 2 | 1 | 2
15,2025-11-02,Plaza Amador,UMECIT,02.11.2025 | Plaza Amador | UMECIT | 1 | 0
15,2025-11-02,Tauro,Miguelito,02.11.2025 | Tauro | Miguelito | 0 | 1
15,2025-10-31,Herrera,Atl. Nacional,31.10.2025 | Herrera | 2 | Atl. Nacional | 0 | 1
15,2025-10-31,Independiente,San Francisco,31.10.2025 | Independiente | San Francisco | 0 | 0
15,2025-10-31,Veraguas,Deportivo Universitario,31.10.2025 | Veraguas | Deportivo Universitario | 2 | 1
14,2025-10-28,UMECIT,Tauro,28.10.2025 | UMECIT | Tauro | 3 | 2
14,2025-10-27,Independiente,Veraguas,27.10.2025 | Independiente | Veraguas | 3 | 0
14,2025-10-26,Atl. Nacional,Deportivo Universitario,26.10.2025 | Atl. Nacional | Deportivo Universitario | 2 | 0
14,2025-10-26,Plaza Amador,Alianza,26.10.2025 | Plaza Amador | Alianza | 0 | 1
14,2025-10-26,Miguelito,Arabe Unido,26.10.2025 | Miguelito | Arabe Unido | 0 | 0
14,2025-10-25,San Francisco,Herrera,25.10.2025 | San Francisco | Herrera | 1 | 0
13,2025-10-21,Veraguas,Atl. Nacional,21.10.2025 | Veraguas | 2 | Atl. Nacional | 2 | 3
13,2025-10-19,Miguelito,Alianza,19.10.2025 | Miguelito | Alianza | 2 | 1
13,2025-10-19,Arabe Unido,UMECIT,19.10.2025 | Arabe Unido | UMECIT | 1 | 1
13,2025-10-19,Deportivo Universitario,San Francisco,19.10.2025 | Deportivo Universitario | San Francisco | 0 | 0
13,2025-10-18,Herrera,Independiente,18.10.2025 | Herrera | Independiente | 0 | 2
13,2025-10-18,Tauro,Plaza Amador,18.10.2025 | Tauro | Plaza Amador | 2 | 3
12,2025-10-14,UMECIT,Miguelito,14.10.2025 | UMECIT | Miguelito | 3 | 3
12,2025-10-13,San Francisco,Atl. Nacional,13.10.2025 | San Francisco | Atl. Nacional | 2 | 2
12,2025-10-12,Herrera,Veraguas,12.10.2025 | Herrera | Veraguas | 0 | 2
12,2025-10-12,Plaza Amador,Arabe Unido,12.10.2025 | Plaza Amador | Arabe Unido | 0 | 2
12,2025-10-12,Independiente,Deportivo Universitario,12.10.2025 | Independiente | Deportivo Universitario | 2 | 0
12,2025-10-11,Alianza,Tauro,11.10.2025 | Alianza | Tauro | 2 | 1
11,2025-10-07,Atl. Nacional,Alianza,07.10.2025 | Atl. Nacional | Alianza | 2 | 3
11,2025-10-06,Veraguas,Plaza Amador,06.10.2025 | Veraguas | Plaza Amador | 0 | 3
11,2025-10-05,Herrera,Miguelito,05.10.2025 | Herrera | Miguelito | 1 | 3
11,2025-10-05,Arabe Unido,Deportivo Universitario,05.10.2025 | Arabe Unido | Deportivo Universitario | 0 | 1
11,2025-10-05,Independiente,UMECIT,05.10.2025 | Independiente | UMECIT | 0 | 1
11,2025-10-04,Tauro,San Francisco,04.10.2025 | Tauro | San Francisco | 1 | 1
10,2025-09-30,UMECIT,Veraguas,30.09.2025 | UMECIT | Veraguas | 1 | 1
10,2025-09-29,Miguelito,Deportivo Universitario,29.09.2025 | Miguelito | Deportivo Universitario | 0 | 0
10,2025-09-28,Atl. Nacional,Tauro,28.09.2025 | Atl. Nacional | Tauro | 2 | 1
10,2025-09-28,Plaza Amador,Independiente,28.09.2025 | Plaza Amador | Independiente | 3 | 0
10,2025-09-27,Alianza,Herrera,27.09.2025 | Alianza | Herrera | 2 | 1
10,2025-09-27,San Francisco,Arabe Unido,27.09.2025 | San Francisco | Arabe Unido | 0 | 2
9,2025-09-23,UMECIT,Herrera,23.09.2025 | UMECIT | Herrera | 1 | 0
9,2025-09-22,Tauro,Independiente,22.09.2025 | Tauro | Independiente | 0 | 0
9,2025-09-21,Atl. Nacional,Plaza Amador,21.09.2025 | Atl. Nacional | Plaza Amador | 2 | 5
9,2025-09-21,Arabe Unido,Veraguas,21.09.2025 | Arabe Unido | Veraguas | 1 | 0
9,2025-09-21,Deportivo Universitario,Alianza,21.09.2025 | Deportivo Universitario | Alianza | 0 | 0
9,2025-09-20,San Francisco,Miguelito,20.09.2025 | San Francisco | Miguelito | 0 | 1
8,2025-09-16,Alianza,San Francisco,16.09.2025 | Alianza | San Francisco | 1 | 1
8,2025-09-15,Miguelito,Atl. Nacional,15.09.2025 | Miguelito | Atl. Nacional | 1 | 1
8,2025-09-14,Independiente,Arabe Unido,14.09.2025 | Independiente | Arabe Unido | 0 | 0
8,2025-09-14,Plaza Amador,Herrera,14.09.2025 | Plaza Amador | Herrera | 2 | 2
8,2025-09-14,Deportivo Universitario,UMECIT,14.09.2025 | Deportivo Universitario | UMECIT | 2 | 0
8,2025-09-13,Tauro,Veraguas,13.09.2025 | Tauro | Veraguas | 1 | 3
7,2025-09-08,Miguelito,Independiente,08.09.2025 | Miguelito | Independiente | 2 | 0
7,2025-09-07,Herrera,Tauro,07.09.2025 | Herrera | Tauro | 1 | 2
7,2025-09-07,Arabe Unido,Atl. Nacional,07.09.2025 | Arabe Unido | Atl. Nacional | 2 | 0
7,2025-09-07,San Francisco,UMECIT,07.09.2025 | San Francisco | UMECIT | 0 | 0
7,2025-09-06,Alianza,Veraguas,06.09.2025 | Alianza | Veraguas | 1 | 0
7,2025-09-06,Deportivo Universitario,Plaza Amador,06.09.2025 | Deportivo Universitario | Plaza Amador | 1 | 3
6,2025-09-02,Veraguas,Miguelito,02.09.2025 | Veraguas | Miguelito | 0 | 0
6,2025-09-01,UMECIT,Atl. Nacional,01.09.2025 | UMECIT | Atl. Nacional | 2 | 0
6,2025-08-31,Herrera,Arabe Unido,31.08.2025 | Herrera | Arabe Unido | 2 | 1
6,2025-08-31,Plaza Amador,San Francisco,31.08.2025 | Plaza Amador | San Francisco | 2 | 2
