round,date,team_home,team_away,full_text
30,2025-03-10,UTA Arad,Dinamo Bucuresti,10.03.2025 | UTA Arad | Dinamo Bucuresti | 0 | 2
30,2025-03-10,FC Botosani,Unirea Slobozia,10.03.2025 | FC Botosani | Unirea Slobozia | 1 | 0
30,2025-03-09,FCSB,Univ. Craiova,09.03.2025 | FCSB | Univ. Craiova | 1 | 0
30,2025-03-09,CFR Cluj,Gloria Buzau,09.03.2025 | CFR Cluj | Gloria Buzau | 6 | 0
30,2025-03-08,FC Hermannstadt,FC Rapid Bucuresti,08.03.2025 | FC Hermannstadt | FC Rapid Bucuresti | 1 | 0
30,2025-03-08,Petrolul,Sepsi Sf. Gheorghe,08.03.2025 | Petrolul | Sepsi Sf. Gheorghe | 1 | 0
30,2025-03-07,Farul Constanta,U. Cluj,07.03.2025 | Farul Constanta | U. Cluj | 1 | 1
30,2025-03-07,Otelul,Poli Iasi,07.03.2025 | Otelul | Poli Iasi | 2 | 3
29,2025-03-03,Dinamo Bucuresti,FC Hermannstadt,03.03.2025 | Dinamo Bucuresti | FC Hermannstadt | 2 | 0
29,2025-03-03,Gloria Buzau,UTA Arad,03.03.2025 | Gloria Buzau | UTA Arad | 1 | 1
29,2025-03-02,FC Rapid Bucuresti,FCSB,02.03.2025 | FC Rapid Bucuresti | FCSB | 0 | 0
29,2025-03-02,Poli Iasi,Petrolul,02.03.2025 | Poli Iasi | Petrolul | 1 | 0
29,2025-03-01,Univ. Craiova,Farul Constanta,01.03.2025 | Univ. Craiova | Farul Constanta | 1 | 0
29,2025-03-01,U. Cluj,FC Botosani,01.03.2025 | U. Cluj | FC Botosani | 0 | 1
29,2025-02-28,Sepsi Sf. Gheorghe,CFR Cluj,28.02.2025 | Sepsi Sf. Gheorghe | CFR Cluj | 1 | 1
29,2025-02-28,Unirea Slobozia,Otelul,28.02.2025 | Unirea Slobozia | Otelul | 0 | 1
28,2025-02-24,Farul Constanta,FC Rapid Bucuresti,24.02.2025 | Farul Constanta | FC Rapid Bucuresti | 1 | 3
28,2025-02-24,UTA Arad,Sepsi Sf. Gheorghe,24.02.2025 | UTA Arad | Sepsi Sf. Gheorghe | 1 | 2
28,2025-02-23,FCSB,Dinamo Bucuresti,23.02.2025 | FCSB | Dinamo Bucuresti | 2 | 1
28,2025-02-23,Unirea Slobozia,Poli Iasi,23.02.2025 | Unirea Slobozia | Poli Iasi | 0 | 0
28,2025-02-22,CFR Cluj,Petrolul,22.02.2025 | CFR Cluj | Petrolul | 2 | 0
28,2025-02-22,FC Botosani,Univ. Craiova,22.02.2025 | FC Botosani | Univ. Craiova | 2 | 2
28,2025-02-21,Otelul,U. Cluj,21.02.2025 | Otelul | U. Cluj | 0 | 1
28,2025-02-21,FC Hermannstadt,Gloria Buzau,21.02.2025 | FC Hermannstadt | Gloria Buzau | 2 | 1
27,2025-02-17,FC Rapid Bucuresti,FC Botosani,17.02.2025 | FC Rapid Bucuresti | FC Botosani | 1 | 0
27,2025-02-17,U. Cluj,Unirea Slobozia,17.02.2025 | U. Cluj | Unirea Slobozia | 3 | 2
27,2025-02-16,Gloria Buzau,FCSB,16.02.2025 | Gloria Buzau | FCSB | 0 | 2
27,2025-02-16,Poli Iasi,CFR Cluj,16.02.2025 | Poli Iasi | CFR Cluj | 1 | 1
27,2025-02-15,Dinamo Bucuresti,Farul Constanta,15.02.2025 | Dinamo Bucuresti | Farul Constanta | 0 | 2
27,2025-02-15,Petrolul,UTA Arad,15.02.2025 | Petrolul | UTA Arad | 0 | 1
27,2025-02-14,Univ. Craiova,Otelul,14.02.2025 | Univ. Craiova | Otelul | 2 | 1
27,2025-02-14,Sepsi Sf. Gheorghe,FC Hermannstadt,14.02.2025 | Sepsi Sf. Gheorghe | FC Hermannstadt | 2 | 3
26,2025-02-10,UTA Arad,CFR Cluj,10.02.2025 | UTA Arad | CFR Cluj | 1 | 4
26,2025-02-10,Farul Constanta,Gloria Buzau,10.02.2025 | Farul Constanta | Gloria Buzau | 1 | 0
26,2025-02-09,FCSB,Sepsi Sf. Gheorghe,09.02.2025 | FCSB | Sepsi Sf. Gheorghe | 3 | 0
26,2025-02-09,U. Cluj,Poli Iasi,09.02.2025 | U. Cluj | Poli Iasi | 2 | 2
26,2025-02-09,FC Hermannstadt,Petrolul,09.02.2025 | FC Hermannstadt | Petrolul | 1 | 1
26,2025-02-08,Otelul,FC Rapid Bucuresti,08.02.2025 | Otelul | FC Rapid Bucuresti | 1 | 1
26,2025-02-08,Unirea Slobozia,Univ. Craiova,08.02.2025 | Unirea Slobozia | Univ. Craiova | 0 | 1
26,2025-02-07,FC Botosani,Dinamo Bucuresti,07.02.2025 | FC Botosani | Dinamo Bucuresti | 1 | 1
25,2025-02-06,Petrolul,FCSB,06.02.2025 | Petrolul | FCSB | 0 | 0
25,2025-02-06,Sepsi Sf. Gheorghe,Farul Constanta,06.02.2025 | Sepsi Sf. Gheorghe | Farul Constanta | 1 | 0
25,2025-02-06,Poli Iasi,UTA Arad,06.02.2025 | Poli Iasi | UTA Arad | 0 | 1
25,2025-02-05,Univ. Craiova,U. Cluj,05.02.2025 | Univ. Craiova | U. Cluj | 1 | 0
25,2025-02-05,CFR Cluj,FC Hermannstadt,05.02.2025 | CFR Cluj | FC Hermannstadt | 1 | 0
25,2025-02-04,Dinamo Bucuresti,Otelul,04.02.2025 | Dinamo Bucuresti | Otelul | 1 | 0
25,2025-02-04,FC Rapid Bucuresti,Unirea Slobozia,04.02.2025 | FC Rapid Bucuresti | Unirea Slobozia | 2 | 1
25,2025-02-04,Gloria Buzau,FC Botosani,04.02.2025 | Gloria Buzau | FC Botosani | 0 | 2
24,2025-02-03,Farul Constanta,Petrolul,03.02.2025 | Farul Constanta | Petrolul | 2 | 1
24,2025-02-02,FCSB,CFR Cluj,02.02.2025 | FCSB | CFR Cluj | 1 | 1
24,2025-02-02,Univ. Craiova,Poli Iasi,02.02.2025 | Univ. Craiova | Poli Iasi | 4 | 1
24,2025-02-01,U. Cluj,FC Rapid Bucuresti,01.02.2025 | U. Cluj | FC Rapid Bucuresti | 2 | 1
24,2025-02-01,Otelul,Gloria Buzau,01.02.2025 | Otelul | Gloria Buzau | 2 | 1
24,2025-02-01,FC Botosani,Sepsi Sf. Gheorghe,01.02.2025 | FC Botosani | Sepsi Sf. Gheorghe | 0 | 0
24,2025-01-31,Unirea Slobozia,Dinamo Bucuresti,31.01.2025 | Unirea Slobozia | Dinamo Bucuresti | 1 | 3
24,2025-01-31,FC Hermannstadt,UTA Arad,31.01.2025 | FC Hermannstadt | UTA Arad | 0 | 0
23,2025-01-27,CFR Cluj,Farul Constanta,27.01.2025 | CFR Cluj | Farul Constanta | 3 | 1
23,2025-01-27,Petrolul,FC Botosani,27.01.2025 | Petrolul | FC Botosani | 3 | 1
23,2025-01-26,UTA Arad,FCSB,26.01.2025 | UTA Arad | FCSB | 0 | 1
23,2025-01-26,Sepsi Sf. Gheorghe,Otelul,26.01.2025 | Sepsi Sf. Gheorghe | Otelul | 2 | 0
23,2025-01-25,FC Rapid Bucuresti,Univ. Craiova,25.01.2025 | FC Rapid Bucuresti | Univ. Craiova | 1 | 0
23,2025-01-25,Poli Iasi,FC Hermannstadt,25.01.2025 | Poli Iasi | FC Hermannstadt | 0 | 2
23,2025-01-24,Dinamo Bucuresti,U. Cluj,24.01.2025 | Dinamo Bucuresti | U. Cluj | 0 | 0
23,2025-01-24,Gloria Buzau,Unirea Slobozia,24.01.2025 | Gloria Buzau | Unirea Slobozia | 3 | 0
22,2025-01-20,FC Rapid Bucuresti,Poli Iasi,20.01.2025 | FC Rapid Bucuresti | Poli Iasi | 2 | 1
22,2025-01-20,Farul Constanta,UTA Arad,20.01.2025 | Farul Constanta | UTA Arad | 1 | 1
22,2025-01-19,Univ. Craiova,Dinamo Bucuresti,19.01.2025 | Univ. Craiova | Dinamo Bucuresti | 1 | 1
22,2025-01-19,FC Botosani,CFR Cluj,19.01.2025 | FC Botosani | CFR Cluj | 1 | 1
22,2025-01-18,Otelul,Petrolul,18.01.2025 | Otelul | Petrolul | 0 | 0
22,2025-01-18,U. Cluj,Gloria Buzau,18.01.2025 | U. Cluj | Gloria Buzau | 2 | 1
22,2025-01-17,FCSB,FC Hermannstadt,17.01.2025 | FCSB | FC Hermannstadt | 1 | 1
22,2025-01-17,Unirea Slobozia,Sepsi Sf. Gheorghe,17.01.2025 | Unirea Slobozia | Sepsi Sf. Gheorghe | 3 | 2
21,2024-12-23,Poli Iasi,FCSB,23.12.2024 | Poli Iasi | FCSB | 0 | 2
21,2024-12-23,UTA Arad,FC Botosani,23.12.2024 | UTA Arad | FC Botosani | 2 | 0
21,2024-12-22,Dinamo Bucuresti,FC Rapid Bucuresti,22.12.2024 | Dinamo Bucuresti | FC Rapid Bucuresti | 0 | 0
21,2024-12-22,CFR Cluj,Otelul,22.12.2024 | CFR Cluj | Otelul | 3 | 2
21,2024-12-22,Petrolul,Unirea Slobozia,22.12.2024 | Petrolul | Unirea Slobozia | 2 | 1
21,2024-12-21,Gloria Buzau,Univ. Craiova,21.12.2024 | Gloria Buzau | Univ. Craiova | 0 | 2
21,2024-12-21,FC Hermannstadt,Farul Constanta,21.12.2024 | FC Hermannstadt | Farul Constanta | 0 | 0
21,2024-12-20,Sepsi Sf. Gheorghe,U. Cluj,20.12.2024 | Sepsi Sf. Gheorghe | U. Cluj | 0 | 0
20,2024-12-16,FC Rapid Bucuresti,Gloria Buzau,16.12.2024 | FC Rapid Bucuresti | Gloria Buzau | 2 | 0
20,2024-12-15,Farul Constanta,FCSB,15.12.2024 | Farul Constanta | FCSB | 1 | 1
20,2024-12-15,Unirea Slobozia,CFR Cluj,15.12.2024 | Unirea Slobozia | CFR Cluj | 1 | 1
20,2024-12-14,U. Cluj,Petrolul,14.12.2024 | U. Cluj | Petrolul | 4 | 1
20,2024-12-14,Univ. Craiova,Sepsi Sf. Gheorghe,14.12.2024 | Univ. Craiova | Sepsi Sf. Gheorghe | 2 | 1
20,2024-12-14,Otelul,UTA Arad,14.12.2024 | Otelul | UTA Arad | 1 | 1
20,2024-12-13,Dinamo Bucuresti,Poli Iasi,13.12.2024 | Dinamo Bucuresti | Poli Iasi | 2 | 0
20,2024-12-13,FC Botosani,FC Hermannstadt,13.12.2024 | FC Botosani | FC Hermannstadt | 1 | 2
19,2024-12-09,U. Cluj,CFR Cluj,09.12.2024 | U. Cluj | CFR Cluj | 3 | 2
19,2024-12-09,FC Hermannstadt,Otelul,09.12.2024 | FC Hermannstadt | Otelul | 1 | 0
19,2024-12-08,FCSB,FC Botosani,08.12.2024 | FCSB | FC Botosani | 2 | 1
19,2024-12-08,Poli Iasi,Farul Constanta,08.12.2024 | Poli Iasi | Farul Constanta | 2 | 2
19,2024-12-08,UTA Arad,Unirea Slobozia,08.12.2024 | UTA Arad | Unirea Slobozia | 3 | 4
19,2024-12-07,Petrolul,Univ. Craiova,07.12.2024 | Petrolul | Univ. Craiova | 1 | 1
19,2024-12-07,Gloria Buzau,Dinamo Bucuresti,07.12.2024 | Gloria Buzau | Dinamo Bucuresti | 0 | 1
19,2024-12-06,Sepsi Sf. Gheorghe,FC Rapid Bucuresti,06.12.2024 | Sepsi Sf. Gheorghe | FC Rapid Bucuresti | 2 | 0
18,2024-12-02,Otelul,FCSB,02.12.2024 | Otelul | FCSB | 1 | 4
18,2024-12-02,U. Cluj,UTA Arad,02.12.2024 | U. Cluj | UTA Arad | 0 | 1
18,2024-12-01,Univ. Craiova,CFR Cluj,01.12.2024 | Univ. Craiova | CFR Cluj | 0 | 2
18,2024-11-30,Dinamo Bucuresti,Sepsi Sf. Gheorghe,30.11.2024 | Dinamo Bucuresti | Sepsi Sf. Gheorghe | 1 | 1
18,2024-11-30,Gloria Buzau,Poli Iasi,30.11.2024 | Gloria Buzau | Poli Iasi | 2 | 2 | 0
18,2024-11-30,Unirea Slobozia,FC Hermannstadt,30.11.2024 | Unirea Slobozia | FC Hermannstadt | 1 | 2
18,2024-11-29,FC Rapid Bucuresti,Petrolul,29.11.2024 | FC Rapid Bucuresti | Petrolul | 1 | 1
18,2024-11-29,FC Botosani,Farul Constanta,29.11.2024 | FC Botosani | Farul Constanta | 0 | 0
17,2024-11-25,UTA Arad,Univ. Craiova,25.11.2024 | UTA Arad | Univ. Craiova | 1 | 2
17,2024-11-25,FC Botosani,Poli Iasi,25.11.2024 | FC Botosani | Poli Iasi | 1 | 1
17,2024-11-24,Petrolul,Dinamo Bucuresti,24.11.2024 | Petrolul | Dinamo Bucuresti | 0 | 1
17,2024-11-24,FCSB,Unirea Slobozia,24.11.2024 | FCSB | Unirea Slobozia | 3 | 0
17,2024-11-23,CFR Cluj,FC Rapid Bucuresti,23.11.2024 | CFR Cluj | FC Rapid Bucuresti | 1 | 1
17,2024-11-23,FC Hermannstadt,U. Cluj,23.11.2024 | FC Hermannstadt | U. Cluj | 2 | 1
17,2024-11-22,Farul Constanta,Otelul,22.11.2024 | Farul Constanta | Otelul | 0 | 1
17,2024-11-22,Sepsi Sf. Gheorghe,Gloria Buzau,22.11.2024 | Sepsi Sf. Gheorghe | Gloria Buzau | 2 | 0
4,2024-11-21,FC Botosani,FCSB,21.11.2024 | FC Botosani | FCSB | 1 | 0
6,2024-11-11,Otelul,CFR Cluj,11.11.2024 | Otelul | CFR Cluj | 0 | 1
16,2024-11-11,Gloria Buzau,Petrolul,11.11.2024 | Gloria Buzau | Petrolul | 0 | 1
16,2024-11-10,U. Cluj,FCSB,10.11.2024 | U. Cluj | FCSB | 1 | 2
16,2024-11-10,Unirea Slobozia,Farul Constanta,10.11.2024 | Unirea Slobozia | Farul Constanta | 0 | 1
16,2024-11-09,FC Rapid Bucuresti,UTA Arad,09.11.2024 | FC Rapid Bucuresti | UTA Arad | 2 | 0
16,2024-11-09,Univ. Craiova,FC Hermannstadt,09.11.2024 | Univ. Craiova | FC Hermannstadt | 3 | 1
16,2024-11-09,Poli Iasi,Sepsi Sf. Gheorghe,09.11.2024 | Poli Iasi | Sepsi Sf. Gheorghe | 1 | 2
16,2024-11-08,Dinamo Bucuresti,CFR Cluj,08.11.2024 | Dinamo Bucuresti | CFR Cluj | 1 | 1
16,2024-11-08,Otelul,FC Botosani,08.11.2024 | Otelul | FC Botosani | 0 | 0
15,2024-11-04,FC Rapid Bucuresti,FC Hermannstadt,04.11.2024 | FC Rapid Bucuresti | FC Hermannstadt | 1 | 0
15,2024-11-04,Unirea Slobozia,FC Botosani,04.11.2024 | Unirea Slobozia | FC Botosani | 1 | 0
15,2024-11-03,Univ. Craiova,FCSB,03.11.2024 | Univ. Craiova | FCSB | 2 | 1 | 1
15,2024-11-03,U. Cluj,Farul Constanta,03.11.2024 | U. Cluj | Farul Constanta | 1 | 1
15,2024-11-03,Poli Iasi,Otelul,03.11.2024 | Poli Iasi | Otelul | 2 | 1
15,2024-11-02,Dinamo Bucuresti,UTA Arad,02.11.2024 | Dinamo Bucuresti | UTA Arad | 1 | 0
15,2024-11-02,Sepsi Sf. Gheorghe,Petrolul,02.11.2024 | Sepsi Sf. Gheorghe | 2 | Petrolul | 1 | 1
15,2024-11-01,Gloria Buzau,CFR Cluj,01.11.2024 | Gloria Buzau | CFR Cluj | 0 | 1
14,2024-10-28,Farul Constanta,Univ. Craiova,28.10.2024 | Farul Constanta | Univ. Craiova | 3 | 2
14,2024-10-28,FC Botosani,U. Cluj,28.10.2024 | FC Botosani | U. Cluj | 1 | 2
14,2024-10-27,FCSB,FC Rapid Bucuresti,27.10.2024 | FCSB | FC Rapid Bucuresti | 0 | 0
14,2024-10-27,Otelul,Unirea Slobozia,27.10.2024 | Otelul | Unirea Slobozia | 0 | 2
14,2024-10-26,FC Hermannstadt,Dinamo Bucuresti,26.10.2024 | FC Hermannstadt | Dinamo Bucuresti | 0 | 2
14,2024-10-26,Petrolul,Poli Iasi,26.10.2024 | Petrolul | Poli Iasi | 3 | 1
14,2024-10-26,UTA Arad,Gloria Buzau,26.10.2024 | UTA Arad | Gloria Buzau | 1 | 0
14,2024-10-25,CFR Cluj,Sepsi Sf. Gheorghe,25.10.2024 | CFR Cluj | Sepsi Sf. Gheorghe | 3 | 3
13,2024-10-21,FC Rapid Bucuresti,Farul Constanta,21.10.2024 | FC Rapid Bucuresti | Farul Constanta | 5 | 0
13,2024-10-21,Poli Iasi,Unirea Slobozia,21.10.2024 | Poli Iasi | Unirea Slobozia | 1 | 0
13,2024-10-20,Dinamo Bucuresti,FCSB,20.10.2024 | Dinamo Bucuresti | FCSB | 0 | 2
13,2024-10-20,Univ. Craiova,FC Botosani,20.10.2024 | Univ. Craiova | FC Botosani | 0 | 0
13,2024-10-19,Petrolul,CFR Cluj,19.10.2024 | Petrolul | CFR Cluj | 0 | 0
13,2024-10-19,Sepsi Sf. Gheorghe,UTA Arad,19.10.2024 | Sepsi Sf. Gheorghe | UTA Arad | 1 | 0
13,2024-10-18,U. Cluj,Otelul,18.10.2024 | U. Cluj | Otelul | 2 | 0
13,2024-10-18,Gloria Buzau,FC Hermannstadt,18.10.2024 | Gloria Buzau | FC Hermannstadt | 3 | 0
12,2024-10-06,FCSB,Gloria Buzau,06.10.2024 | FCSB | Gloria Buzau | 3 | 2
12,2024-10-06,FC Botosani,FC Rapid Bucuresti,06.10.2024 | FC Botosani | FC Rapid Bucuresti | 2 | 0
12,2024-10-06,FC Hermannstadt,Sepsi Sf. Gheorghe,06.10.2024 | FC Hermannstadt | Sepsi Sf. Gheorghe | 0 | 4
12,2024-10-05,Otelul,Univ. Craiova,05.10.2024 | Otelul | Univ. Craiova | 1 | 1
12,2024-10-05,CFR Cluj,Poli Iasi,05.10.2024 | CFR Cluj | Poli Iasi | 2 | 1
12,2024-10-05,Unirea Slobozia,U. Cluj,05.10.2024 | Unirea Slobozia | U. Cluj | 2 | 2
12,2024-10-04,Farul Constanta,Dinamo Bucuresti,04.10.2024 | Farul Constanta | Dinamo Bucuresti | 1 | 1
12,2024-10-04,UTA Arad,Petrolul,04.10.2024 | UTA Arad | Petrolul | 3 | 1
11,2024-09-30,Univ. Craiova,Unirea Slobozia,30.09.2024 | Univ. Craiova | Unirea Slobozia | 3 | 0
11,2024-09-29,Sepsi Sf. Gheorghe,FCSB,29.09.2024 | Sepsi Sf. Gheorghe | FCSB | 0 | 1
11,2024-09-29,Gloria Buzau,Farul Constanta,29.09.2024 | Gloria Buzau | Farul Constanta | 1 | 0
11,2024-09-28,FC Rapid Bucuresti,Otelul,28.09.2024 | FC Rapid Bucuresti | Otelul | 0 | 0
11,2024-09-28,CFR Cluj,UTA Arad,28.09.2024 | CFR Cluj | UTA Arad | 1 | 3
11,2024-09-28,Poli Iasi,U. Cluj,28.09.2024 | Poli Iasi | U. Cluj | 1 | 0
11,2024-09-27,Dinamo Bucuresti,FC Botosani,27.09.2024 | Dinamo Bucuresti | FC Botosani | 2 | 2
11,2024-09-27,Petrolul,FC Hermannstadt,27.09.2024 | Petrolul | FC Hermannstadt | 4 | 1
10,2024-09-23,Unirea Slobozia,FC Rapid Bucuresti,23.09.2024 | Unirea Slobozia | FC Rapid Bucuresti | 1 | 2
10,2024-09-23,UTA Arad,Poli Iasi,23.09.2024 | UTA Arad | Poli Iasi | 0 | 0
10,2024-09-22,U. Cluj,Univ. Craiova,22.09.2024 | U. Cluj | Univ. Craiova | 1 | 1
10,2024-09-22,Farul Constanta,Sepsi Sf. Gheorghe,22.09.2024 | Farul Constanta | Sepsi Sf. Gheorghe | 2 | 1
10,2024-09-21,FCSB,Petrolul,21.09.2024 | FCSB | Petrolul | 1 | 1
10,2024-09-21,FC Hermannstadt,CFR Cluj,21.09.2024 | FC Hermannstadt | CFR Cluj | 0 | 0
10,2024-09-20,Otelul,Dinamo Bucuresti,20.09.2024 | Otelul | Dinamo Bucuresti | 1 | 1
10,2024-09-20,FC Botosani,Gloria Buzau,20.09.2024 | FC Botosani | Gloria Buzau | 3 | 3
9,2024-09-16,FC Rapid Bucuresti,U. Cluj,16.09.2024 | FC Rapid Bucuresti | U. Cluj | 0 | 2
9,2024-09-16,UTA Arad,FC Hermannstadt,16.09.2024 | UTA Arad | FC Hermannstadt | 1 | 1
9,2024-09-15,CFR Cluj,FCSB,15.09.2024 | CFR Cluj | FCSB | 2 | 2
9,2024-09-15,Poli Iasi,Univ. Craiova,15.09.2024 | Poli Iasi | Univ. Craiova | 2 | 0
9,2024-09-14,Petrolul,Farul Constanta,14.09.2024 | Petrolul | Farul Constanta | 1 | 1
9,2024-09-14,Gloria Buzau,Otelul,14.09.2024 | Gloria Buzau | Otelul | 0 | 0
9,2024-09-13,Dinamo Bucuresti,Unirea Slobozia,13.09.2024 | Dinamo Bucuresti | Unirea Slobozia | 1 | 0
9,2024-09-13,Sepsi Sf. Gheorghe,FC Botosani,13.09.2024 | Sepsi Sf. Gheorghe | FC Botosani | 3 | 0
8,2024-09-02,U. Cluj,Dinamo Bucuresti,02.09.2024 | U. Cluj | Dinamo Bucuresti | 1 | 0
8,2024-09-02,Unirea Slobozia,Gloria Buzau,02.09.2024 | Unirea Slobozia | Gloria Buzau | 2 | 1
8,2024-09-01,FCSB,UTA Arad,01.09.2024 | FCSB | UTA Arad | 2 | 0
8,2024-09-01,Farul Constanta,CFR Cluj,01.09.2024 | Farul Constanta | CFR Cluj | 0 | 3
8,2024-09-01,FC Botosani,Petrolul,01.09.2024 | FC Botosani | Petrolul | 0 | 2
8,2024-08-31,Univ. Craiova,FC Rapid Bucuresti,31.08.2024 | Univ. Craiova | FC Rapid Bucuresti | 1 | 1
8,2024-08-31,FC Hermannstadt,Poli Iasi,31.08.2024 | FC Hermannstadt | Poli Iasi | 6 | 2
8,2024-08-30,Otelul,Sepsi Sf. Gheorghe,30.08.2024 | Otelul | Sepsi Sf. Gheorghe | 2 | 0
7,2024-08-26,UTA Arad,Farul Constanta,26.08.2024 | UTA Arad | Farul Constanta | 1 | 1
7,2024-08-26,Gloria Buzau,U. Cluj,26.08.2024 | Gloria Buzau | U. Cluj | 0 | 2
