round,date,team_home,team_away,full_text
33,13.04.2025,Hibernian,Dundee FC,13.04.2025 | Hibernian | Dundee FC | 4 | 0
33,13.04.2025,Aberdeen,Rangers,13.04.2025 | Aberdeen | Rangers | 2 | 2
33,12.04.2025,Dundee Utd,St Johnstone,12.04.2025 | Dundee Utd | St Johnstone | 1 | 0
33,12.04.2025,Motherwell,Hearts,12.04.2025 | Motherwell | Hearts | 0 | 0
33,12.04.2025,St. Mirren,Ross County,12.04.2025 | St. Mirren | Ross County | 3 | 2
33,12.04.2025,Celtic,Kilmarnock,12.04.2025 | Celtic | Kilmarnock | 5 | 1
32,06.04.2025,Hearts,Dundee Utd,06.04.2025 | Hearts | Dundee Utd | 0 | 1
32,06.04.2025,St Johnstone,Celtic,06.04.2025 | St Johnstone | Celtic | 1 | 0
32,05.04.2025,Dundee FC,St. Mirren,05.04.2025 | Dundee FC | St. Mirren | 2 | 0
32,05.04.2025,Kilmarnock,Motherwell,05.04.2025 | Kilmarnock | Motherwell | 2 | 0
32,05.04.2025,Rangers,Hibernian,05.04.2025 | Rangers | Hibernian | 0 | 2
32,05.04.2025,Ross County,Aberdeen,05.04.2025 | Ross County | Aberdeen | 0 | 1
31,30.03.2025,Ross County,Dundee Utd,30.03.2025 | Ross County | Dundee Utd | 0 | 1
31,29.03.2025,Dundee FC,Rangers,29.03.2025 | Dundee FC | Rangers | 3 | 4
31,29.03.2025,Aberdeen,Motherwell,29.03.2025 | Aberdeen | Motherwell | 4 | 1
31,29.03.2025,Celtic,Hearts,29.03.2025 | Celtic | Hearts | 3 | 0
31,29.03.2025,Hibernian,St Johnstone,29.03.2025 | Hibernian | St Johnstone | 3 | 0
31,29.03.2025,St. Mirren,Kilmarnock,29.03.2025 | St. Mirren | Kilmarnock | 5 | 1
30,16.03.2025,Dundee Utd,Dundee FC,16.03.2025 | Dundee Utd | Dundee FC | 2 | 4
30,16.03.2025,Celtic,Rangers,16.03.2025 | Celtic | Rangers | 2 | 3
30,15.03.2025,Hearts,Ross County,15.03.2025 | Hearts | Ross County | 2 | 0
30,15.03.2025,Kilmarnock,Hibernian,15.03.2025 | Kilmarnock | Hibernian | 1 | 1
30,15.03.2025,Motherwell,St. Mirren,15.03.2025 | Motherwell | St. Mirren | 2 | 2
30,15.03.2025,St Johnstone,Aberdeen,15.03.2025 | St Johnstone | Aberdeen | 0 | 0
29,02.03.2025,Aberdeen,Dundee Utd,02.03.2025 | Aberdeen | Dundee Utd | 2 | 2
29,02.03.2025,Hibernian,Hearts,02.03.2025 | Hibernian | Hearts | 2 | 1
29,01.03.2025,St. Mirren,Celtic,01.03.2025 | St. Mirren | Celtic | 2 | 5
29,01.03.2025,Dundee FC,St Johnstone,01.03.2025 | Dundee FC | St Johnstone | 1 | 1
29,01.03.2025,Rangers,Motherwell,01.03.2025 | Rangers | Motherwell | 1 | 2
29,01.03.2025,Ross County,Kilmarnock,01.03.2025 | Ross County | Kilmarnock | 1 | 0
28,26.02.2025,Kilmarnock,Rangers,26.02.2025 | Kilmarnock | Rangers | 2 | 4
28,26.02.2025,Dundee Utd,Hibernian,26.02.2025 | Dundee Utd | Hibernian | 1 | 3
28,26.02.2025,Hearts,St. Mirren,26.02.2025 | Hearts | St. Mirren | 3 | 1
28,26.02.2025,Motherwell,Dundee FC,26.02.2025 | Motherwell | Dundee FC | 2 | 1
28,26.02.2025,St Johnstone,Ross County,26.02.2025 | St Johnstone | Ross County | 1 | 0
28,25.02.2025,Celtic,Aberdeen,25.02.2025 | Celtic | Aberdeen | 5 | 1
27,23.02.2025,St Johnstone,Hearts,23.02.2025 | St Johnstone | Hearts | 1 | 2
27,22.02.2025,Aberdeen,Kilmarnock,22.02.2025 | Aberdeen | Kilmarnock | 1 | 0
27,22.02.2025,Dundee Utd,Motherwell,22.02.2025 | Dundee Utd | Motherwell | 1 | 0
27,22.02.2025,Rangers,St. Mirren,22.02.2025 | Rangers | St. Mirren | 0 | 2
27,22.02.2025,Ross County,Dundee FC,22.02.2025 | Ross County | Dundee FC | 3 | 1
27,22.02.2025,Hibernian,Celtic,22.02.2025 | Hibernian | Celtic | 2 | 1
26,16.02.2025,St. Mirren,Hibernian,16.02.2025 | St. Mirren | Hibernian | 0 | 0
26,16.02.2025,Hearts,Rangers,16.02.2025 | Hearts | Rangers | 1 | 3
26,15.02.2025,Celtic,Dundee Utd,15.02.2025 | Celtic | Dundee Utd | 3 | 0
26,15.02.2025,Dundee FC,Aberdeen,15.02.2025 | Dundee FC | Aberdeen | 1 | 2
26,15.02.2025,Kilmarnock,St Johnstone,15.02.2025 | Kilmarnock | St Johnstone | 3 | 1
26,15.02.2025,Motherwell,Ross County,15.02.2025 | Motherwell | Ross County | 0 | 3
24,05.02.2025,Celtic,Dundee FC,05.02.2025 | Celtic | Dundee FC | 6 | 0
25,02.02.2025,Motherwell,Celtic,02.02.2025 | Motherwell | Celtic | 1 | 3
25,02.02.2025,Rangers,Ross County,02.02.2025 | Rangers | Ross County | 4 | 0
