round,date,team_home,team_away,full_text
22,2025-03-01,Banska Bystrica,Zilina,01.03.2025 | Banska Bystrica | Zilina | 1 | 2
22,2025-03-01,Dun. Streda,Ruzomberok,01.03.2025 | Dun. Streda | Ruzomberok | 3 | 0
22,2025-03-01,Kosice,Michalovce,01.03.2025 | Kosice | Michalovce | 3 | 2
22,2025-03-01,Podbrezova,Komarno,01.03.2025 | Podbrezova | Komarno | 2 | 2
22,2025-03-01,Skalica,Trencin,01.03.2025 | Skalica | Trencin | 0 | 0
22,2025-03-01,Slovan Bratislava,Trnava,01.03.2025 | Slovan Bratislava | Trnava | 0 | 1
20,2025-02-25,Komarno,Zilina,25.02.2025 | Komarno | Zilina | 1 | 0
21,2025-02-23,Michalovce,Banska Bystrica,23.02.2025 | Michalovce | Banska Bystrica | 1 | 0
21,2025-02-23,Trnava,Podbrezova,23.02.2025 | Trnava | Podbrezova | 1 | 1
21,2025-02-22,Zilina,Dun. Streda,22.02.2025 | Zilina | Dun. Streda | 1 | 1
21,2025-02-22,Komarno,Skalica,22.02.2025 | Komarno | Skalica | 0 | 0
21,2025-02-22,Ruzomberok,Kosice,22.02.2025 | Ruzomberok | Kosice | 2 | 1
21,2025-02-22,Trencin,Slovan Bratislava,22.02.2025 | Trencin | Slovan Bratislava | 1 | 1
20,2025-02-16,Skalica,Ruzomberok,16.02.2025 | Skalica | Ruzomberok | 1 | 0
20,2025-02-16,Trnava,Dun. Streda,16.02.2025 | Trnava | Dun. Streda | 1 | 1
20,2025-02-15,Slovan Bratislava,Michalovce,15.02.2025 | Slovan Bratislava | Michalovce | 1 | 1
20,2025-02-15,Kosice,Banska Bystrica,15.02.2025 | Kosice | Banska Bystrica | 4 | 0
20,2025-02-15,Podbrezova,Trencin,15.02.2025 | Podbrezova | Trencin | 2 | 1
19,2025-02-09,Ruzomberok,Slovan Bratislava,09.02.2025 | Ruzomberok | Slovan Bratislava | 1 | 5
19,2025-02-09,Trencin,Komarno,09.02.2025 | Trencin | Komarno | 1 | 0
19,2025-02-08,Zilina,Kosice,08.02.2025 | Zilina | Kosice | 0 | 2
19,2025-02-08,Banska Bystrica,Trnava,08.02.2025 | Banska Bystrica | Trnava | 1 | 4
19,2025-02-08,Dun. Streda,Skalica,08.02.2025 | Dun. Streda | Skalica | 3 | 1
19,2025-02-08,Michalovce,Podbrezova,08.02.2025 | Michalovce | Podbrezova | 2 | 2
18,2024-12-15,Komarno,Banska Bystrica,15.12.2024 | Komarno | Banska Bystrica | 3 | 0
18,2024-12-15,Skalica,Zilina,15.12.2024 | Skalica | Zilina | 0 | 0
18,2024-12-14,Slovan Bratislava,Dun. Streda,14.12.2024 | Slovan Bratislava | Dun. Streda | 2 | 1
18,2024-12-14,Podbrezova,Ruzomberok,14.12.2024 | Podbrezova | Ruzomberok | 2 | 0
18,2024-12-14,Trencin,Michalovce,14.12.2024 | Trencin | Michalovce | 0 | 0
18,2024-12-14,Trnava,Kosice,14.12.2024 | Trnava | Kosice | 1 | 0
17,2024-12-08,Dun. Streda,Trencin,08.12.2024 | Dun. Streda | Trencin | 3 | 3
17,2024-12-08,Kosice,Skalica,08.12.2024 | Kosice | Skalica | 1 | 1
