round,date,team_home,team_away,full_text
38,25.05.2025,Ath Bilbao,Barcelona,25.05.2025 | Ath Bilbao | Barcelona | 0 | 3
38,25.05.2025,Villarreal,Sevilla,25.05.2025 | Villarreal | Sevilla | 4 | 2
38,25.05.2025,Girona,Atl. Madrid,25.05.2025 | Girona | Atl. Madrid | 0 | 4
38,24.05.2025,Alaves,Osasuna,24.05.2025 | Alaves | Osasuna | 1 | 1
38,24.05.2025,Getafe,Celta Vigo,24.05.2025 | Getafe | Celta Vigo | 1 | 2
38,24.05.2025,Rayo Vallecano,Mallorca,24.05.2025 | Rayo Vallecano | Mallorca | 0 | 0
38,24.05.2025,Espanyol,Las Palmas,24.05.2025 | Espanyol | Las Palmas | 2 | 0
38,24.05.2025,Leganes,Valladolid,24.05.2025 | Leganes | Valladolid | 3 | 0
38,24.05.2025,Real Madrid,Real Sociedad,24.05.2025 | Real Madrid | Real Sociedad | 2 | 0
38,23.05.2025,Betis,Valencia,23.05.2025 | Betis | Valencia | 1 | 1
37,18.05.2025,Atl. Madrid,Betis,18.05.2025 | Atl. Madrid | Betis | 4 | 1
37,18.05.2025,Barcelona,Villarreal,18.05.2025 | Barcelona | Villarreal | 2 | 3
37,18.05.2025,Celta Vigo,Rayo Vallecano,18.05.2025 | Celta Vigo | Rayo Vallecano | 1 | 2
37,18.05.2025,Las Palmas,Leganes,18.05.2025 | Las Palmas | Leganes | 0 | 1
37,18.05.2025,Mallorca,Getafe,18.05.2025 | Mallorca | Getafe | 1 | 2
37,18.05.2025,Osasuna,Espanyol,18.05.2025 | Osasuna | Espanyol | 2 | 0
37,18.05.2025,Real Sociedad,Girona,18.05.2025 | Real Sociedad | Girona | 3 | 2
37,18.05.2025,Sevilla,Real Madrid,18.05.2025 | Sevilla | 2 | Real Madrid | 0 | 2
37,18.05.2025,Valencia,Ath Bilbao,18.05.2025 | Valencia | Ath Bilbao | 0 | 1
37,18.05.2025,Valladolid,Alaves,18.05.2025 | Valladolid | Alaves | 0 | 1
36,15.05.2025,Espanyol,Barcelona,15.05.2025 | Espanyol | Barcelona | 0 | 2
36,15.05.2025,Getafe,Ath Bilbao,15.05.2025 | Getafe | Ath Bilbao | 0 | 2
36,15.05.2025,Osasuna,Atl. Madrid,15.05.2025 | Osasuna | Atl. Madrid | 2 | 0
36,15.05.2025,Rayo Vallecano,Betis,15.05.2025 | Rayo Vallecano | Betis | 2 | 2
36,14.05.2025,Real Madrid,Mallorca,14.05.2025 | Real Madrid | Mallorca | 2 | 1
36,14.05.2025,Alaves,Valencia,14.05.2025 | Alaves | Valencia | 1 | 0
36,14.05.2025,Villarreal,Leganes,14.05.2025 | Villarreal | Leganes | 3 | 0
36,13.05.2025,Sevilla,Las Palmas,13.05.2025 | Sevilla | Las Palmas | 1 | 0
36,13.05.2025,Real Sociedad,Celta Vigo,13.05.2025 | Real Sociedad | Celta Vigo | 0 | 1
36,13.05.2025,Valladolid,Girona,13.05.2025 | Valladolid | Girona | 0 | 1
35,11.05.2025,Betis,Osasuna,11.05.2025 | Betis | Osasuna | 1 | 1
35,11.05.2025,Ath Bilbao,Alaves,11.05.2025 | Ath Bilbao | Alaves | 1 | 0
35,11.05.2025,Barcelona,Real Madrid,11.05.2025 | Barcelona | Real Madrid | 4 | 3
35,11.05.2025,Leganes,Espanyol,11.05.2025 | Leganes | Espanyol | 3 | 2
35,10.05.2025,Atl. Madrid,Real Sociedad,10.05.2025 | Atl. Madrid | Real Sociedad | 4 | 0
35,10.05.2025,Girona,Villarreal,10.05.2025 | Girona | Villarreal | 0 | 1
35,10.05.2025,Mallorca,Valladolid,10.05.2025 | Mallorca | Valladolid | 2 | 1
35,10.05.2025,Celta Vigo,Sevilla,10.05.2025 | Celta Vigo | Sevilla | 3 | 2
35,10.05.2025,Valencia,Getafe,10.05.2025 | Valencia | Getafe | 3 | 0
35,09.05.2025,Las Palmas,Rayo Vallecano,09.05.2025 | Las Palmas | Rayo Vallecano | 0 | 1
34,05.05.2025,Girona,Mallorca,05.05.2025 | Girona | Mallorca | 1 | 0
34,04.05.2025,Real Sociedad,Ath Bilbao,04.05.2025 | Real Sociedad | Ath Bilbao | 0 | 0
34,04.05.2025,Espanyol,Betis,04.05.2025 | Espanyol | Betis | 1 | 2
34,04.05.2025,Sevilla,Leganes,04.05.2025 | Sevilla | Leganes | 2 | 2
34,04.05.2025,Real Madrid,Celta Vigo,04.05.2025 | Real Madrid | Celta Vigo | 3 | 2
34,03.05.2025,Valladolid,Barcelona,03.05.2025 | Valladolid | Barcelona | 1 | 2
34,03.05.2025,Las Palmas,Valencia,03.05.2025 | Las Palmas | Valencia | 2 | 3
34,03.05.2025,Villarreal,Osasuna,03.05.2025 | Villarreal | Osasuna | 4 | 2
34,03.05.2025,Alaves,Atl. Madrid,03.05.2025 | Alaves | Atl. Madrid | 0 | 0
34,02.05.2025,Rayo Vallecano,Getafe,02.05.2025 | Rayo Vallecano | Getafe | 1 | 0
26,27.04.2025,Villarreal,Espanyol,27.04.2025 | Villarreal | Espanyol | 1 | 0
33,24.04.2025,Atl. Madrid,Rayo Vallecano,24.04.2025 | Atl. Madrid | Rayo Vallecano | 3 | 0
33,24.04.2025,Betis,Valladolid,24.04.2025 | Betis | Valladolid | 5 | 1
33,24.04.2025,Leganes,Girona,24.04.2025 | Leganes | Girona | 1 | 1
33,24.04.2025,Osasuna,Sevilla,24.04.2025 | Osasuna | Sevilla | 1 | 0
33,23.04.2025,Alaves,Real Sociedad,23.04.2025 | Alaves | Real Sociedad | 1 | 0
33,23.04.2025,Getafe,Real Madrid,23.04.2025 | Getafe | Real Madrid | 0 | 1
33,23.04.2025,Ath Bilbao,Las Palmas,23.04.2025 | Ath Bilbao | Las Palmas | 1 | 0
33,23.04.2025,Celta Vigo,Villarreal,23.04.2025 | Celta Vigo | Villarreal | 3 | 0
33,22.04.2025,Barcelona,Mallorca,22.04.2025 | Barcelona | Mallorca | 1 | 0
33,22.04.2025,Valencia,Espanyol,22.04.2025 | Valencia | Espanyol | 1 | 1
32,21.04.2025,Girona,Betis,21.04.2025 | Girona | Betis | 1 | 3
32,20.04.2025,Real Madrid,Ath Bilbao,20.04.2025 | Real Madrid | Ath Bilbao | 1 | 0
32,20.04.2025,Sevilla,Alaves,20.04.2025 | Sevilla | Alaves | 1 | 1
32,20.04.2025,Villarreal,Real Sociedad,20.04.2025 | Villarreal | Real Sociedad | 2 | 2
32,20.04.2025,Valladolid,Osasuna,20.04.2025 | Valladolid | Osasuna | 2 | 3
32,19.04.2025,Las Palmas,Atl. Madrid,19.04.2025 | Las Palmas | Atl. Madrid | 1 | 0
32,19.04.2025,Mallorca,Leganes,19.04.2025 | Mallorca | Leganes | 0 | 0
32,19.04.2025,Barcelona,Celta Vigo,19.04.2025 | Barcelona | Celta Vigo | 4 | 3
32,19.04.2025,Rayo Vallecano,Valencia,19.04.2025 | Rayo Vallecano | Valencia | 1 | 1
32,18.04.2025,Espanyol,Getafe,18.04.2025 | Espanyol | Getafe | 1 | 0
31,14.04.2025,Atl. Madrid,Valladolid,14.04.2025 | Atl. Madrid | Valladolid | 4 | 2
31,13.04.2025,Ath Bilbao,Rayo Vallecano,13.04.2025 | Ath Bilbao | Rayo Vallecano | 3 | 1
31,13.04.2025,Betis,Villarreal,13.04.2025 | Betis | Villarreal | 1 | 2
31,13.04.2025,Alaves,Real Madrid,13.04.2025 | Alaves | Real Madrid | 0 | 1
31,13.04.2025,Osasuna,Girona,13.04.2025 | Osasuna | Girona | 2 | 1
31,12.04.2025,Leganes,Barcelona,12.04.2025 | Leganes | Barcelona | 0 | 1
31,12.04.2025,Celta Vigo,Espanyol,12.04.2025 | Celta Vigo | Espanyol | 0 | 2
31,12.04.2025,Getafe,Las Palmas,12.04.2025 | Getafe | Las Palmas | 1 | 3
31,12.04.2025,Real Sociedad,Mallorca,12.04.2025 | Real Sociedad | Mallorca | 0 | 2
31,11.04.2025,Valencia,Sevilla,11.04.2025 | Valencia | Sevilla | 1 | 0
30,07.04.2025,Leganes,Osasuna,07.04.2025 | Leganes | Osasuna | 1 | 1
30,06.04.2025,Villarreal,Ath Bilbao,06.04.2025 | Villarreal | Ath Bilbao | 0 | 0
30,06.04.2025,Valladolid,Getafe,06.04.2025 | Valladolid | Getafe | 0 | 4
30,06.04.2025,Sevilla,Atl. Madrid,06.04.2025 | Sevilla | Atl. Madrid | 1 | 2
30,06.04.2025,Las Palmas,Real Sociedad,06.04.2025 | Las Palmas | Real Sociedad | 1 | 3
30,05.04.2025,Barcelona,Betis,05.04.2025 | Barcelona | Betis | 1 | 1
30,05.04.2025,Mallorca,Celta Vigo,05.04.2025 | Mallorca | Celta Vigo | 1 | 2
30,05.04.2025,Real Madrid,Valencia,05.04.2025 | Real Madrid | Valencia | 1 | 2
30,05.04.2025,Girona,Alaves,05.04.2025 | Girona | Alaves | 0 | 1
30,04.04.2025,Rayo Vallecano,Espanyol,04.04.2025 | Rayo Vallecano | Espanyol | 0 | 4
