round,date,team_home,team_away,full_text
30,09.11.2025,AIK,Halmstad,09.11.2025 | AIK | Halmstad | 0 | 2
30,09.11.2025,Brommapojkarna,Degerfors,09.11.2025 | Brommapojkarna | Degerfors | 1 | 3
30,09.11.2025,Goteborg,Norrkoping,09.11.2025 | Goteborg | Norrkoping | 2 | 0
30,09.11.2025,Hammarby,Elfsborg,09.11.2025 | Hammarby | Elfsborg | 3 | 0
30,09.11.2025,Malmo FF,GAIS,09.11.2025 | Malmo FF | GAIS | 2 | 1
30,09.11.2025,Mjallby,Hacken,09.11.2025 | Mjallby | Hacken | 1 | 0
30,09.11.2025,Oster,Djurgarden,09.11.2025 | Oster | Djurgarden | 1 | 3
30,09.11.2025,Sirius,Varnamo,09.11.2025 | Sirius | Varnamo | 3 | 1
29,03.11.2025,Degerfors,Hammarby,03.11.2025 | Degerfors | Hammarby | 1 | 1
29,03.11.2025,Varnamo,Mjallby,03.11.2025 | Varnamo | Mjallby | 0 | 5
29,02.11.2025,Djurgarden,Goteborg,02.11.2025 | Djurgarden | Goteborg | 0 | 0
29,02.11.2025,GAIS,Oster,02.11.2025 | GAIS | Oster | 1 | 1
29,02.11.2025,Elfsborg,AIK,02.11.2025 | Elfsborg | AIK | 0 | 3
29,02.11.2025,Halmstad,Brommapojkarna,02.11.2025 | Halmstad | Brommapojkarna | 0 | 0
29,01.11.2025,Norrkoping,Sirius,01.11.2025 | Norrkoping | Sirius | 1 | 2
29,01.11.2025,Hacken,Malmo FF,01.11.2025 | Hacken | Malmo FF | 1 | 1
28,27.10.2025,Malmo FF,Hammarby,27.10.2025 | Malmo FF | Hammarby | 1 | 3
28,27.10.2025,Brommapojkarna,GAIS,27.10.2025 | Brommapojkarna | GAIS | 0 | 2
28,26.10.2025,AIK,Hacken,26.10.2025 | AIK | Hacken | 2 | 2
28,26.10.2025,Halmstad,Goteborg,26.10.2025 | Halmstad | Goteborg | 0 | 3
28,26.10.2025,Mjallby,Norrkoping,26.10.2025 | Mjallby | Norrkoping | 2 | 1
28,26.10.2025,Sirius,Elfsborg,26.10.2025 | Sirius | Elfsborg | 4 | 0
28,25.10.2025,Oster,Degerfors,25.10.2025 | Oster | Degerfors | 1 | 2
28,25.10.2025,Djurgarden,Varnamo,25.10.2025 | Djurgarden | Varnamo | 6 | 2
27,20.10.2025,Goteborg,Mjallby,20.10.2025 | Goteborg | Mjallby | 0 | 2
27,20.10.2025,Degerfors,Halmstad,20.10.2025 | Degerfors | Halmstad | 0 | 1
27,19.10.2025,Elfsborg,Oster,19.10.2025 | Elfsborg | Oster | 5 | 1
27,19.10.2025,Varnamo,Brommapojkarna,19.10.2025 | Varnamo | Brommapojkarna | 1 | 1
27,19.10.2025,GAIS,Djurgarden,19.10.2025 | GAIS | Djurgarden | 3 | 2
27,19.10.2025,Hammarby,AIK,19.10.2025 | Hammarby | AIK | 2 | 1
27,18.10.2025,Hacken,Sirius,18.10.2025 | Hacken | Sirius | 1 | 1
27,18.10.2025,Norrkoping,Malmo FF,18.10.2025 | Norrkoping | Malmo FF | 0 | 2
26,05.10.2025,Brommapojkarna,Hacken,05.10.2025 | Brommapojkarna | Hacken | 1 | 3
26,05.10.2025,Sirius,Malmo FF,05.10.2025 | Sirius | Malmo FF | 5 | 1
26,05.10.2025,AIK,Varnamo,05.10.2025 | AIK | Varnamo | 2 | 3
26,05.10.2025,Goteborg,Hammarby,05.10.2025 | Goteborg | Hammarby | 1 | 2
26,04.10.2025,GAIS,Norrkoping,04.10.2025 | GAIS | Norrkoping | 2 | 1
26,04.10.2025,Degerfors,Djurgarden,04.10.2025 | Degerfors | Djurgarden | 1 | 1
26,04.10.2025,Mjallby,Elfsborg,04.10.2025 | Mjallby | Elfsborg | 2 | 0
26,04.10.2025,Oster,Halmstad,04.10.2025 | Oster | Halmstad | 3 | 0
25,29.09.2025,Oster,Goteborg,29.09.2025 | Oster | Goteborg | 0 | 2
25,29.09.2025,Djurgarden,Sirius,29.09.2025 | Djurgarden | Sirius | 8 | 2
25,28.09.2025,AIK,GAIS,28.09.2025 | AIK | GAIS | 1 | 1
