round,date,team_home,team_away,full_text
33,21.04.2025,Basel,Yverdon,21.04.2025 | Basel | Yverdon | 5 | 0
33,21.04.2025,Lausanne,Lugano,21.04.2025 | Lausanne | Lugano | 2 | 0
33,21.04.2025,Servette,Luzern,21.04.2025 | Servette | Luzern | 2 | 1
33,21.04.2025,St. Gallen,Sion,21.04.2025 | St. Gallen | Sion | 1 | 0
33,21.04.2025,Young Boys,Zurich,21.04.2025 | Young Boys | Zurich | 2 | 1
33,19.04.2025,Grasshoppers,Winterthur,19.04.2025 | Grasshoppers | Winterthur | 0 | 1
32,13.04.2025,Luzern,Young Boys,13.04.2025 | Luzern | Young Boys | 5 | 0
32,13.04.2025,Sion,Servette,13.04.2025 | Sion | Servette | 1 | 1
32,13.04.2025,Lugano,St. Gallen,13.04.2025 | Lugano | St. Gallen | 1 | 1
32,12.04.2025,Zurich,Basel,12.04.2025 | Zurich | Basel | 0 | 4
32,12.04.2025,Winterthur,Lausanne,12.04.2025 | Winterthur | Lausanne | 1 | 0
32,12.04.2025,Yverdon,Grasshoppers,12.04.2025 | Yverdon | Grasshoppers | 1 | 2
31,06.04.2025,Basel,Lugano,06.04.2025 | Basel | Lugano | 2 | 0
31,06.04.2025,Grasshoppers,Luzern,06.04.2025 | Grasshoppers | Luzern | 3 | 1
31,06.04.2025,St. Gallen,Servette,06.04.2025 | St. Gallen | Servette | 1 | 0
31,05.04.2025,Young Boys,Yverdon,05.04.2025 | Young Boys | Yverdon | 1 | 1
31,05.04.2025,Lausanne,Sion,05.04.2025 | Lausanne | Sion | 2 | 0
31,05.04.2025,Winterthur,Zurich,05.04.2025 | Winterthur | Zurich | 0 | 0
30,03.04.2025,Basel,Grasshoppers,03.04.2025 | Basel | Grasshoppers | 2 | 1
30,03.04.2025,Luzern,St. Gallen,03.04.2025 | Luzern | St. Gallen | 1 | 1
30,02.04.2025,Sion,Winterthur,02.04.2025 | Sion | Winterthur | 1 | 2
30,02.04.2025,Zurich,Lausanne,02.04.2025 | Zurich | Lausanne | 2 | 2
30,01.04.2025,Servette,Young Boys,01.04.2025 | Servette | Young Boys | 0 | 1
30,01.04.2025,Yverdon,Lugano,01.04.2025 | Yverdon | Lugano | 0 | 2
29,30.03.2025,Grasshoppers,Zurich,30.03.2025 | Grasshoppers | Zurich | 1 | 2
29,30.03.2025,Lausanne,Luzern,30.03.2025 | Lausanne | Luzern | 1 | 4
29,30.03.2025,Winterthur,Basel,30.03.2025 | Winterthur | Basel | 0 | 2
29,29.03.2025,Lugano,Servette,29.03.2025 | Lugano | Servette | 0 | 2
29,29.03.2025,Sion,Yverdon,29.03.2025 | Sion | Yverdon | 1 | 1
29,29.03.2025,Young Boys,St. Gallen,29.03.2025 | Young Boys | St. Gallen | 1 | 0
28,16.03.2025,Basel,Young Boys,16.03.2025 | Basel | Young Boys | 1 | 2
28,16.03.2025,Lugano,Winterthur,16.03.2025 | Lugano | Winterthur | 2 | 1
28,16.03.2025,Grasshoppers,Sion,16.03.2025 | Grasshoppers | Sion | 1 | 1
28,15.03.2025,Zurich,Luzern,15.03.2025 | Zurich | Luzern | 3 | 2
28,15.03.2025,Servette,Yverdon,15.03.2025 | Servette | Yverdon | 2 | 3
28,15.03.2025,St. Gallen,Lausanne,15.03.2025 | St. Gallen | Lausanne | 0 | 2
27,09.03.2025,Luzern,Basel,09.03.2025 | Luzern | Basel | 1 | 1
27,09.03.2025,Sion,Lugano,09.03.2025 | Sion | Lugano | 2 | 1
27,09.03.2025,Zurich,Servette,09.03.2025 | Zurich | Servette | 1 | 3
27,08.03.2025,St. Gallen,Grasshoppers,08.03.2025 | St. Gallen | Grasshoppers | 3 | 1
27,08.03.2025,Young Boys,Lausanne,08.03.2025 | Young Boys | Lausanne | 3 | 0
