round,date,team_home,team_away,full_text
38,01.06.2025,Bodrumspor,Besiktas,01.06.2025 | Bodrumspor | Besiktas | 0 | 4
38,01.06.2025,Samsunspor,Kayserispor,01.06.2025 | Samsunspor | Kayserispor | 2 | 1
38,31.05.2025,Adana Demirspor,Gaziantep,31.05.2025 | Adana Demirspor | Gaziantep | 2 | 2
38,31.05.2025,Alanyaspor,Sivasspor,31.05.2025 | Alanyaspor | Sivasspor | 2 | 0
38,31.05.2025,Fenerbahce,Konyaspor,31.05.2025 | Fenerbahce | Konyaspor | 2 | 1
38,31.05.2025,Rizespor,Hatayspor,31.05.2025 | Rizespor | Hatayspor | 5 | 2
38,30.05.2025,Antalyaspor,Trabzonspor,30.05.2025 | Antalyaspor | Trabzonspor | 0 | 2
38,30.05.2025,Galatasaray,Basaksehir,30.05.2025 | Galatasaray | Basaksehir | 2 | 0
38,30.05.2025,Kasimpasa,Goztepe,30.05.2025 | Kasimpasa | Goztepe | 1 | 2
37,26.05.2025,Hatayspor,Fenerbahce,26.05.2025 | Hatayspor | Fenerbahce | 4 | 2
37,25.05.2025,Basaksehir,Adana Demirspor,25.05.2025 | Basaksehir | Adana Demirspor | 2 | 3
37,25.05.2025,Besiktas,Rizespor,25.05.2025 | Besiktas | Rizespor | 1 | 2
37,25.05.2025,Kayserispor,Bodrumspor,25.05.2025 | Kayserispor | Bodrumspor | 1 | 1
37,25.05.2025,Konyaspor,Alanyaspor,25.05.2025 | Konyaspor | Alanyaspor | 1 | 2
37,25.05.2025,Trabzonspor,Samsunspor,25.05.2025 | Trabzonspor | Samsunspor | 2 | 2
37,24.05.2025,Gaziantep,Kasimpasa,24.05.2025 | Gaziantep | Kasimpasa | 2 | 2
37,24.05.2025,Goztepe,Galatasaray,24.05.2025 | Goztepe | Galatasaray | 0 | 2
37,24.05.2025,Eyupspor,Antalyaspor,24.05.2025 | Eyupspor | Antalyaspor | 2 | 1
36,18.05.2025,Alanyaspor,Besiktas,18.05.2025 | Alanyaspor | Besiktas | 1 | 1
36,18.05.2025,Antalyaspor,Gaziantep,18.05.2025 | Antalyaspor | Gaziantep | 0 | 0
36,18.05.2025,Bodrumspor,Trabzonspor,18.05.2025 | Bodrumspor | Trabzonspor | 1 | 1
36,18.05.2025,Fenerbahce,Eyupspor,18.05.2025 | Fenerbahce | Eyupspor | 2 | 1
36,18.05.2025,Galatasaray,Kayserispor,18.05.2025 | Galatasaray | Kayserispor | 3 | 0
36,18.05.2025,Kasimpasa,Basaksehir,18.05.2025 | Kasimpasa | Basaksehir | 2 | 3
36,18.05.2025,Rizespor,Goztepe,18.05.2025 | Rizespor | Goztepe | 6 | 3
36,18.05.2025,Samsunspor,Sivasspor,18.05.2025 | Samsunspor | Sivasspor | 1 | 0
36,17.05.2025,Adana Demirspor,Hatayspor,17.05.2025 | Adana Demirspor | Hatayspor | 0 | 5
35,12.05.2025,Kayserispor,Antalyaspor,12.05.2025 | Kayserispor | Antalyaspor | 3 | 1
35,11.05.2025,Besiktas,Adana Demirspor,11.05.2025 | Besiktas | Adana Demirspor | 4 | 1
35,11.05.2025,Goztepe,Hatayspor,11.05.2025 | Goztepe | Hatayspor | 1 | 1
35,11.05.2025,Sivasspor,Bodrumspor,11.05.2025 | Sivasspor | Bodrumspor | 0 | 0
35,10.05.2025,Trabzonspor,Galatasaray,10.05.2025 | Trabzonspor | Galatasaray | 0 | 2
35,10.05.2025,Eyupspor,Kasimpasa,10.05.2025 | Eyupspor | Kasimpasa | 0 | 3
35,10.05.2025,Konyaspor,Rizespor,10.05.2025 | Konyaspor | Rizespor | 2 | 1
35,09.05.2025,Basaksehir,Fenerbahce,09.05.2025 | Basaksehir | Fenerbahce | 1 | 4
35,09.05.2025,Gaziantep,Alanyaspor,09.05.2025 | Gaziantep | Alanyaspor | 0 | 1
34,05.05.2025,Kasimpasa,Trabzonspor,05.05.2025 | Kasimpasa | Trabzonspor | 1 | 1
34,04.05.2025,Adana Demirspor,Goztepe,04.05.2025 | Adana Demirspor | Goztepe | 1 | 2
34,04.05.2025,Fenerbahce,Besiktas,04.05.2025 | Fenerbahce | Besiktas | 0 | 1
34,04.05.2025,Samsunspor,Eyupspor,04.05.2025 | Samsunspor | Eyupspor | 3 | 0
34,03.05.2025,Galatasaray,Sivasspor,03.05.2025 | Galatasaray | Sivasspor | 4 | 1
34,03.05.2025,Hatayspor,Basaksehir,03.05.2025 | Hatayspor | Basaksehir | 2 | 4
34,03.05.2025,Alanyaspor,Kayserispor,03.05.2025 | Alanyaspor | Kayserispor | 1 | 1
34,03.05.2025,Rizespor,Gaziantep,03.05.2025 | Rizespor | Gaziantep | 2 | 0
34,02.05.2025,Antalyaspor,Konyaspor,02.05.2025 | Antalyaspor | Konyaspor | 1 | 0
33,28.04.2025,Goztepe,Basaksehir,28.04.2025 | Goztepe | Basaksehir | 4 | 1
33,27.04.2025,Eyupspor,Galatasaray,27.04.2025 | Eyupspor | Galatasaray | 1 | 5
33,27.04.2025,Kayserispor,Rizespor,27.04.2025 | Kayserispor | Rizespor | 1 | 0
33,27.04.2025,Konyaspor,Adana Demirspor,27.04.2025 | Konyaspor | Adana Demirspor | 3 | 1
33,27.04.2025,Trabzonspor,Alanyaspor,27.04.2025 | Trabzonspor | Alanyaspor | 4 | 3
33,26.04.2025,Bodrumspor,Samsunspor,26.04.2025 | Bodrumspor | Samsunspor | 1 | 2
33,26.04.2025,Gaziantep,Fenerbahce,26.04.2025 | Gaziantep | Fenerbahce | 1 | 3
33,26.04.2025,Sivasspor,Antalyaspor,26.04.2025 | Sivasspor | Antalyaspor | 2 | 0
33,25.04.2025,Besiktas,Hatayspor,25.04.2025 | Besiktas | Hatayspor | 5 | 1
32,21.04.2025,Alanyaspor,Samsunspor,21.04.2025 | Alanyaspor | Samsunspor | 1 | 0
32,20.04.2025,Fenerbahce,Kayserispor,20.04.2025 | Fenerbahce | Kayserispor | 3 | 3
32,20.04.2025,Rizespor,Eyupspor,20.04.2025 | Rizespor | Eyupspor | 1 | 0
32,20.04.2025,Basaksehir,Gaziantep,20.04.2025 | Basaksehir | Gaziantep | 2 | 1
32,19.04.2025,Goztepe,Besiktas,19.04.2025 | Goztepe | Besiktas | 1 | 1
32,19.04.2025,Adana Demirspor,Trabzonspor,19.04.2025 | Adana Demirspor | Trabzonspor | 0 | 1
32,19.04.2025,Kasimpasa,Sivasspor,19.04.2025 | Kasimpasa | Sivasspor | 3 | 1
32,18.04.2025,Galatasaray,Bodrumspor,18.04.2025 | Galatasaray | Bodrumspor | 2 | 0
32,18.04.2025,Hatayspor,Konyaspor,18.04.2025 | Hatayspor | Konyaspor | 2 | 3
31,14.04.2025,Eyupspor,Adana Demirspor,14.04.2025 | Eyupspor | Adana Demirspor | 6 | 0
31,13.04.2025,Sivasspor,Fenerbahce,13.04.2025 | Sivasspor | Fenerbahce | 1 | 3
31,13.04.2025,Trabzonspor,Rizespor,13.04.2025 | Trabzonspor | Rizespor | 2 | 0
