round,date,team_home,team_away,full_text
30,25.05.2025,Karpaty Lviv,FK Zorya Luhansk,25.05.2025 | Karpaty Lviv | FK Zorya Luhansk | 1 | 3
30,25.05.2025,Polissya Zhytomyr,Kryvbas,25.05.2025 | Polissya Zhytomyr | Kryvbas | 1 | 1
30,25.05.2025,Veres-Rivne,LNZ Cherkasy,25.05.2025 | Veres-Rivne | LNZ Cherkasy | 1 | 1
30,24.05.2025,Dyn. Kyiv,Kolos Kovalivka,24.05.2025 | Dyn. Kyiv | Kolos Kovalivka | 1 | 1
30,24.05.2025,Rukh Lviv,Shakhtar Donetsk,24.05.2025 | Rukh Lviv | Shakhtar Donetsk | 1 | 1
30,24.05.2025,Ch. Odesa,Oleksandriya,24.05.2025 | Ch. Odesa | Oleksandriya | 0 | 0
30,23.05.2025,Inhulets,Vorskla Poltava,23.05.2025 | Inhulets | Vorskla Poltava | 1 | 1
30,23.05.2025,Obolon,Livyi Bereg,23.05.2025 | Obolon | Livyi Bereg | 1 | 0
29,18.05.2025,Ch. Odesa,Dyn. Kyiv,18.05.2025 | Ch. Odesa | Dyn. Kyiv | 1 | 1
29,18.05.2025,Inhulets,Shakhtar Donetsk,18.05.2025 | Inhulets | Shakhtar Donetsk | 1 | 4
29,18.05.2025,Livyi Bereg,Rukh Lviv,18.05.2025 | Livyi Bereg | Rukh Lviv | 1 | 0
29,18.05.2025,LNZ Cherkasy,Vorskla Poltava,18.05.2025 | LNZ Cherkasy | Vorskla Poltava | 0 | 0
29,18.05.2025,Oleksandriya,Veres-Rivne,18.05.2025 | Oleksandriya | Veres-Rivne | 3 | 1
29,17.05.2025,FK Zorya Luhansk,Polissya Zhytomyr,17.05.2025 | FK Zorya Luhansk | Polissya Zhytomyr | 0 | 1
29,17.05.2025,Kolos Kovalivka,Karpaty Lviv,17.05.2025 | Kolos Kovalivka | Karpaty Lviv | 2 | 1
29,17.05.2025,Kryvbas,Obolon,17.05.2025 | Kryvbas | Obolon | 1 | 0
28,12.05.2025,Inhulets,Livyi Bereg,12.05.2025 | Inhulets | Livyi Bereg | 2 | 1
28,11.05.2025,Karpaty Lviv,Oleksandriya,11.05.2025 | Karpaty Lviv | Oleksandriya | 2 | 1
28,11.05.2025,Kryvbas,Kolos Kovalivka,11.05.2025 | Kryvbas | Kolos Kovalivka | 0 | 1
28,10.05.2025,Rukh Lviv,Veres-Rivne,10.05.2025 | Rukh Lviv | Veres-Rivne | 2 | 0
28,10.05.2025,Obolon,LNZ Cherkasy,10.05.2025 | Obolon | LNZ Cherkasy | 0 | 0
28,10.05.2025,Vorskla Poltava,Ch. Odesa,10.05.2025 | Vorskla Poltava | Ch. Odesa | 1 | 2
28,09.05.2025,Polissya Zhytomyr,Dyn. Kyiv,09.05.2025 | Polissya Zhytomyr | Dyn. Kyiv | 0 | 0
28,09.05.2025,FK Zorya Luhansk,Shakhtar Donetsk,09.05.2025 | FK Zorya Luhansk | Shakhtar Donetsk | 0 | 0
21,07.05.2025,Kryvbas,Livyi Bereg,07.05.2025 | Kryvbas | Livyi Bereg | 4 | 0
27,04.05.2025,Polissya Zhytomyr,Oleksandriya,04.05.2025 | Polissya Zhytomyr | Oleksandriya | 1 | 2
27,04.05.2025,Kolos Kovalivka,Vorskla Poltava,04.05.2025 | Kolos Kovalivka | Vorskla Poltava | 0 | 0
27,04.05.2025,LNZ Cherkasy,FK Zorya Luhansk,04.05.2025 | LNZ Cherkasy | FK Zorya Luhansk | 1 | 1
27,03.05.2025,Veres-Rivne,Obolon,03.05.2025 | Veres-Rivne | Obolon | 0 | 2
27,03.05.2025,Inhulets,Dyn. Kyiv,03.05.2025 | Inhulets | Dyn. Kyiv | 0 | 4
27,03.05.2025,Ch. Odesa,Shakhtar Donetsk,03.05.2025 | Ch. Odesa | Shakhtar Donetsk | 0 | 3
27,02.05.2025,Rukh Lviv,Kryvbas,02.05.2025 | Rukh Lviv | Kryvbas | 0 | 0
27,02.05.2025,Livyi Bereg,Karpaty Lviv,02.05.2025 | Livyi Bereg | Karpaty Lviv | 2 | 3
16,30.04.2025,Inhulets,FK Zorya Luhansk,30.04.2025 | Inhulets | FK Zorya Luhansk | 1 | 0
26,27.04.2025,Shakhtar Donetsk,Dyn. Kyiv,27.04.2025 | Shakhtar Donetsk | Dyn. Kyiv | 2 | 2
26,27.04.2025,Kolos Kovalivka,Polissya Zhytomyr,27.04.2025 | Kolos Kovalivka | Polissya Zhytomyr | 1 | 1
26,27.04.2025,Vorskla Poltava,Veres-Rivne,27.04.2025 | Vorskla Poltava | Veres-Rivne | 3 | 0
26,26.04.2025,Obolon,Karpaty Lviv,26.04.2025 | Obolon | Karpaty Lviv | 2 | 2
26,26.04.2025,LNZ Cherkasy,Kryvbas,26.04.2025 | LNZ Cherkasy | Kryvbas | 0 | 0
26,26.04.2025,Ch. Odesa,Rukh Lviv,26.04.2025 | Ch. Odesa | Rukh Lviv | 1 | 2
26,25.04.2025,FK Zorya Luhansk,Livyi Bereg,25.04.2025 | FK Zorya Luhansk | Livyi Bereg | 2 | 1
26,25.04.2025,Inhulets,Oleksandriya,25.04.2025 | Inhulets | Oleksandriya | 0 | 1
25,20.04.2025,Veres-Rivne,Ch. Odesa,20.04.2025 | Veres-Rivne | Ch. Odesa | 2 | 1
25,20.04.2025,Inhulets,LNZ Cherkasy,20.04.2025 | Inhulets | LNZ Cherkasy | 0 | 0
25,20.04.2025,Kryvbas,FK Zorya Luhansk,20.04.2025 | Kryvbas | FK Zorya Luhansk | 3 | 0
25,19.04.2025,Shakhtar Donetsk,Kolos Kovalivka,19.04.2025 | Shakhtar Donetsk | Kolos Kovalivka | 2 | 4
25,19.04.2025,Livyi Bereg,Polissya Zhytomyr,19.04.2025 | Livyi Bereg | Polissya Zhytomyr | 1 | 1
25,19.04.2025,Karpaty Lviv,Rukh Lviv,19.04.2025 | Karpaty Lviv | Rukh Lviv | 3 | 1
25,18.04.2025,Dyn. Kyiv,Obolon,18.04.2025 | Dyn. Kyiv | Obolon | 3 | 0
25,18.04.2025,Vorskla Poltava,Oleksandriya,18.04.2025 | Vorskla Poltava | Oleksandriya | 1 | 3
5,16.04.2025,Kryvbas,Shakhtar Donetsk,16.04.2025 | Kryvbas | Shakhtar Donetsk | 1 | 2
24,14.04.2025,Inhulets,Karpaty Lviv,14.04.2025 | Inhulets | Karpaty Lviv | 1 | 2
24,13.04.2025,FK Zorya Luhansk,Veres-Rivne,13.04.2025 | FK Zorya Luhansk | Veres-Rivne | 1 | 2
24,13.04.2025,Livyi Bereg,Kolos Kovalivka,13.04.2025 | Livyi Bereg | Kolos Kovalivka | 0 | 2
24,13.04.2025,Vorskla Poltava,Polissya Zhytomyr,13.04.2025 | Vorskla Poltava | Polissya Zhytomyr | 0 | 2
24,12.04.2025,Obolon,Ch. Odesa,12.04.2025 | Obolon | Ch. Odesa | 1 | 0
24,12.04.2025,Rukh Lviv,Oleksandriya,12.04.2025 | Rukh Lviv | Oleksandriya | 1 | 1
24,12.04.2025,Kryvbas,Dyn. Kyiv,12.04.2025 | Kryvbas | Dyn. Kyiv | 0 | 2
24,11.04.2025,LNZ Cherkasy,Shakhtar Donetsk,11.04.2025 | LNZ Cherkasy | Shakhtar Donetsk | 1 | 4
23,07.04.2025,Polissya Zhytomyr,Karpaty Lviv,07.04.2025 | Polissya Zhytomyr | Karpaty Lviv | 1 | 1
23,07.04.2025,Kolos Kovalivka,Rukh Lviv,07.04.2025 | Kolos Kovalivka | Rukh Lviv | 0 | 1
23,06.04.2025,Shakhtar Donetsk,Veres-Rivne,06.04.2025 | Shakhtar Donetsk | Veres-Rivne | 3 | 0
23,06.04.2025,Dyn. Kyiv,Livyi Bereg,06.04.2025 | Dyn. Kyiv | Livyi Bereg | 2 | 0
23,06.04.2025,Oleksandriya,Kryvbas,06.04.2025 | Oleksandriya | Kryvbas | 1 | 0
23,05.04.2025,Ch. Odesa,LNZ Cherkasy,05.04.2025 | Ch. Odesa | LNZ Cherkasy | 1 | 0
23,05.04.2025,Vorskla Poltava,FK Zorya Luhansk,05.04.2025 | Vorskla Poltava | FK Zorya Luhansk | 1 | 2
23,04.04.2025,Inhulets,Obolon,04.04.2025 | Inhulets | Obolon | 0 | 1
22,30.03.2025,FK Zorya Luhansk,Kolos Kovalivka,30.03.2025 | FK Zorya Luhansk | Kolos Kovalivka | 0 | 3
22,30.03.2025,Karpaty Lviv,Ch. Odesa,30.03.2025 | Karpaty Lviv | Ch. Odesa | 4 | 0
22,30.03.2025,Vorskla Poltava,Kryvbas,30.03.2025 | Vorskla Poltava | Kryvbas | 0 | 1
22,29.03.2025,Rukh Lviv,Dyn. Kyiv,29.03.2025 | Rukh Lviv | Dyn. Kyiv | 0 | 2
22,29.03.2025,Obolon,Shakhtar Donetsk,29.03.2025 | Obolon | Shakhtar Donetsk | 0 | 2
22,29.03.2025,Livyi Bereg,Oleksandriya,29.03.2025 | Livyi Bereg | Oleksandriya | 0 | 1
22,28.03.2025,LNZ Cherkasy,Polissya Zhytomyr,28.03.2025 | LNZ Cherkasy | Polissya Zhytomyr | 0 | 1
22,28.03.2025,Inhulets,Veres-Rivne,28.03.2025 | Inhulets | Veres-Rivne | 0 | 0
21,16.03.2025,LNZ Cherkasy,Kolos Kovalivka,16.03.2025 | LNZ Cherkasy | Kolos Kovalivka | 2 | 0
21,16.03.2025,Inhulets,Ch. Odesa,16.03.2025 | Inhulets | Ch. Odesa | 1 | 0
21,15.03.2025,Rukh Lviv,Vorskla Poltava,15.03.2025 | Rukh Lviv | Vorskla Poltava | 0 | 1
