round,date,team_home,team_away,full_text
15,2025-05-20,Boston River,CA Cerro,20.05.2025 | Boston River | CA Cerro | 0 | 0
15,2025-05-19,Plaza Colonia,Danubio,19.05.2025 | Plaza Colonia | Danubio | 1 | 2
15,2025-05-19,Racing Montevideo,Miramar,19.05.2025 | Racing Montevideo | Miramar | 1 | 1
15,2025-05-18,Liverpool M.,Cerro Largo,18.05.2025 | Liverpool M. | Cerro Largo | 1 | 0
15,2025-05-18,Nacional,Defensor Sp.,18.05.2025 | Nacional | Defensor Sp. | 2 | 1
15,2025-05-18,Progreso,Juventud,18.05.2025 | Progreso | Juventud | 1 | 2
15,2025-05-18,Penarol,Montevideo City,18.05.2025 | Penarol | Montevideo City | 2 | 1
15,2025-05-17,River Plate,Wanderers,17.05.2025 | River Plate | Wanderers | 0 | 1
14,2025-05-05,Miramar,River Plate,05.05.2025 | Miramar | River Plate | 3 | 0
14,2025-05-04,Juventud,Liverpool M.,04.05.2025 | Juventud | Liverpool M. | 1 | 0
14,2025-05-04,Montevideo City,Progreso,04.05.2025 | Montevideo City | Progreso | 2 | 3
14,2025-05-04,Cerro Largo,Plaza Colonia,04.05.2025 | Cerro Largo | Plaza Colonia | 2 | 1
14,2025-05-03,Nacional,CA Cerro,03.05.2025 | Nacional | CA Cerro | 4 | 0
14,2025-05-03,Danubio,Racing Montevideo,03.05.2025 | Danubio | Racing Montevideo | 0 | 0
14,2025-05-03,Defensor Sp.,Penarol,03.05.2025 | Defensor Sp. | Penarol | 0 | 1
14,2025-05-03,Boston River,Wanderers,03.05.2025 | Boston River | Wanderers | 1 | 0
13,2025-04-28,Racing Montevideo,Cerro Largo,28.04.2025 | Racing Montevideo | Cerro Largo | 1 | 1
13,2025-04-27,Penarol,CA Cerro,27.04.2025 | Penarol | CA Cerro | 3 | 1
13,2025-04-27,Progreso,Liverpool M.,27.04.2025 | Progreso | Liverpool M. | 0 | 2
13,2025-04-27,Boston River,Miramar,27.04.2025 | Boston River | Miramar | 2 | 0
13,2025-04-27,Montevideo City,Defensor Sp.,27.04.2025 | Montevideo City | Defensor Sp. | 0 | 1
13,2025-04-27,Nacional,Wanderers,27.04.2025 | Nacional | Wanderers | 3 | 1
13,2025-04-26,Plaza Colonia,Juventud,26.04.2025 | Plaza Colonia | Juventud | 0 | 0
