round,date,team_home,team_away,full_text
15,2025-11-09,Defensor Sp.,Nacional,09.11.2025 | Defensor Sp. | Nacional | 1 | 1
15,2025-11-09,Juventud,Progreso,09.11.2025 | Juventud | Progreso | 1 | 1
15,2025-11-09,Montevideo City,Penarol,09.11.2025 | Montevideo City | Penarol | 0 | 2
15,2025-11-09,CA Cerro,Boston River,09.11.2025 | CA Cerro | Boston River | 0 | 0
15,2025-11-08,Wanderers,River Plate,08.11.2025 | Wanderers | River Plate | 0 | 4
15,2025-11-08,Danubio,Plaza Colonia,08.11.2025 | Danubio | Plaza Colonia | 2 | 0
15,2025-11-07,Cerro Largo,Liverpool M.,07.11.2025 | Cerro Largo | Liverpool M. | 2 | 0
15,2025-11-07,Miramar,Racing Montevideo,07.11.2025 | Miramar | Racing Montevideo | 0 | 2
14,2025-11-03,Plaza Colonia,Cerro Largo,03.11.2025 | Plaza Colonia | Cerro Largo | 0 | 2
14,2025-11-02,Penarol,Defensor Sp.,02.11.2025 | Penarol | Defensor Sp. | 2 | 1
14,2025-11-02,Racing Montevideo,Danubio,02.11.2025 | Racing Montevideo | Danubio | 1 | 2
14,2025-11-02,River Plate,Miramar,02.11.2025 | River Plate | Miramar | 1 | 1
14,2025-11-01,CA Cerro,Nacional,01.11.2025 | CA Cerro | Nacional | 0 | 0
14,2025-11-01,Liverpool M.,Juventud,01.11.2025 | Liverpool M. | Juventud | 0 | 1
14,2025-11-01,Progreso,Montevideo City,01.11.2025 | Progreso | Montevideo City | 0 | 5
14,2025-11-01,Wanderers,Boston River,01.11.2025 | Wanderers | Boston River | 2 | 2
13,2025-10-27,Miramar,Boston River,27.10.2025 | Miramar | Boston River | 0 | 4
13,2025-10-26,Wanderers,Nacional,26.10.2025 | Wanderers | Nacional | 0 | 0
13,2025-10-26,Liverpool M.,Progreso,26.10.2025 | Liverpool M. | Progreso | 3 | 1
13,2025-10-26,Danubio,River Plate,26.10.2025 | Danubio | River Plate | 0 | 1
13,2025-10-25,Cerro Largo,Racing Montevideo,25.10.2025 | Cerro Largo | Racing Montevideo | 2 | 2
13,2025-10-25,CA Cerro,Penarol,25.10.2025 | CA Cerro | Penarol | 2 | 0
13,2025-10-25,Juventud,Plaza Colonia,25.10.2025 | Juventud | 2 | Plaza Colonia | 0 | 2
13,2025-10-25,Defensor Sp.,Montevideo City,25.10.2025 | Defensor Sp. | Montevideo City | 0 | 1
12,2025-10-21,Plaza Colonia,Liverpool M.,21.10.2025 | Plaza Colonia | Liverpool M. | 0 | 1
12,2025-10-20,Racing Montevideo,Juventud,20.10.2025 | Racing Montevideo | Juventud | 0 | 0
12,2025-10-19,Penarol,Wanderers,19.10.2025 | Penarol | Wanderers | 3 | 0
12,2025-10-19,Progreso,Defensor Sp.,19.10.2025 | Progreso | Defensor Sp. | 2 | 3
12,2025-10-19,River Plate,Cerro Largo,19.10.2025 | River Plate | Cerro Largo | 1 | 1
12,2025-10-18,Nacional,Miramar,18.10.2025 | Nacional | Miramar | 3 | 1
12,2025-10-18,Montevideo City,CA Cerro,18.10.2025 | Montevideo City | CA Cerro | 1 | 2
12,2025-10-18,Boston River,Danubio,18.10.2025 | Boston River | Danubio | 0 | 0
11,2025-10-12,Danubio,Nacional,12.10.2025 | Danubio | Nacional | 0 | 0
11,2025-10-12,Juventud,River Plate,12.10.2025 | Juventud | River Plate | 1 | 2
11,2025-10-12,Montevideo City,Wanderers,12.10.2025 | Montevideo City | Wanderers | 2 | 2
11,2025-10-12,CA Cerro,Defensor Sp.,12.10.2025 | CA Cerro | Defensor Sp. | 1 | 0
11,2025-10-11,Miramar,Penarol,11.10.2025 | Miramar | Penarol | 2 | 2
11,2025-10-11,Cerro Largo,Boston River,11.10.2025 | Cerro Largo | Boston River | 2 | 2
11,2025-10-11,Liverpool M.,Racing Montevideo,11.10.2025 | Liverpool M. | Racing Montevideo | 2 | 2
11,2025-10-11,Plaza Colonia,Progreso,11.10.2025 | Plaza Colonia | Progreso | 0 | 1
10,2025-10-07,Defensor Sp.,Wanderers,07.10.2025 | Defensor Sp. | Wanderers | 2 | 1
