country,part,hapset,spread,fixed_part,width,spread_UB,n
algeria,1,"[[0 1 0 1 0 1 0 1 0 1 0 1 0 0 1]
 [0 1 0 1 0 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [0 1 0 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 1 0 1 0 1 0]
 [1 0 1 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 0 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 0 1]]",768,0.0666666666666666,1,False,16
algeria,2,"[[1 0 1 0 1 0 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 1 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 1 0 1 0 1 0]
 [1 0 1 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 0 1]
 [0 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 0 1 0 1]
 [0 1 0 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 1 0 1 0]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 1 0]]",768,0.0666666666666666,1,False,16
austria,1,"[[0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 0 1 0 1 0 0 1]
 [1 0 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 0 1 0 1 1 0]
 [1 0 1 0 1 0 1 1 0 1 0]
 [0 1 1 0 1 0 1 0 0 1 0]
 [1 0 1 0 1 1 0 1 0 0 1]
 [0 1 0 1 1 0 1 0 1 1 0]
 [1 0 1 0 1 0 1 0 1 0 1]
 [1 0 0 1 0 1 0 1 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1]]",378,0.0303030303030303,1,False,12
austria,2,"[[1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 1 0 1 0 1 1 0]
 [0 1 1 0 1 0 1 0 1 0 1]
 [1 0 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 1 0 1 0 0 1]
 [0 1 0 1 0 1 0 0 1 0 1]
 [1 0 0 1 0 1 0 1 1 0 1]
 [1 0 1 0 0 1 0 1 0 0 1]
 [0 1 0 1 0 0 1 0 1 1 0]
 [0 1 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 0 1 0]
 [1 0 1 0 1 0 1 1 0 1 0]]",378,0.0303030303030303,1,False,12
belgium,1,"[[0 1 0 1 0 1 1 0 1 0 0 1 0 1 0]
 [0 1 0 1 1 0 1 0 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 0 1 0 1 0]
 [1 0 0 1 0 1 0 1 0 0 1 0 1 1 0]
 [0 1 1 0 1 0 1 0 1 1 0 1 0 0 1]
 [0 1 1 0 1 0 1 0 1 0 1 0 1 1 0]
 [1 0 0 1 0 1 1 0 0 1 0 1 0 1 0]
 [1 0 0 1 0 1 0 1 0 1 0 1 0 0 1]
 [0 1 1 0 1 0 0 1 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 1 0 1 0]
 [1 0 1 0 1 0 1 1 0 1 0 0 1 0 1]
 [1 0 1 0 0 1 0 1 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 1 0 1 0 1 0]
 [1 0 1 0 1 0 0 1 0 1 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 1 0 1 0 1]]",934,0.0166666666666666,1,False,16
belgium,2,"[[0 1 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 1 0 0 1 0 1 1 0]
 [1 0 1 0 1 0 0 1 1 0 1 0 1 0 1]
 [1 0 0 1 0 1 0 1 1 0 1 0 1 1 0]
 [1 0 1 1 0 1 0 1 0 1 0 0 1 0 1]
 [0 1 0 0 1 0 1 0 1 0 1 1 0 1 0]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 1 0]
 [1 0 1 0 1 0 1 0 1 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 0 1]
 [0 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [1 0 1 1 0 0 1 0 1 0 1 0 1 1 0]
 [0 1 0 0 1 1 0 1 0 1 0 1 0 0 1]
 [0 1 0 1 0 1 0 0 1 1 0 1 0 0 1]
 [0 1 0 1 0 1 1 0 0 1 0 1 0 1 0]
 [1 0 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 0 1 0 1 0 0 1]]",960,0.0,3,True,16
brazil,1,"[[1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 0 1]
 [0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1]
 [1 0 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0]
 [1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1 0 1]
 [1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0]
 [0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0]
 [1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1]
 [0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 1]
 [0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1]
 [0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0]]",1900,0.0,2,True,20
brazil,2,"[[0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0]
 [1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0]
 [0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1 0 1]
 [0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1]
 [1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1]
 [0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0]
 [1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0]
 [1 0 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1]]",1900,0.0,2,True,20
croatia,1,"[[0 1 0 0 0 1 0 1 0]
 [0 1 0 1 0 0 1 0 1]
 [0 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 0 1]
 [0 1 0 1 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1]
 [1 0 1 1 0 1 0 1 0]
 [1 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 1 0 1 0]
 [1 0 1 0 1 0 1 1 0]]",197,0.0444444444444444,1,False,10
croatia,2,"[[1 0 1 1 1 0 1 0 1]
 [1 0 1 0 1 1 0 1 0]
 [1 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 0 1 0 1]
 [1 0 1 0 1 0 1 1 0]
 [1 0 1 0 0 1 0 1 0]
 [0 1 0 0 1 0 1 0 1]
 [0 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 0 1]]",197,0.0444444444444444,1,False,10
