country,part,spread,fixed_part,width,spread_UB,n
algeria,1,768,0.0666666666666666,1,False,16
algeria,2,768,0.0666666666666666,1,False,16
austria,1,378,0.0303030303030303,1,False,12
austria,2,378,0.0303030303030303,1,False,12
belgium,1,934,0.0166666666666666,1,False,16
belgium,2,960,0.0,3,True,16
brazil,1,1900,0.0,2,True,20
brazil,2,1900,0.0,2,True,20
croatia,1,197,0.0444444444444444,1,False,10
croatia,2,197,0.0444444444444444,1,False,10
croatia,3,177,0.1111111111111111,1,False,10
croatia,4,177,0.1111111111111111,1,False,10
cyprus,1,507,0.0769230769230769,1,False,14
cyprus,2,507,0.0769230769230769,1,False,14
czech-republic,1,796,0.05,1,False,16
czech-republic,2,796,0.05,1,False,16
denmark,1,386,0.0151515151515151,1,False,12
denmark,2,327,0.0454545454545454,1,False,12
ecuador,1,960,0.0,2,True,16
ecuador,2,960,0.0,2,True,16
egypt,1,1289,0.0261437908496732,1,False,18
england,1,1900,0.0,2,True,20
england,2,1900,0.0,2,True,20
france,1,1377,0.0,2,True,18
france,2,1377,0.0,2,True,18
germany,1,1235,0.0392156862745098,1,False,18
germany,2,1235,0.0392156862745098,1,False,18
hungary,1,314,0.0909090909090909,1,False,12
hungary,2,314,0.0909090909090909,1,False,12
hungary,3,314,0.0909090909090909,1,False,12
iran,1,768,0.0666666666666666,1,False,16
iran,2,768,0.0666666666666666,1,False,16
ireland,1,225,0.0,2,True,10
ireland,2,225,0.0,2,True,10
ireland,3,203,0.0,2,False,10
ireland,4,225,0.0,2,True,10
italy,1,1900,0.0,2,True,20
italy,2,1900,0.0,2,True,20
ivory-coast,1,960,0.0,2,True,16
ivory-coast,2,960,0.0,2,True,16
japan,1,1882,0.0052631578947368,1,False,20
japan,2,1882,0.0052631578947368,1,False,20
luxembourg,1,784,0.0416666666666666,1,False,16
luxembourg,2,784,0.0416666666666666,1,False,16
malta_A,1,396,0.0,2,True,12
malta_C,1,396,0.0,3,True,12
mexico_A,1,1317,0.0261437908496732,1,False,18
mexico_C,1,1377,0.0,3,True,18
morocco,1,686,0.0666666666666666,1,False,16
morocco,2,686,0.0666666666666666,1,False,16
netherlands,1,1377,0.0,2,True,18
netherlands,2,1377,0.0,2,True,18
nigeria,1,1530,0.0526315789473684,1,False,20
nigeria,2,1530,0.0526315789473684,1,False,20
northern-ireland,1,396,0.0,2,True,12
northern-ireland,2,396,0.0,2,True,12
northern-ireland,3,378,0.0151515151515151,1,False,12
norway,1,912,0.0166666666666666,1,False,16
norway,2,912,0.0166666666666666,1,False,16
paraguay_A,1,314,0.0909090909090909,1,False,12
paraguay_A,2,314,0.0909090909090909,1,False,12
paraguay_C,1,314,0.0909090909090909,1,False,12
paraguay_C,2,314,0.0909090909090909,1,False,12
poland,1,1377,0.0,2,True,18
poland,2,1377,0.0,2,True,18
portugal,1,1105,0.0588235294117647,1,False,18
portugal,2,1105,0.0588235294117647,1,False,18
romania,1,765,0.05,1,False,16
romania,2,765,0.05,1,False,16
russia,1,960,0.0,2,True,16
russia,2,960,0.0,2,True,16
scotland,1,396,0.0,2,True,12
scotland,2,396,0.0,2,True,12
scotland,3,343,0.0,2,False,12
senegal,1,960,0.0,2,True,16
senegal,2,960,0.0,2,True,16
serbia,1,768,0.0666666666666666,1,False,16
serbia,2,768,0.0666666666666666,1,False,16
slovakia,1,324,0.0303030303030303,1,False,12
slovakia,2,324,0.0303030303030303,1,False,12
south-korea,1,396,0.0,2,True,12
south-korea,2,396,0.0,3,True,12
south-korea,3,396,0.0,2,True,12
spain,1,1900,0.0,2,True,20
spain,2,1882,0.0052631578947368,1,False,20
sweden,1,960,0.0,2,True,16
sweden,2,960,0.0,2,True,16
switzerland,1,396,0.0,2,True,12
switzerland,2,396,0.0,2,True,12
switzerland,3,386,0.0151515151515151,1,False,12
ukraine,1,960,0.0,3,True,16
ukraine,2,960,0.0,3,True,16
uruguay_A,1,838,0.0333333333333333,1,False,16
wales,1,396,0.0,2,True,12
wales,2,386,0.0151515151515151,1,False,12
uruguay_C,1,838,0.0333333333333333,1,False,16
turkey,1,1848,0.0105263157894736,1,Uitz,19
turkey,2,1866,0.0052631578947368,1,Uitz,19
colombia,1,1912,0.0,2,Uitz,20
colombia,2,1912,0.0,2,Uitz,20
uruguay,I,176,0.1428571428571428,1,Uitz,16
australia,1,0,0.4137931034482758,1,Uitz,13
panama,2,576,0.0104166666666666,1,Uitz,12
panama,1,576,0.0,2,Uitz,12
argentina,1,2070,0.0208333333333333,1,Uitz,30
argentina,2,2070,0.0208333333333333,1,Uitz,30
