land;jaar;competitienaam;scraped;cleaned;xml;n;format;format comment;play-offs;play-off comment;# relegated;relegation comment;comment
england;2024-2025;premier-league;1;1;1.0;20;DRR;;0;;3;;Normale DRR met 20 teams
mexico;2024-2025;liga-mx;1;1;0.0;18;SRR + PO, AC;A en C staan los van elkaar;tit KO;HT finale;0;;Apertura en clausura staan los van elkaar. Eerst SRR 1-6 kwalificeren voor playofss, 7-10 play-ins eerst, 7vs8 winnaar naar playofss verliezer krijgt herkansing tegen winnaar 9-10
japan;2025;j1-league;1;1;;20;DRR;;;;3;;Normale DRR met 20 teams
iran;2024-2025;persian-gulf-pro-league;1;1;;16;DRR;;;;2;;Normale DRR met 16 teams
south-korea;2025;k-league-1;1;1;;12;3RR + PO;Puntenbehoud PO;tit + rel SRR;1-6 tit, 7-12 rel;1 tot 3;;12 teams doen eerst 3RR. Dan hebben de eerste 6 een SRR voor de titel en de laatste 6 voor degradatie. Laatste daalt automatisch. 5de speelt tegen de 2de van de tweedeklasse en 4de tegen winnaar uit toernooi (4vs5 eerst winnaar vs 3 tweede klasse, heen en terug duel).                Voor cleaned data alleen main 3RR toernooi gepakt.
australia;2024-2025;a-league;1;1;;13, 25-26 -> 12;DRR* +PO, Relaxed;eerst DRR + 2 matchen 1 tegen rivaal in sydney en andere random;tit KO;3-6 kwartfinales, 1 en 2 rechtstreeks in halve finale (HT), finale (1 match);0;;13 teams, eerst 2RR plus 2 matches, Union round in Sydney en een match tussen rivalen -> 26 games dus in het regular season. Dan knockout toernooi voor de champioship 3-6 spelen eers quarter final, 1-2 direct naar semi. 29 rondes dus temporal relaxed
morocco;2024-2025;botola-pro;1;1;;16;DRR;;rel KO;;2 tot 4;;Normale DRR met 16 teams, relagation play-offs 15-16 direct degraderen 13-14 spelen heen en terug ronde tegen 4-3 in botola 2 respectievelijk. 
senegal;2024-2025;ligue-1;1;1;;16;DRR;;;;2;;Normale DRR met 16 teams, laatste 2 degraderen
nigeria;2024-2025;npfl;1;1;;20;DRR;;;;4;;Normale DRR met 20 teams, laatste 4 degraderen
algeria;2024-2025;ligue-1;1;1;;16;DRR;;;;2;;Normale DRR met 16 teams, laatste 2 degraderen
egypt;2024-2025;premier-league;1;1;;18;SRR + PO;puntenbehoud PO;tit + rel SRR;1-9 tit, 10-18 rel;2;;Eerst Normale SRR met 18 teams, daarna bovenste helft spelen voor de titel in een SRR (met 9 teams) en de onderste SRR tegen degradatie, punten van eerste deel blijven behouden. Voor cleaned data alleen eerste deel gehouden (n=18)
ivory-coast;2024-2025;ligue-1;1;1;;16;DRR;;;;2;;Normal DRR met 16 teams, ISCA speelt 2x thuis tegen SOL, fout op soccerway?, ronde 18 lijkt omgekeerd SOL vs ISCA aangepast. Bron eurosport, tnt, rsssf
