round,date,team_home,team_away,full_text
Final,01.06.2025,SK Rapid,Winner: SK Rapid,01.06.2025 | SK Rapid | Winner: SK Rapid | LASK | 3 | 0
Final,29.05.2025,LASK,SK Rapid,29.05.2025 | LASK | SK Rapid | 3 | 1
Semi-finals,26.05.2025,LASK,Advancing to next round: LASK,26.05.2025 | LASK | Advancing to next round: LASK | Hartberg | 2 | 0
Round 32,24.05.2025,Austria Vienna,BW Linz,24.05.2025 | Austria Vienna | BW Linz | 2 | 2
Round 32,24.05.2025,Salzburg,SK Rapid,24.05.2025 | Salzburg | SK Rapid | 4 | 2
Round 32,24.05.2025,Sturm Graz,Wolfsberger AC,24.05.2025 | Sturm Graz | Wolfsberger AC | 1 | 1
Round 32,23.05.2025,A. Klagenfurt,Hartberg,23.05.2025 | A. Klagenfurt | Hartberg | 0 | 1
Round 32,23.05.2025,LASK,Altach,23.05.2025 | LASK | Altach | 0 | 0
Round 32,23.05.2025,Tirol,Grazer AK,23.05.2025 | Tirol | Grazer AK | 1 | 1
Round 31,18.05.2025,BW Linz,Salzburg,18.05.2025 | BW Linz | Salzburg | 1 | 2
Round 31,18.05.2025,SK Rapid,Sturm Graz,18.05.2025 | SK Rapid | Sturm Graz | 3 | 1
Round 31,18.05.2025,Wolfsberger AC,Austria Vienna,18.05.2025 | Wolfsberger AC | Austria Vienna | 1 | 2
Round 31,17.05.2025,Altach,A. Klagenfurt,17.05.2025 | Altach | A. Klagenfurt | 0 | 0
Round 31,17.05.2025,Grazer AK,LASK,17.05.2025 | Grazer AK | LASK | 1 | 0
Round 31,17.05.2025,Hartberg,Tirol,17.05.2025 | Hartberg | Tirol | 3 | 2
Round 30,11.05.2025,Austria Vienna,SK Rapid,11.05.2025 | Austria Vienna | SK Rapid | 1 | 2
Round 30,11.05.2025,Wolfsberger AC,BW Linz,11.05.2025 | Wolfsberger AC | BW Linz | 2 | 0
Round 30,10.05.2025,A. Klagenfurt,Tirol,10.05.2025 | A. Klagenfurt | Tirol | 1 | 4
Round 30,10.05.2025,Altach,Grazer AK,10.05.2025 | Altach | Grazer AK | 2 | 2
Round 30,10.05.2025,LASK,Hartberg,10.05.2025 | LASK | Hartberg | 0 | 0
Round 30,09.05.2025,Sturm Graz,Salzburg,09.05.2025 | Sturm Graz | Salzburg | 4 | 2
Round 29,04.05.2025,Salzburg,Austria Vienna,04.05.2025 | Salzburg | Austria Vienna | 2 | 0
