round,date,team_home,team_away,full_text
Final,29.05.2025,Antwerp,Charleroi,29.05.2025 | Antwerp | Charleroi | Winner: Charleroi | 1 | 2
Round 10,25.05.2025,Club Brugge KV,Antwerp,25.05.2025 | Club Brugge KV | Antwerp | 1 | 1
Round 10,25.05.2025,Genk,Anderlecht,25.05.2025 | Genk | Anderlecht | 2 | 1
Round 10,25.05.2025,Royale Union SG,Gent,25.05.2025 | Royale Union SG | Gent | 3 | 1
Round 10,24.05.2025,Charleroi,Leuven,24.05.2025 | Charleroi | Leuven | 2 | 1
Round 10,24.05.2025,Dender,KV Mechelen,24.05.2025 | Dender | KV Mechelen | 2 | 2
Round 10,24.05.2025,Westerlo,St. Liege,24.05.2025 | Westerlo | St. Liege | 0 | 0
Final,23.05.2025,Cercle Brugge KSV,Winner: Cercle Brugge KSV,23.05.2025 | Cercle Brugge KSV | Winner: Cercle Brugge KSV | Patro Eisden | 3 | 1
Final,18.05.2025,Patro Eisden,Cercle Brugge KSV,18.05.2025 | Patro Eisden | Cercle Brugge KSV | 1 | 5
Round 9,18.05.2025,Gent,Genk,18.05.2025 | Gent | Genk | 1 | 4
Round 9,18.05.2025,KV Mechelen,Charleroi,18.05.2025 | KV Mechelen | Charleroi | 1 | 1
Round 9,18.05.2025,Anderlecht,Club Brugge KV,18.05.2025 | Anderlecht | Club Brugge KV | 1 | 3
Round 9,17.05.2025,Antwerp,Royale Union SG,17.05.2025 | Antwerp | Royale Union SG | 0 | 4
Round 9,17.05.2025,St. Liege,Dender,17.05.2025 | St. Liege | Dender | 0 | 0
Round 9,16.05.2025,Leuven,Westerlo,16.05.2025 | Leuven | Westerlo | 0 | 2
Round 8,11.05.2025,Dender,Leuven,11.05.2025 | Dender | Leuven | 5 | 0
Round 8,11.05.2025,Genk,Club Brugge KV,11.05.2025 | Genk | Club Brugge KV | 0 | 2
Semi-finals,11.05.2025,Patro Eisden,Advancing to next round: Patro Eisden,11.05.2025 | Patro Eisden | Advancing to next round: Patro Eisden | Sporting Lokeren | 1 | 1
Round 8,11.05.2025,Gent,Antwerp,11.05.2025 | Gent | Antwerp | 0 | 3
Round 8,10.05.2025,Anderlecht,Royale Union SG,10.05.2025 | Anderlecht | Royale Union SG | 0 | 1
Round 8,10.05.2025,KV Mechelen,St. Liege,10.05.2025 | KV Mechelen | St. Liege | 0 | 0
Round 6,10.05.2025,Beerschot VA,Cercle Brugge KSV,10.05.2025 | Beerschot VA | Cercle Brugge KSV | 4 | 2
Round 6,10.05.2025,Kortrijk,St. Truiden,10.05.2025 | Kortrijk | St. Truiden | 2 | 2
Round 8,09.05.2025,Charleroi,Westerlo,09.05.2025 | Charleroi | Westerlo | 4 | 3
Round 5,04.05.2025,St. Truiden,Beerschot VA,04.05.2025 | St. Truiden | Beerschot VA | 2 | 1
Round 7,04.05.2025,St. Liege,Charleroi,04.05.2025 | St. Liege | Charleroi | 0 | 1
Round 7,03.05.2025,Royale Union SG,Genk,03.05.2025 | Royale Union SG | Genk | 1 | 0
Round 7,03.05.2025,Leuven,KV Mechelen,03.05.2025 | Leuven | KV Mechelen | 1 | 2
Semi-finals,03.05.2025,Sporting Lokeren,Patro Eisden,03.05.2025 | Sporting Lokeren | Patro Eisden | 1 | 2
Round 5,03.05.2025,Cercle Brugge KSV,Kortrijk,03.05.2025 | Cercle Brugge KSV | Kortrijk | 0 | 2
Round 7,02.05.2025,Westerlo,Dender,02.05.2025 | Westerlo | Dender | 4 | 2
Round 7,01.05.2025,Club Brugge KV,Gent,01.05.2025 | Club Brugge KV | Gent | 4 | 1
Round 7,01.05.2025,Antwerp,Anderlecht,01.05.2025 | Antwerp | Anderlecht | 1 | 3
Quarter-finals,27.04.2025,Beveren,Patro Eisden,27.04.2025 | Beveren | Patro Eisden | Advancing to next round: Patro Eisden | 1 | 2
Quarter-finals,27.04.2025,RWDM Brussels,Sporting Lokeren,27.04.2025 | RWDM Brussels | Sporting Lokeren | Advancing to next round: Sporting Lokeren | 3 | 2
Round 6,27.04.2025,Royale Union SG,Club Brugge KV,27.04.2025 | Royale Union SG | Club Brugge KV | 0 | 0
Round 6,27.04.2025,Genk,Antwerp,27.04.2025 | Genk | Antwerp | 0 | 1
Round 6,27.04.2025,Gent,Anderlecht,27.04.2025 | Gent | Anderlecht | 0 | 1
Round 4,26.04.2025,Cercle Brugge KSV,St. Truiden,26.04.2025 | Cercle Brugge KSV | St. Truiden | 3 | 1
Round 6,26.04.2025,Charleroi,Dender,26.04.2025 | Charleroi | Dender | 4 | 1
Round 6,26.04.2025,Westerlo,KV Mechelen,26.04.2025 | Westerlo | KV Mechelen | 2 | 2
Round 6,26.04.2025,Leuven,St. Liege,26.04.2025 | Leuven | St. Liege | 1 | 1
Round 4,25.04.2025,Beerschot VA,Kortrijk,25.04.2025 | Beerschot VA | Kortrijk | 2 | 0
Quarter-finals,24.04.2025,Patro Eisden,Beveren,24.04.2025 | Patro Eisden | Beveren | 3 | 2
Quarter-finals,24.04.2025,Sporting Lokeren,RWDM Brussels,24.04.2025 | Sporting Lokeren | RWDM Brussels | 2 | 0
Round 5,24.04.2025,Club Brugge KV,Royale Union SG,24.04.2025 | Club Brugge KV | Royale Union SG | 0 | 1
Round 5,23.04.2025,Anderlecht,Gent,23.04.2025 | Anderlecht | Gent | 5 | 0
Round 5,23.04.2025,Antwerp,Genk,23.04.2025 | Antwerp | Genk | 1 | 1
Round 5,22.04.2025,Dender,Charleroi,22.04.2025 | Dender | Charleroi | 2 | 1
Round 5,22.04.2025,KV Mechelen,Westerlo,22.04.2025 | KV Mechelen | Westerlo | 2 | 3
Round 5,22.04.2025,St. Liege,Leuven,22.04.2025 | St. Liege | Leuven | 0 | 1
Round 4,20.04.2025,Gent,Club Brugge KV,20.04.2025 | Gent | Club Brugge KV | 0 | 5
Round 4,20.04.2025,Genk,Royale Union SG,20.04.2025 | Genk | Royale Union SG | 1 | 2
Round 4,20.04.2025,Anderlecht,Antwerp,20.04.2025 | Anderlecht | Antwerp | 0 | 0
Round 4,19.04.2025,St. Liege,Westerlo,19.04.2025 | St. Liege | Westerlo | 1 | 1
Round 4,19.04.2025,Charleroi,KV Mechelen,19.04.2025 | Charleroi | KV Mechelen | 3 | 0
Round 4,19.04.2025,Leuven,Dender,19.04.2025 | Leuven | Dender | 4 | 4
Round 3,13.04.2025,Dender,St. Liege,13.04.2025 | Dender | St. Liege | 1 | 1
Round 3,13.04.2025,Club Brugge KV,Genk,13.04.2025 | Club Brugge KV | Genk | 1 | 0
Round 3,13.04.2025,KV Mechelen,Leuven,13.04.2025 | KV Mechelen | Leuven | 1 | 1
Round 3,13.04.2025,Antwerp,Gent,13.04.2025 | Antwerp | Gent | 0 | 1
Round 3,12.04.2025,Royale Union SG,Anderlecht,12.04.2025 | Royale Union SG | Anderlecht | 2 | 0
Round 3,12.04.2025,St. Truiden,Cercle Brugge KSV,12.04.2025 | St. Truiden | Cercle Brugge KSV | 3 | 1
Round 3,12.04.2025,Kortrijk,Beerschot VA,12.04.2025 | Kortrijk | Beerschot VA | 3 | 2
Round 3,11.04.2025,Westerlo,Charleroi,11.04.2025 | Westerlo | Charleroi | 2 | 2
Round 2,06.04.2025,Charleroi,St. Liege,06.04.2025 | Charleroi | St. Liege | 1 | 0
Round 2,06.04.2025,Anderlecht,Genk,06.04.2025 | Anderlecht | Genk | 1 | 2
Round 2,06.04.2025,St. Truiden,Kortrijk,06.04.2025 | St. Truiden | Kortrijk | 0 | 3
Round 2,06.04.2025,Antwerp,Club Brugge KV,06.04.2025 | Antwerp | Club Brugge KV | 2 | 3
Round 2,05.04.2025,Gent,Royale Union SG,05.04.2025 | Gent | Royale Union SG | 0 | 3
Round 2,05.04.2025,Westerlo,Leuven,05.04.2025 | Westerlo | Leuven | 2 | 2
Round 2,05.04.2025,Cercle Brugge KSV,Beerschot VA,05.04.2025 | Cercle Brugge KSV | Beerschot VA | 2 | 1
Round 2,04.04.2025,KV Mechelen,Dender,04.04.2025 | KV Mechelen | Dender | 5 | 2
Round 1,30.03.2025,Dender,Westerlo,30.03.2025 | Dender | Westerlo | 1 | 0
Round 1,30.03.2025,Genk,Gent,30.03.2025 | Genk | Gent | 4 | 0
Round 1,30.03.2025,Kortrijk,Cercle Brugge KSV,30.03.2025 | Kortrijk | Cercle Brugge KSV | 2 | 2
Round 1,30.03.2025,Club Brugge KV,Anderlecht,30.03.2025 | Club Brugge KV | Anderlecht | 2 | 0
Round 1,29.03.2025,Royale Union SG,Antwerp,29.03.2025 | Royale Union SG | Antwerp | 5 | 1
Round 1,29.03.2025,St. Liege,KV Mechelen,29.03.2025 | St. Liege | KV Mechelen | 2 | 2
Round 1,29.03.2025,Beerschot VA,St. Truiden,29.03.2025 | Beerschot VA | St. Truiden | 0 | 1
Round 1,28.03.2025,Leuven,Charleroi,28.03.2025 | Leuven | Charleroi | 0 | 0
Round 30,16.03.2025,Beerschot VA,Westerlo,16.03.2025 | Beerschot VA | Westerlo | 1 | 2
Round 30,16.03.2025,Anderlecht,Cercle Brugge KSV,16.03.2025 | Anderlecht | Cercle Brugge KSV | 3 | 0
Round 30,16.03.2025,Club Brugge KV,Charleroi,16.03.2025 | Club Brugge KV | Charleroi | 4 | 2
Round 30,16.03.2025,Gent,Kortrijk,16.03.2025 | Gent | Kortrijk | 1 | 2
Round 30,16.03.2025,KV Mechelen,Dender,16.03.2025 | KV Mechelen | Dender | 2 | 1
Round 30,16.03.2025,Leuven,St. Truiden,16.03.2025 | Leuven | St. Truiden | 3 | 2
Round 30,16.03.2025,St. Liege,Antwerp,16.03.2025 | St. Liege | Antwerp | 0 | 0
Round 30,15.03.2025,Genk,Royale Union SG,15.03.2025 | Genk | Royale Union SG | 2 | 1
Round 29,09.03.2025,Royale Union SG,St. Liege,09.03.2025 | Royale Union SG | St. Liege | 3 | 0
Round 29,09.03.2025,Antwerp,Gent,09.03.2025 | Antwerp | Gent | 0 | 1
Round 29,09.03.2025,Westerlo,Anderlecht,09.03.2025 | Westerlo | Anderlecht | 2 | 0
Round 29,09.03.2025,Cercle Brugge KSV,Club Brugge KV,09.03.2025 | Cercle Brugge KSV | Club Brugge KV | 1 | 3
Round 29,08.03.2025,Dender,Genk,08.03.2025 | Dender | Genk | 0 | 1
Round 29,08.03.2025,Charleroi,KV Mechelen,08.03.2025 | Charleroi | KV Mechelen | 0 | 1
Round 29,08.03.2025,Kortrijk,Leuven,08.03.2025 | Kortrijk | Leuven | 2 | 0
Round 29,07.03.2025,St. Truiden,Beerschot VA,07.03.2025 | St. Truiden | Beerschot VA | 2 | 0
Round 28,02.03.2025,Leuven,Westerlo,02.03.2025 | Leuven | Westerlo | 0 | 0
Round 28,02.03.2025,St. Liege,Anderlecht,02.03.2025 | St. Liege | Anderlecht | 0 | 2
Round 28,02.03.2025,Beerschot VA,KV Mechelen,02.03.2025 | Beerschot VA | KV Mechelen | 1 | 0
Round 28,01.03.2025,Royale Union SG,Dender,01.03.2025 | Royale Union SG | Dender | 4 | 1
Round 28,01.03.2025,St. Truiden,Kortrijk,01.03.2025 | St. Truiden | Kortrijk | 4 | 2
Round 28,01.03.2025,Cercle Brugge KSV,Antwerp,01.03.2025 | Cercle Brugge KSV | Antwerp | 0 | 0
Round 28,01.03.2025,Gent,Club Brugge KV,01.03.2025 | Gent | Club Brugge KV | 1 | 1
Round 28,28.02.2025,Charleroi,Genk,28.02.2025 | Charleroi | Genk | 1 | 1
Round 27,23.02.2025,Kortrijk,Cercle Brugge KSV,23.02.2025 | Kortrijk | Cercle Brugge KSV | 1 | 1
Round 27,23.02.2025,Anderlecht,Royale Union SG,23.02.2025 | Anderlecht | Royale Union SG | 0 | 2
Round 27,23.02.2025,Genk,Gent,23.02.2025 | Genk | Gent | 0 | 0
Round 27,23.02.2025,Club Brugge KV,St. Liege,23.02.2025 | Club Brugge KV | St. Liege | 1 | 2
Round 27,22.02.2025,Antwerp,Leuven,22.02.2025 | Antwerp | Leuven | 2 | 2
Round 27,22.02.2025,Westerlo,Charleroi,22.02.2025 | Westerlo | Charleroi | 1 | 3
Round 27,22.02.2025,Dender,Beerschot VA,22.02.2025 | Dender | Beerschot VA | 0 | 0
Round 27,21.02.2025,KV Mechelen,St. Truiden,21.02.2025 | KV Mechelen | St. Truiden | 1 | 1
Round 26,16.02.2025,Cercle Brugge KSV,Westerlo,16.02.2025 | Cercle Brugge KSV | Westerlo | 1 | 1
Round 26,16.02.2025,Charleroi,Anderlecht,16.02.2025 | Charleroi | Anderlecht | 0 | 1
Round 26,16.02.2025,Royale Union SG,KV Mechelen,16.02.2025 | Royale Union SG | KV Mechelen | 0 | 1
Round 26,16.02.2025,Gent,Beerschot VA,16.02.2025 | Gent | Beerschot VA | 3 | 2
Round 26,15.02.2025,St. Truiden,Club Brugge KV,15.02.2025 | St. Truiden | Club Brugge KV | 2 | 2
Round 26,15.02.2025,Antwerp,Kortrijk,15.02.2025 | Antwerp | Kortrijk | 2 | 1
Round 26,15.02.2025,Leuven,Dender,15.02.2025 | Leuven | Dender | 3 | 2
Round 26,14.02.2025,St. Liege,Genk,14.02.2025 | St. Liege | Genk | 1 | 2
Round 25,09.02.2025,Beerschot VA,Charleroi,09.02.2025 | Beerschot VA | Charleroi | 1 | 1
Round 25,09.02.2025,Westerlo,St. Liege,09.02.2025 | Westerlo | St. Liege | 4 | 2
Round 25,09.02.2025,Kortrijk,Royale Union SG,09.02.2025 | Kortrijk | Royale Union SG | 1 | 2
Round 25,09.02.2025,Anderlecht,Antwerp,09.02.2025 | Anderlecht | Antwerp | 2 | 0
Round 25,08.02.2025,Genk,Cercle Brugge KSV,08.02.2025 | Genk | Cercle Brugge KSV | 2 | 1
Round 25,08.02.2025,Dender,St. Truiden,08.02.2025 | Dender | St. Truiden | 2 | 1
Round 25,08.02.2025,Club Brugge KV,Leuven,08.02.2025 | Club Brugge KV | Leuven | 1 | 0
Round 25,07.02.2025,KV Mechelen,Gent,07.02.2025 | KV Mechelen | Gent | 3 | 3
Round 24,02.02.2025,Kortrijk,Westerlo,02.02.2025 | Kortrijk | Westerlo | 1 | 2
Round 24,02.02.2025,Gent,Anderlecht,02.02.2025 | Gent | Anderlecht | 1 | 0
Round 24,02.02.2025,Royale Union SG,St. Truiden,02.02.2025 | Royale Union SG | St. Truiden | 2 | 1
Round 24,02.02.2025,Antwerp,Club Brugge KV,02.02.2025 | Antwerp | Club Brugge KV | 2 | 1
Round 24,01.02.2025,Genk,Beerschot VA,01.02.2025 | Genk | Beerschot VA | 1 | 0
Round 24,01.02.2025,Cercle Brugge KSV,St. Liege,01.02.2025 | Cercle Brugge KSV | St. Liege | 1 | 1
Round 24,01.02.2025,Charleroi,Dender,01.02.2025 | Charleroi | Dender | 2 | 5 | 0
Round 24,31.01.2025,Leuven,KV Mechelen,31.01.2025 | Leuven | KV Mechelen | 1 | 0
Round 23,26.01.2025,Leuven,Gent,26.01.2025 | Leuven | Gent | 0 | 0
Round 23,26.01.2025,Anderlecht,KV Mechelen,26.01.2025 | Anderlecht | KV Mechelen | 4 | 1
Round 23,26.01.2025,Beerschot VA,Royale Union SG,26.01.2025 | Beerschot VA | Royale Union SG | 0 | 4
Round 23,26.01.2025,St. Liege,Dender,26.01.2025 | St. Liege | Dender | 1 | 0
Round 23,25.01.2025,Club Brugge KV,Kortrijk,25.01.2025 | Club Brugge KV | Kortrijk | 1 | 1
Round 23,25.01.2025,Charleroi,Cercle Brugge KSV,25.01.2025 | Charleroi | Cercle Brugge KSV | 1 | 1
Round 23,25.01.2025,Westerlo,Genk,25.01.2025 | Westerlo | Genk | 1 | 2
Round 23,24.01.2025,St. Truiden,Antwerp,24.01.2025 | St. Truiden | Antwerp | 1 | 1
Round 22,19.01.2025,Antwerp,Westerlo,19.01.2025 | Antwerp | Westerlo | 3 | 2
Round 22,19.01.2025,St. Truiden,St. Liege,19.01.2025 | St. Truiden | St. Liege | 1 | 2
Round 22,19.01.2025,Royale Union SG,Leuven,19.01.2025 | Royale Union SG | Leuven | 1 | 0
Round 22,19.01.2025,Kortrijk,Anderlecht,19.01.2025 | Kortrijk | Anderlecht | 0 | 2
Round 22,18.01.2025,Club Brugge KV,Beerschot VA,18.01.2025 | Club Brugge KV | Beerschot VA | 4 | 2
Round 22,18.01.2025,KV Mechelen,Genk,18.01.2025 | KV Mechelen | Genk | 1 | 2
Round 22,18.01.2025,Dender,Cercle Brugge KSV,18.01.2025 | Dender | Cercle Brugge KSV | 0 | 1
