round,date,team_home,team_away,full_text
Round 38,07.12.2025,Atletico-MG,Vasco,07.12.2025 | Atletico-MG | Vasco | 5 | 0
Round 38,07.12.2025,Botafogo RJ,Fortaleza,07.12.2025 | Botafogo RJ | Fortaleza | 4 | 2
Round 38,07.12.2025,Ceara,Palmeiras,07.12.2025 | Ceara | Palmeiras | 1 | 3
Round 38,07.12.2025,Corinthians,Juventude,07.12.2025 | Corinthians | Juventude | 1 | 1
Round 38,07.12.2025,Fluminense,Bahia,07.12.2025 | Fluminense | Bahia | 2 | 0
Round 38,07.12.2025,Internacional,Bragantino,07.12.2025 | Internacional | Bragantino | 3 | 1
Round 38,07.12.2025,Santos,Cruzeiro,07.12.2025 | Santos | Cruzeiro | 3 | 0
Round 38,07.12.2025,Sport Recife,Gremio,07.12.2025 | Sport Recife | Gremio | 0 | 4
Round 38,07.12.2025,Vitoria,Sao Paulo,07.12.2025 | Vitoria | Sao Paulo | 1 | 0
Round 38,06.12.2025,Mirassol,Flamengo RJ,06.12.2025 | Mirassol | Flamengo RJ | 3 | 3
Round 37,04.12.2025,Cruzeiro,Botafogo RJ,04.12.2025 | Cruzeiro | Botafogo RJ | 2 | 2
Round 34,04.12.2025,Atletico-MG,Palmeiras,04.12.2025 | Atletico-MG | Palmeiras | 0 | 3
Round 37,04.12.2025,Flamengo RJ,Ceara,04.12.2025 | Flamengo RJ | Ceara | 1 | 0
Round 37,04.12.2025,Bahia,Sport Recife,04.12.2025 | Bahia | Sport Recife | 2 | 0
Round 37,04.12.2025,Sao Paulo,Internacional,04.12.2025 | Sao Paulo | Internacional | 3 | 0
Round 37,03.12.2025,Juventude,Santos,03.12.2025 | Juventude | Santos | 0 | 3
Round 34,03.12.2025,Bragantino,Vitoria,03.12.2025 | Bragantino | Vitoria | 4 | 0
Round 37,03.12.2025,Fortaleza,Corinthians,03.12.2025 | Fortaleza | Corinthians | 2 | 1
Round 37,03.12.2025,Gremio,Fluminense,03.12.2025 | Gremio | Fluminense | 1 | 2
Round 37,02.12.2025,Vasco,Mirassol,02.12.2025 | Vasco | Mirassol | 0 | 2
Round 35,30.11.2025,Fortaleza,Atletico-MG,30.11.2025 | Fortaleza | Atletico-MG | 1 | 0
Round 36,30.11.2025,Corinthians,Botafogo RJ,30.11.2025 | Corinthians | Botafogo RJ | 2 | 2
Round 36,30.11.2025,Ceara,Cruzeiro,30.11.2025 | Ceara | Cruzeiro | 1 | 1
Round 36,29.11.2025,Vitoria,Mirassol,29.11.2025 | Vitoria | Mirassol | 2 | 0
Round 36,29.11.2025,Santos,Sport Recife,29.11.2025 | Santos | Sport Recife | 3 | 0
Round 36,28.11.2025,Vasco,Internacional,28.11.2025 | Vasco | Internacional | 5 | 1
Round 36,28.11.2025,Juventude,Bahia,28.11.2025 | Juventude | Bahia | 1 | 1
Round 36,28.11.2025,Fluminense,Sao Paulo,28.11.2025 | Fluminense | Sao Paulo | 6 | 0
Round 36,26.11.2025,Bragantino,Fortaleza,26.11.2025 | Bragantino | Fortaleza | 0 | 1
Round 36,26.11.2025,Atletico-MG,Flamengo RJ,26.11.2025 | Atletico-MG | Flamengo RJ | 1 | 1
Round 36,26.11.2025,Gremio,Palmeiras,26.11.2025 | Gremio | Palmeiras | 3 | 2
Round 35,25.11.2025,Internacional,Santos,25.11.2025 | Internacional | Santos | 1 | 1
Round 35,24.11.2025,Mirassol,Ceara,24.11.2025 | Mirassol | Ceara | 3 | 0
Round 35,24.11.2025,Cruzeiro,Corinthians,24.11.2025 | Cruzeiro | Corinthians | 3 | 0
Round 35,23.11.2025,Sport Recife,Vitoria,23.11.2025 | Sport Recife | Vitoria | 1 | 3
Round 35,23.11.2025,Bahia,Vasco,23.11.2025 | Bahia | Vasco | 1 | 0
Round 35,23.11.2025,Sao Paulo,Juventude,23.11.2025 | Sao Paulo | Juventude | 2 | 1
Round 35,23.11.2025,Flamengo RJ,Bragantino,23.11.2025 | Flamengo RJ | Bragantino | 3 | 0
Round 35,23.11.2025,Palmeiras,Fluminense,23.11.2025 | Palmeiras | Fluminense | 0 | 0
Round 35,22.11.2025,Botafogo RJ,Gremio,22.11.2025 | Botafogo RJ | Gremio | 3 | 2
Round 34,21.11.2025,Ceara,Internacional,21.11.2025 | Ceara | Internacional | 1 | 2
Round 34,20.11.2025,Corinthians,Sao Paulo,20.11.2025 | Corinthians | Sao Paulo | 3 | 1
Round 34,20.11.2025,Bahia,Fortaleza,20.11.2025 | Bahia | Fortaleza | 2 | 3
Round 34,20.11.2025,Juventude,Cruzeiro,20.11.2025 | Juventude | Cruzeiro | 3 | 3
Round 34,20.11.2025,Fluminense,Flamengo RJ,20.11.2025 | Fluminense | Flamengo RJ | 2 | 1
Round 34,20.11.2025,Gremio,Vasco,20.11.2025 | Gremio | Vasco | 2 | 0
Round 34,20.11.2025,Santos,Mirassol,20.11.2025 | Santos | Mirassol | 1 | 1
Round 37,19.11.2025,Palmeiras,Vitoria,19.11.2025 | Palmeiras | Vitoria | 0 | 0
Round 34,19.11.2025,Botafogo RJ,Sport Recife,19.11.2025 | Botafogo RJ | Sport Recife | 3 | 2
Round 37,16.11.2025,Bragantino,Atletico-MG,16.11.2025 | Bragantino | Atletico-MG | 2 | 0
Round 13,16.11.2025,Santos,Palmeiras,16.11.2025 | Santos | Palmeiras | 1 | 0
Round 12,15.11.2025,Sport Recife,Flamengo RJ,15.11.2025 | Sport Recife | 2 | Flamengo RJ | 1 | 5
Round 16,13.11.2025,Atletico-MG,Fortaleza,13.11.2025 | Atletico-MG | Fortaleza | 3 | 3
Round 33,10.11.2025,Fortaleza,Gremio,10.11.2025 | Fortaleza | Gremio | 2 | 2
Round 33,10.11.2025,Mirassol,Palmeiras,10.11.2025 | Mirassol | Palmeiras | 2 | 1
Round 33,09.11.2025,Flamengo RJ,Santos,09.11.2025 | Flamengo RJ | Santos | 3 | 2
Round 33,09.11.2025,Corinthians,Ceara,09.11.2025 | Corinthians | Ceara | 0 | 1
Round 33,09.11.2025,Cruzeiro,Fluminense,09.11.2025 | Cruzeiro | Fluminense | 0 | 0
Round 33,09.11.2025,Vitoria,Botafogo RJ,09.11.2025 | Vitoria | Botafogo RJ | 0 | 0
