round,date,team_home,team_away,full_text
Final,17.12.2025,Deportes Tolima,Junior,17.12.2025 | Deportes Tolima | Junior | Winner: Junior | 0 | 1
Final,13.12.2025,Junior,Deportes Tolima,13.12.2025 | Junior | Deportes Tolima | 3 | 0
Round 6,09.12.2025,Santa Fe,Bucaramanga,09.12.2025 | Santa Fe | Bucaramanga | 0 | 0
Round 6,08.12.2025,America De Cali,Atl. Nacional,08.12.2025 | America De Cali | Atl. Nacional | 3 | 2
Round 6,08.12.2025,Ind. Medellin,Junior,08.12.2025 | Ind. Medellin | Junior | 2 | 1
Round 6,08.12.2025,Deportes Tolima,Fortaleza,08.12.2025 | Deportes Tolima | Fortaleza | 1 | 0
Round 5,05.12.2025,Junior,America De Cali,05.12.2025 | Junior | America De Cali | 2 | 1
Round 5,05.12.2025,Atl. Nacional,Ind. Medellin,05.12.2025 | Atl. Nacional | Ind. Medellin | 2 | 1
Round 5,04.12.2025,Bucaramanga,Deportes Tolima,04.12.2025 | Bucaramanga | Deportes Tolima | 0 | 0
Round 5,04.12.2025,Fortaleza,Santa Fe,04.12.2025 | Fortaleza | Santa Fe | 1 | 2
Round 4,02.12.2025,Ind. Medellin,America De Cali,02.12.2025 | Ind. Medellin | America De Cali | 1 | 1
Round 4,01.12.2025,Junior,Atl. Nacional,01.12.2025 | Junior | Atl. Nacional | 2 | 1
Round 4,30.11.2025,Fortaleza,Bucaramanga,30.11.2025 | Fortaleza | 2 | Bucaramanga | 0 | 2
Round 4,29.11.2025,Deportes Tolima,Santa Fe,29.11.2025 | Deportes Tolima | Santa Fe | 1 | 0
Round 3,28.11.2025,America De Cali,Ind. Medellin,28.11.2025 | America De Cali | Ind. Medellin | 2 | 1
Round 3,27.11.2025,Atl. Nacional,Junior,27.11.2025 | Atl. Nacional | Junior | 1 | 1
Round 3,27.11.2025,Bucaramanga,Fortaleza,27.11.2025 | Bucaramanga | Fortaleza | 1 | 2
Round 3,26.11.2025,Santa Fe,Deportes Tolima,26.11.2025 | Santa Fe | Deportes Tolima | 1 | 2
Round 2,24.11.2025,America De Cali,Junior,24.11.2025 | America De Cali | 2 | Junior | 1 | 1
Round 2,23.11.2025,Ind. Medellin,Atl. Nacional,23.11.2025 | Ind. Medellin | Atl. Nacional | 0 | 0
Round 2,23.11.2025,Deportes Tolima,Bucaramanga,23.11.2025 | Deportes Tolima | Bucaramanga | 0 | 0
Round 2,22.11.2025,Santa Fe,Fortaleza,22.11.2025 | Santa Fe | Fortaleza | 3 | 0
Round 1,21.11.2025,Atl. Nacional,America De Cali,21.11.2025 | Atl. Nacional | America De Cali | 1 | 0
Round 1,20.11.2025,Junior,Ind. Medellin,20.11.2025 | Junior | Ind. Medellin | 1 | 0
Round 1,20.11.2025,Bucaramanga,Santa Fe,20.11.2025 | Bucaramanga | Santa Fe | 1 | 0
Round 1,19.11.2025,Fortaleza,Deportes Tolima,19.11.2025 | Fortaleza | Deportes Tolima | 0 | 1
Round 20,14.11.2025,Aguilas,Deportes Tolima,14.11.2025 | Aguilas | Deportes Tolima | 1 | 2
Round 20,14.11.2025,Dep. Cali,Once Caldas,14.11.2025 | Dep. Cali | Once Caldas | 1 | 1
Round 20,14.11.2025,Dep. Pasto,Bucaramanga,14.11.2025 | Dep. Pasto | Bucaramanga | 3 | 0
Round 20,14.11.2025,Ind. Medellin,America De Cali,14.11.2025 | Ind. Medellin | America De Cali | 3 | 0
Round 20,14.11.2025,Junior,Atl. Nacional,14.11.2025 | Junior | Atl. Nacional | 2 | 1
Round 20,14.11.2025,Llaneros,Envigado,14.11.2025 | Llaneros | Envigado | 0 | 3
Round 20,14.11.2025,Santa Fe,Alianza,14.11.2025 | Santa Fe | Alianza | 1 | 0
Round 20,14.11.2025,U. Magdalena,Fortaleza,14.11.2025 | U. Magdalena | Fortaleza | 2 | 0
Round 20,13.11.2025,Chico,Millonarios,13.11.2025 | Chico | Millonarios | 2 | 1 | 2
Round 20,12.11.2025,Inter Bogotá,Pereira,12.11.2025 | Inter Bogotá | Pereira | 4 | 0
Round 19,10.11.2025,Santa Fe,Dep. Cali,10.11.2025 | Santa Fe | Dep. Cali | 1 | 0
Round 19,10.11.2025,America De Cali,U. Magdalena,10.11.2025 | America De Cali | U. Magdalena | 3 | 0
Round 19,09.11.2025,Alianza,Chico,09.11.2025 | Alianza | Chico | 2 | 0
Round 19,09.11.2025,Once Caldas,Dep. Pasto,09.11.2025 | Once Caldas | Dep. Pasto | 1 | 0
Round 19,09.11.2025,Bucaramanga,Inter Bogotá,09.11.2025 | Bucaramanga | Inter Bogotá | 2 | 1
Round 19,09.11.2025,Atl. Nacional,Aguilas,09.11.2025 | Atl. Nacional | Aguilas | 2 | 1
Round 19,08.11.2025,Fortaleza,Junior,08.11.2025 | Fortaleza | Junior | 1 | 1
Round 19,08.11.2025,Deportes Tolima,Llaneros,08.11.2025 | Deportes Tolima | Llaneros | 3 | 1
Round 19,08.11.2025,Pereira,Ind. Medellin,08.11.2025 | Pereira | Ind. Medellin | 1 | 4
Round 19,07.11.2025,Envigado,Millonarios,07.11.2025 | Envigado | Millonarios | 1 | 1
Round 18,07.11.2025,Chico,America De Cali,07.11.2025 | Chico | America De Cali | 0 | 2
Round 18,31.10.2025,Llaneros,Atl. Nacional,31.10.2025 | Llaneros | Atl. Nacional | 0 | 3
Round 18,30.10.2025,U. Magdalena,Deportes Tolima,30.10.2025 | U. Magdalena | Deportes Tolima | 0 | 2
Round 18,30.10.2025,Millonarios,Once Caldas,30.10.2025 | Millonarios | Once Caldas | 0 | 0
Round 18,30.10.2025,Ind. Medellin,Bucaramanga,30.10.2025 | Ind. Medellin | Bucaramanga | 3 | 0
Round 18,30.10.2025,Junior,Santa Fe,30.10.2025 | Junior | Santa Fe | 1 | 2
Round 18,29.10.2025,Inter Bogotá,Fortaleza,29.10.2025 | Inter Bogotá | Fortaleza | 0 | 1
Round 18,29.10.2025,Dep. Cali,Alianza,29.10.2025 | Dep. Cali | Alianza | 0 | 1
Round 18,28.10.2025,Aguilas,Envigado,28.10.2025 | Aguilas | Envigado | 1 | 0
Round 18,28.10.2025,Dep. Pasto,Pereira,28.10.2025 | Dep. Pasto | Pereira | 4 | 0
Round 17,27.10.2025,Atl. Nacional,Ind. Medellin,27.10.2025 | Atl. Nacional | Ind. Medellin | 5 | 2
Round 17,26.10.2025,Once Caldas,U. Magdalena,26.10.2025 | Once Caldas | U. Magdalena | 1 | 0
Round 17,26.10.2025,Santa Fe,Millonarios,26.10.2025 | Santa Fe | Millonarios | 0 | 1
Round 17,25.10.2025,Bucaramanga,Llaneros,25.10.2025 | Bucaramanga | Llaneros | 2 | 0
Round 17,25.10.2025,Deportes Tolima,Dep. Cali,25.10.2025 | Deportes Tolima | Dep. Cali | 2 | 1
Round 17,25.10.2025,Envigado,Chico,25.10.2025 | Envigado | Chico | 0 | 2
Round 17,25.10.2025,America De Cali,Junior,25.10.2025 | America De Cali | Junior | 2 | 1
Round 17,25.10.2025,Pereira,Aguilas,25.10.2025 | Pereira | Aguilas | 1 | 5
Round 17,25.10.2025,Fortaleza,Dep. Pasto,25.10.2025 | Fortaleza | Dep. Pasto | 2 | 0
Round 17,24.10.2025,Alianza,Inter Bogotá,24.10.2025 | Alianza | Inter Bogotá | 2 | 0
Round 16,22.10.2025,Millonarios,Bucaramanga,22.10.2025 | Millonarios | Bucaramanga | 1 | 1
Round 14,21.10.2025,Ind. Medellin,Santa Fe,21.10.2025 | Ind. Medellin | Santa Fe | 1 | 1
Round 16,21.10.2025,Inter Bogotá,Deportes Tolima,21.10.2025 | Inter Bogotá | Deportes Tolima | 0 | 2
Round 16,19.10.2025,Llaneros,Once Caldas,19.10.2025 | Llaneros | Once Caldas | 2 | 0
Round 16,19.10.2025,Dep. Cali,America De Cali,19.10.2025 | Dep. Cali | America De Cali | 0 | 2
Round 16,19.10.2025,Junior,Pereira,19.10.2025 | Junior | Pereira | 3 | 2
Round 16,18.10.2025,Aguilas,Alianza,18.10.2025 | Aguilas | Alianza | 1 | 0
Round 16,18.10.2025,Dep. Pasto,Atl. Nacional,18.10.2025 | Dep. Pasto | Atl. Nacional | 2 | 2
Round 16,18.10.2025,Chico,Santa Fe,18.10.2025 | Chico | Santa Fe | 0 | 0
Round 16,18.10.2025,Ind. Medellin,Fortaleza,18.10.2025 | Ind. Medellin | Fortaleza | 3 | 1
Round 16,18.10.2025,U. Magdalena,Envigado,18.10.2025 | U. Magdalena | Envigado | 3 | 1
Round 15,16.10.2025,Pereira,Millonarios,16.10.2025 | Pereira | Millonarios | 3 | 2
Round 15,15.10.2025,Atl. Nacional,Dep. Cali,15.10.2025 | Atl. Nacional | Dep. Cali | 2 | 1
Round 15,14.10.2025,Fortaleza,Chico,14.10.2025 | Fortaleza | Chico | 1 | 0
Round 15,14.10.2025,Once Caldas,Ind. Medellin,14.10.2025 | Once Caldas | Ind. Medellin | 1 | 5
Round 15,13.10.2025,Aguilas,Dep. Pasto,13.10.2025 | Aguilas | Dep. Pasto | 2 | 2
Round 15,13.10.2025,Bucaramanga,U. Magdalena,13.10.2025 | Bucaramanga | U. Magdalena | 1 | 0
Round 15,12.10.2025,Alianza,Junior,12.10.2025 | Alianza | Junior | 0 | 1
