round,date,team_home,team_away,full_text
Round 36,18.05.2025,Apollon,Aris,18.05.2025 | Apollon | Aris | 2 | 3
Round 36,18.05.2025,Omonia,APOEL,18.05.2025 | Omonia | APOEL | 2 | 1
Round 36,18.05.2025,Pafos,AEK Larnaca,18.05.2025 | Pafos | AEK Larnaca | 2 | 0
Round 35,12.05.2025,AEK Larnaca,Apollon,12.05.2025 | AEK Larnaca | Apollon | 3 | 0
Round 35,12.05.2025,APOEL,Pafos,12.05.2025 | APOEL | Pafos | 1 | 1
Round 35,12.05.2025,Aris,Omonia,12.05.2025 | Aris | Omonia | 3 | 3
Round 33,11.05.2025,AEL Limassol,Karmiotissa,11.05.2025 | AEL Limassol | Karmiotissa | 1 | 0
Round 33,11.05.2025,Omonia Aradippou,Omonia 29th May,11.05.2025 | Omonia Aradippou | Omonia 29th May | 4 | 1
Round 33,11.05.2025,Paralimni,Achnas,11.05.2025 | Paralimni | Achnas | 4 | 2
Round 33,09.05.2025,Nea Salamis,Anorthosis,09.05.2025 | Nea Salamis | Anorthosis | 2 | 4
Round 32,05.05.2025,Anorthosis,Paralimni,05.05.2025 | Anorthosis | Paralimni | 1 | 2
Round 32,05.05.2025,Karmiotissa,Omonia Aradippou,05.05.2025 | Karmiotissa | Omonia Aradippou | 1 | 0
Round 32,05.05.2025,Omonia 29th May,Nea Salamis,05.05.2025 | Omonia 29th May | Nea Salamis | 0 | 1
Round 34,04.05.2025,AEK Larnaca,APOEL,04.05.2025 | AEK Larnaca | APOEL | 3 | 0
Round 34,04.05.2025,Omonia,Apollon,04.05.2025 | Omonia | Apollon | 1 | 0
Round 34,04.05.2025,Pafos,Aris,04.05.2025 | Pafos | Aris | 4 | 0
Round 32,03.05.2025,Achnas,AEL Limassol,03.05.2025 | Achnas | AEL Limassol | 2 | 0
Round 31,28.04.2025,Karmiotissa,Omonia 29th May,28.04.2025 | Karmiotissa | Omonia 29th May | 2 | 0
Round 31,28.04.2025,Omonia Aradippou,Achnas,28.04.2025 | Omonia Aradippou | Achnas | 2 | 1
Round 31,28.04.2025,Paralimni,Nea Salamis,28.04.2025 | Paralimni | Nea Salamis | 2 | 2 | 2
Round 33,27.04.2025,Aris,AEK Larnaca,27.04.2025 | Aris | AEK Larnaca | 1 | 0
Round 33,26.04.2025,Apollon,APOEL,26.04.2025 | Apollon | APOEL | 0 | 0
