round,date,team_home,team_away,full_text
Final,01.06.2025,Chrudim,FK Pardubice,01.06.2025 | Chrudim | FK Pardubice | Advancing to next round: FK Pardubice | 1 | 0
Final,01.06.2025,Pen,Dukla Prague,01.06.2025 | Pen | Dukla Prague | Winner: Dukla Prague | Vyskov | 2 | 1 | 1 | 1
Final,28.05.2025,FK Pardubice,Chrudim,28.05.2025 | FK Pardubice | Chrudim | 2 | 0
Final,28.05.2025,Vyskov,Dukla Prague,28.05.2025 | Vyskov | Dukla Prague | 0 | 0
Round 5,25.05.2025,Dukla Prague,Ceske Budejovice,25.05.2025 | Dukla Prague | Ceske Budejovice | 2 | 1
Round 5,25.05.2025,Mlada Boleslav,Slovacko,25.05.2025 | Mlada Boleslav | Slovacko | 2 | 2
Round 5,25.05.2025,Teplice,FK Pardubice,25.05.2025 | Teplice | FK Pardubice | 3 | 0
Final,25.05.2025,Hradec Kralove,Winner: Hradec Kralove,25.05.2025 | Hradec Kralove | Winner: Hradec Kralove | Bohemians | 2 | 0
Round 5,24.05.2025,Plzen,Jablonec,24.05.2025 | Plzen | Jablonec | 4 | 1
Round 5,24.05.2025,Slavia Prague,Ostrava,24.05.2025 | Slavia Prague | Ostrava | 3 | 0
Round 5,24.05.2025,Sparta Prague,Sigma Olomouc,24.05.2025 | Sparta Prague | Sigma Olomouc | 1 | 1
Round 4,18.05.2025,Jablonec,Slavia Prague,18.05.2025 | Jablonec | Slavia Prague | 3 | 2
Round 4,18.05.2025,Ostrava,Sparta Prague,18.05.2025 | Ostrava | Sparta Prague | 3 | 2
Round 4,18.05.2025,Sigma Olomouc,Plzen,18.05.2025 | Sigma Olomouc | Plzen | 1 | 2
Final,18.05.2025,Bohemians,Hradec Kralove,18.05.2025 | Bohemians | Hradec Kralove | 1 | 0
Round 4,17.05.2025,Ceske Budejovice,Teplice,17.05.2025 | Ceske Budejovice | Teplice | 0 | 3
Round 4,17.05.2025,FK Pardubice,Mlada Boleslav,17.05.2025 | FK Pardubice | Mlada Boleslav | 2 | 1
Round 4,17.05.2025,Slovacko,Dukla Prague,17.05.2025 | Slovacko | Dukla Prague | 3 | 2
Round 3,11.05.2025,Mlada Boleslav,Dukla Prague,11.05.2025 | Mlada Boleslav | Dukla Prague | 2 | 3
Round 3,11.05.2025,Plzen,Ostrava,11.05.2025 | Plzen | Ostrava | 1 | 2
Semi-finals,11.05.2025,Liberec,Bohemians,11.05.2025 | Liberec | Bohemians | Advancing to next round: Bohemians | 1 | 0
Round 3,11.05.2025,Teplice,Slovacko,11.05.2025 | Teplice | Slovacko | 1 | 0
