round,date,team_home,team_away,full_text
Round 9,31.05.2025,Zamalek,Pharco,31.05.2025 | Zamalek | Pharco | 2 | 0
Round 9,29.05.2025,Al Ittihad,Enppi,29.05.2025 | Al Ittihad | Enppi | 1 | 1
Round 9,29.05.2025,El Gaish,Modern Sport,29.05.2025 | El Gaish | Modern Sport | 1 | 1
Round 9,29.05.2025,Ghazl El Mahallah,El Ismaily,29.05.2025 | Ghazl El Mahallah | El Ismaily | 1 | 1
Round 9,29.05.2025,ZED,Smouha,29.05.2025 | ZED | Smouha | 0 | 0
Round 8,28.05.2025,Al Ahly,Pharco,28.05.2025 | Al Ahly | Pharco | 6 | 0
Round 9,28.05.2025,Al Masry,Haras El Hodood,28.05.2025 | Al Masry | Haras El Hodood | 2 | 0
Round 9,28.05.2025,Ceramica Cleopatra,Pyramids,28.05.2025 | Ceramica Cleopatra | Pyramids | 1 | 5
Round 9,28.05.2025,Petrojet,National Bank Egypt,28.05.2025 | Petrojet | National Bank Egypt | 0 | 0
Round 8,25.05.2025,El Gaish,Ghazl El Mahallah,25.05.2025 | El Gaish | Ghazl El Mahallah | 1 | 1
Round 8,25.05.2025,El Ismaily,El Gouna,25.05.2025 | El Ismaily | El Gouna | 3 | 0
Round 8,25.05.2025,Enppi,ZED,25.05.2025 | Enppi | ZED | 1 | 1
Round 8,25.05.2025,Modern Sport,Al Ittihad,25.05.2025 | Modern Sport | Al Ittihad | 1 | 0
Round 8,24.05.2025,Ceramica Cleopatra,Haras El Hodood,24.05.2025 | Ceramica Cleopatra | Haras El Hodood | 2 | 0
Round 8,24.05.2025,National Bank Egypt,Al Masry,24.05.2025 | National Bank Egypt | Al Masry | 0 | 1
Round 8,24.05.2025,Petrojet,Zamalek,24.05.2025 | Petrojet | Zamalek | 1 | 3
Round 7,18.05.2025,Pharco,Haras El Hodood,18.05.2025 | Pharco | Haras El Hodood | 0 | 0
Round 7,17.05.2025,Al Ahly,National Bank Egypt,17.05.2025 | Al Ahly | National Bank Egypt | 2 | 1
Round 7,17.05.2025,Al Masry,Ceramica Cleopatra,17.05.2025 | Al Masry | Ceramica Cleopatra | 0 | 4
Round 7,17.05.2025,Petrojet,Pyramids,17.05.2025 | Petrojet | Pyramids | 0 | 2
Round 7,16.05.2025,El Gaish,Enppi,16.05.2025 | El Gaish | Enppi | 1 | 1
Round 7,16.05.2025,El Ismaily,Modern Sport,16.05.2025 | El Ismaily | Modern Sport | 1 | 2
Round 7,16.05.2025,Ghazl El Mahallah,El Gouna,16.05.2025 | Ghazl El Mahallah | El Gouna | 0 | 4
Round 7,16.05.2025,Smouha,Al Ittihad,16.05.2025 | Smouha | Al Ittihad | 0 | 0
Round 6,13.05.2025,Haras El Hodood,National Bank Egypt,13.05.2025 | Haras El Hodood | National Bank Egypt | 1 | 1
Round 6,13.05.2025,Zamalek,Pyramids,13.05.2025 | Zamalek | Pyramids | 0 | 1
Round 6,13.05.2025,Ceramica Cleopatra,Al Ahly,13.05.2025 | Ceramica Cleopatra | Al Ahly | 0 | 1
Round 6,13.05.2025,Pharco,Al Masry,13.05.2025 | Pharco | Al Masry | 1 | 1
Round 6,11.05.2025,El Gouna,El Gaish,11.05.2025 | El Gouna | El Gaish | 0 | 1
Round 6,11.05.2025,ZED,Modern Sport,11.05.2025 | ZED | Modern Sport | 2 | 2
Round 6,11.05.2025,Smouha,Enppi,11.05.2025 | Smouha | Enppi | 0 | 1
Round 6,10.05.2025,Al Ittihad,Ghazl El Mahallah,10.05.2025 | Al Ittihad | Ghazl El Mahallah | 0 | 0
Round 5,09.05.2025,National Bank Egypt,Pyramids,09.05.2025 | National Bank Egypt | Pyramids | 4 | 2
Round 5,09.05.2025,Pharco,Petrojet,09.05.2025 | Pharco | Petrojet | 2 | 2
Round 5,09.05.2025,Ceramica Cleopatra,Zamalek,09.05.2025 | Ceramica Cleopatra | Zamalek | 2 | 2
Round 5,08.05.2025,Al Ahly,Al Masry,08.05.2025 | Al Ahly | Al Masry | 4 | 2
Round 5,07.05.2025,El Ismaily,Enppi,07.05.2025 | El Ismaily | Enppi | 0 | 1
Round 5,07.05.2025,El Gouna,Modern Sport,07.05.2025 | El Gouna | Modern Sport | 0 | 1
Round 5,06.05.2025,ZED,Al Ittihad,06.05.2025 | ZED | Al Ittihad | 0 | 0
Round 5,06.05.2025,Smouha,El Gaish,06.05.2025 | Smouha | El Gaish | 0 | 0
Round 4,05.05.2025,National Bank Egypt,Zamalek,05.05.2025 | National Bank Egypt | Zamalek | 2 | 2
Round 4,05.05.2025,Petrojet,Ceramica Cleopatra,05.05.2025 | Petrojet | Ceramica Cleopatra | 0 | 2
Round 4,04.05.2025,Al Ahly,Haras El Hodood,04.05.2025 | Al Ahly | Haras El Hodood | 5 | 0
Round 4,04.05.2025,Pharco,Pyramids,04.05.2025 | Pharco | Pyramids | 3 | 2
Round 4,03.05.2025,Modern Sport,Ghazl El Mahallah,03.05.2025 | Modern Sport | Ghazl El Mahallah | 2 | 1
Round 4,03.05.2025,Enppi,El Gouna,03.05.2025 | Enppi | El Gouna | 0 | 1
Round 4,02.05.2025,ZED,El Gaish,02.05.2025 | ZED | El Gaish | 0 | 0
Round 4,02.05.2025,Smouha,El Ismaily,02.05.2025 | Smouha | El Ismaily | 1 | 1
Round 3,01.05.2025,Al Masry,Zamalek,01.05.2025 | Al Masry | Zamalek | 0 | 0
