round,date,team_home,team_away,full_text
Final,07.11.2025,Bray,Waterford,07.11.2025 | Bray | Waterford | Winner: Waterford | 1 | 2
Round 36,01.11.2025,Cork City,Derry City,01.11.2025 | Cork City | Derry City | 0 | 1
Round 36,01.11.2025,Drogheda,Bohemians,01.11.2025 | Drogheda | Bohemians | 1 | 4
Round 36,01.11.2025,Shamrock Rovers,Sligo Rovers,01.11.2025 | Shamrock Rovers | Sligo Rovers | 1 | 2
Round 36,01.11.2025,Shelbourne,St. Patricks,01.11.2025 | Shelbourne | St. Patricks | 0 | 0
Round 36,01.11.2025,Waterford,Galway,01.11.2025 | Waterford | Galway | 1 | 1
Round 33,29.10.2025,Shamrock Rovers,Galway,29.10.2025 | Shamrock Rovers | Galway | 1 | 0
Round 35,26.10.2025,Bohemians,Shelbourne,26.10.2025 | Bohemians | Shelbourne | 2 | 3
Round 35,26.10.2025,Derry City,Shamrock Rovers,26.10.2025 | Derry City | Shamrock Rovers | 2 | 1
Round 35,25.10.2025,Sligo Rovers,Cork City,25.10.2025 | Sligo Rovers | Cork City | 1 | 1
Round 35,24.10.2025,Galway,Drogheda,24.10.2025 | Galway | Drogheda | 1 | 1
Round 35,24.10.2025,St. Patricks,Waterford,24.10.2025 | St. Patricks | Waterford | 1 | 1
Round 33,20.10.2025,Bohemians,St. Patricks,20.10.2025 | Bohemians | St. Patricks | 0 | 0
Round 34,17.10.2025,Drogheda,Cork City,17.10.2025 | Drogheda | Cork City | 1 | 0
Round 34,17.10.2025,Galway,Bohemians,17.10.2025 | Galway | Bohemians | 2 | 0
Round 34,17.10.2025,Shelbourne,Sligo Rovers,17.10.2025 | Shelbourne | Sligo Rovers | 3 | 1
Round 34,17.10.2025,St. Patricks,Shamrock Rovers,17.10.2025 | St. Patricks | Shamrock Rovers | 1 | 0
Round 34,17.10.2025,Waterford,Derry City,17.10.2025 | Waterford | Derry City | 1 | 2
Round 33,13.10.2025,Cork City,Shelbourne,13.10.2025 | Cork City | Shelbourne | 1 | 2
Round 28,10.10.2025,Shamrock Rovers,Shelbourne,10.10.2025 | Shamrock Rovers | Shelbourne | 0 | 1
Round 33,05.10.2025,Derry City,Sligo Rovers,05.10.2025 | Derry City | Sligo Rovers | 1 | 0
Round 33,05.10.2025,Waterford,Drogheda,05.10.2025 | Waterford | Drogheda | 2 | 0
Round 32,27.09.2025,Sligo Rovers,St. Patricks,27.09.2025 | Sligo Rovers | St. Patricks | 1 | 0
Round 32,26.09.2025,Drogheda,Derry City,26.09.2025 | Drogheda | Derry City | 1 | 1
Round 32,26.09.2025,Galway,Cork City,26.09.2025 | Galway | Cork City | 2 | 1
Round 32,26.09.2025,Shamrock Rovers,Bohemians,26.09.2025 | Shamrock Rovers | Bohemians | 2 | 1
Round 32,26.09.2025,Shelbourne,Waterford,26.09.2025 | Shelbourne | Waterford | 2 | 1
Round 30,22.09.2025,Drogheda,Shelbourne,22.09.2025 | Drogheda | Shelbourne | 2 | 1
Round 30,22.09.2025,Galway,Sligo Rovers,22.09.2025 | Galway | Sligo Rovers | 0 | 1
Round 30,22.09.2025,St. Patricks,Cork City,22.09.2025 | St. Patricks | Cork City | 4 | 0
Round 30,22.09.2025,Waterford,Shamrock Rovers,22.09.2025 | Waterford | Shamrock Rovers | 1 | 2
Round 31,19.09.2025,Bohemians,Waterford,19.09.2025 | Bohemians | Waterford | 2 | 1
Round 31,19.09.2025,Cork City,Shamrock Rovers,19.09.2025 | Cork City | Shamrock Rovers | 1 | 1
Round 31,19.09.2025,Derry City,Shelbourne,19.09.2025 | Derry City | Shelbourne | 1 | 1
Round 31,19.09.2025,Sligo Rovers,Drogheda,19.09.2025 | Sligo Rovers | Drogheda | 1 | 1
Round 31,19.09.2025,St. Patricks,Galway,19.09.2025 | St. Patricks | Galway | 1 | 1
Round 30,12.09.2025,Bohemians,Derry City,12.09.2025 | Bohemians | Derry City | 3 | 4
Round 29,07.09.2025,Shelbourne,Galway,07.09.2025 | Shelbourne | Galway | 1 | 0
Round 29,31.08.2025,Shamrock Rovers,Drogheda,31.08.2025 | Shamrock Rovers | Drogheda | 2 | 1
Round 29,30.08.2025,Sligo Rovers,Bohemians,30.08.2025 | Sligo Rovers | Bohemians | 0 | 0
Round 29,29.08.2025,Cork City,Waterford,29.08.2025 | Cork City | Waterford | 2 | 0
Round 29,29.08.2025,Derry City,St. Patricks,29.08.2025 | Derry City | St. Patricks | 2 | 2
Round 28,22.08.2025,Bohemians,Cork City,22.08.2025 | Bohemians | Cork City | 3 | 0
Round 28,22.08.2025,Drogheda,St. Patricks,22.08.2025 | Drogheda | St. Patricks | 0 | 1
Round 28,22.08.2025,Galway,Derry City,22.08.2025 | Galway | Derry City | 1 | 2
Round 28,22.08.2025,Waterford,Sligo Rovers,22.08.2025 | Waterford | Sligo Rovers | 1 | 2
Round 27,10.08.2025,St. Patricks,Sligo Rovers,10.08.2025 | St. Patricks | Sligo Rovers | 3 | 0
Round 27,10.08.2025,Galway,Shamrock Rovers,10.08.2025 | Galway | Shamrock Rovers | 0 | 0
