round,date,team_home,team_away,full_text
Final,01.06.2025,Pen,Wiltz,01.06.2025 | Pen | Wiltz | Jeunesse Canach | Advancing to next round: Jeunesse Canach | 1 | 2 | 1 | 1
Final,29.05.2025,Bettembourg,Bissen,29.05.2025 | Bettembourg | Bissen | Winner: Bissen | 0 | 1
Round 30,25.05.2025,Dudelange,Bettembourg,25.05.2025 | Dudelange | Bettembourg | 5 | 0
Round 30,25.05.2025,Fola,Victoria Rosport,25.05.2025 | Fola | Victoria Rosport | 1 | 4
Round 30,25.05.2025,Mondorf,Jeunesse Esch,25.05.2025 | Mondorf | Jeunesse Esch | 4 | 1
Round 30,25.05.2025,Niedercorn,Mondercange,25.05.2025 | Niedercorn | Mondercange | 7 | 2
Round 30,25.05.2025,Racing Luxembourg,Rodange,25.05.2025 | Racing Luxembourg | Rodange | 2 | 0
Round 30,25.05.2025,UNA Strassen,Differdange,25.05.2025 | UNA Strassen | Differdange | 1 | 0
Round 30,25.05.2025,Union Titus Petange,Hesperange,25.05.2025 | Union Titus Petange | Hesperange | 0 | 3
Round 30,25.05.2025,Wiltz,Hostert,25.05.2025 | Wiltz | Hostert | 2 | 2
Round 29,18.05.2025,Bettembourg,Fola,18.05.2025 | Bettembourg | Fola | 2 | 0
Round 29,18.05.2025,Differdange,Racing Luxembourg,18.05.2025 | Differdange | Racing Luxembourg | 1 | 1
Round 29,18.05.2025,Hesperange,Niedercorn,18.05.2025 | Hesperange | Niedercorn | 1 | 0
Round 29,18.05.2025,Hostert,Union Titus Petange,18.05.2025 | Hostert | Union Titus Petange | 1 | 8
Round 29,18.05.2025,Jeunesse Esch,Dudelange,18.05.2025 | Jeunesse Esch | Dudelange | 2 | 0
Round 29,18.05.2025,Mondercange,Mondorf,18.05.2025 | Mondercange | Mondorf | 1 | 2
Round 29,18.05.2025,Rodange,Wiltz,18.05.2025 | Rodange | Wiltz | 4 | 2
Round 29,18.05.2025,Victoria Rosport,UNA Strassen,18.05.2025 | Victoria Rosport | UNA Strassen | 0 | 3
Round 28,12.05.2025,Fola,Jeunesse Esch,12.05.2025 | Fola | Jeunesse Esch | 0 | 1
Round 28,11.05.2025,Dudelange,Mondercange,11.05.2025 | Dudelange | Mondercange | 2 | 3
Round 28,11.05.2025,Mondorf,Hesperange,11.05.2025 | Mondorf | Hesperange | 4 | 0
Round 28,11.05.2025,Racing Luxembourg,Victoria Rosport,11.05.2025 | Racing Luxembourg | Victoria Rosport | 2 | 0
Round 28,11.05.2025,Rodange,Hostert,11.05.2025 | Rodange | Hostert | 1 | 1
Round 28,11.05.2025,UNA Strassen,Bettembourg,11.05.2025 | UNA Strassen | Bettembourg | 3 | 0
Round 28,10.05.2025,Niedercorn,Union Titus Petange,10.05.2025 | Niedercorn | Union Titus Petange | 0 | 1
Round 28,10.05.2025,Wiltz,Differdange,10.05.2025 | Wiltz | Differdange | 0 | 4
