round,date,team_home,team_away,full_text
Final,26.05.2025,Toluca,Winner: Toluca,26.05.2025 | Toluca | Winner: Toluca | Club America | 2 | 0
Final,23.05.2025,Club America,Toluca,23.05.2025 | Club America | Toluca | 0 | 0
Semi-finals,19.05.2025,Club America,Advancing to next round: Club America,19.05.2025 | Club America | Advancing to next round: Club America | Cruz Azul | 2 | 1
Semi-finals,18.05.2025,Toluca,Advancing to next round: Toluca,18.05.2025 | Toluca | Advancing to next round: Toluca | Tigres UANL | 3 | 0
Semi-finals,16.05.2025,Cruz Azul,Club America,16.05.2025 | Cruz Azul | Club America | 1 | 0
Semi-finals,15.05.2025,Tigres UANL,Toluca,15.05.2025 | Tigres UANL | Toluca | 1 | 1
Quarter-finals,12.05.2025,Tigres UANL,Advancing to next round: Tigres UANL,12.05.2025 | Tigres UANL | Advancing to next round: Tigres UANL | Necaxa | 2 | 2
Quarter-finals,12.05.2025,Cruz Azul,Advancing to next round: Cruz Azul,12.05.2025 | Cruz Azul | Advancing to next round: Cruz Azul | Club Leon | 2 | 1
Quarter-finals,11.05.2025,Club America,Advancing to next round: Club America,11.05.2025 | Club America | Advancing to next round: Club America | Pachuca | 2 | 0
Quarter-finals,11.05.2025,Toluca,Advancing to next round: Toluca,11.05.2025 | Toluca | Advancing to next round: Toluca | Monterrey | 2 | 1
Quarter-finals,09.05.2025,Club Leon,Cruz Azul,09.05.2025 | Club Leon | Cruz Azul | 2 | 3
Quarter-finals,09.05.2025,Necaxa,Tigres UANL,09.05.2025 | Necaxa | Tigres UANL | 0 | 0
Quarter-finals,08.05.2025,Pachuca,Club America,08.05.2025 | Pachuca | Club America | 0 | 0
Quarter-finals,08.05.2025,Monterrey,Toluca,08.05.2025 | Monterrey | Toluca | 3 | 2
Final,05.05.2025,Monterrey,Advancing to next round: Monterrey,05.05.2025 | Monterrey | Advancing to next round: Monterrey | UNAM Pumas | 2 | 0
Semi-finals,28.04.2025,Monterrey,Pachuca,28.04.2025 | Monterrey | Pachuca | Advancing to next round: Pachuca | 1 | 2
Semi-finals,28.04.2025,Pen,Juarez,28.04.2025 | Pen | Juarez | UNAM Pumas | Advancing to next round: UNAM Pumas | 1 | 2 | 1 | 1
Round 17,21.04.2025,Juarez,Queretaro,21.04.2025 | Juarez | Queretaro | 0 | 2
Round 17,21.04.2025,Club Leon,Monterrey,21.04.2025 | Club Leon | Monterrey | 0 | 2
Round 17,21.04.2025,Atl. San Luis,Pachuca,21.04.2025 | Atl. San Luis | Pachuca | 2 | 1
Round 17,21.04.2025,Santos Laguna,Club Tijuana,21.04.2025 | Santos Laguna | Club Tijuana | 0 | 4
Round 17,20.04.2025,Atlas,Guadalajara Chivas,20.04.2025 | Atlas | Guadalajara Chivas | 1 | 1
Round 17,20.04.2025,Tigres UANL,UNAM Pumas,20.04.2025 | Tigres UANL | UNAM Pumas | 2 | 1
Round 17,20.04.2025,Toluca,Cruz Azul,20.04.2025 | Toluca | Cruz Azul | 2 | 2
Round 17,20.04.2025,Club America,Mazatlan FC,20.04.2025 | Club America | Mazatlan FC | 5 | 0
Round 17,19.04.2025,Puebla,Necaxa,19.04.2025 | Puebla | Necaxa | 0 | 1
Round 16,17.04.2025,UNAM Pumas,Santos Laguna,17.04.2025 | UNAM Pumas | Santos Laguna | 2 | 0
Round 16,17.04.2025,Mazatlan FC,Club Tijuana,17.04.2025 | Mazatlan FC | Club Tijuana | 0 | 2
Round 16,17.04.2025,Atl. San Luis,Toluca,17.04.2025 | Atl. San Luis | Toluca | 0 | 1
