round,date,team_home,team_away,full_text
Final,31.05.2025,Hassania Agadir,Winner: Hassania Agadir,31.05.2025 | Hassania Agadir | Winner: Hassania Agadir | Raja Beni Mellal | 1 | 0
Final,30.05.2025,Jeunesse Sportive Soualem,Dcheira,30.05.2025 | Jeunesse Sportive Soualem | Dcheira | Advancing to next round: Dcheira | 0 | 3
Final,25.05.2025,Raja Beni Mellal,Hassania Agadir,25.05.2025 | Raja Beni Mellal | Hassania Agadir | 0 | 0
Final,24.05.2025,Dcheira,Jeunesse Sportive Soualem,24.05.2025 | Dcheira | Jeunesse Sportive Soualem | 1 | 2
Round 30,12.05.2025,Chabab Mohammedia,Raja Casablanca,12.05.2025 | Chabab Mohammedia | Raja Casablanca | 0 | 6
Round 30,11.05.2025,COD Meknes,FUS Rabat,11.05.2025 | COD Meknes | FUS Rabat | 0 | 3
Round 30,11.05.2025,Difaa El Jadidi,IR Tanger,11.05.2025 | Difaa El Jadidi | IR Tanger | 2 | 1
Round 30,11.05.2025,Hassania Agadir,FAR Rabat,11.05.2025 | Hassania Agadir | FAR Rabat | 0 | 3
Round 30,11.05.2025,Maghreb Fez,Berkane,11.05.2025 | Maghreb Fez | Berkane | 1 | 3
Round 30,11.05.2025,Moghreb Tetouan,Jeunesse Sportive Soualem,11.05.2025 | Moghreb Tetouan | Jeunesse Sportive Soualem | 0 | 3
Round 30,11.05.2025,Union Touarga,Olympique de Safi,11.05.2025 | Union Touarga | Olympique de Safi | 0 | 2
Round 30,11.05.2025,Wydad AC,Renaissance Zemamra,11.05.2025 | Wydad AC | Renaissance Zemamra | 2 | 0
Round 29,08.05.2025,FAR Rabat,Moghreb Tetouan,08.05.2025 | FAR Rabat | Moghreb Tetouan | 2 | 1
Round 29,08.05.2025,FUS Rabat,Hassania Agadir,08.05.2025 | FUS Rabat | Hassania Agadir | 2 | 1
Round 29,08.05.2025,IR Tanger,COD Meknes,08.05.2025 | IR Tanger | COD Meknes | 2 | 0
Round 29,08.05.2025,Jeunesse Sportive Soualem,Wydad AC,08.05.2025 | Jeunesse Sportive Soualem | Wydad AC | 0 | 2
Round 29,08.05.2025,Olympique de Safi,Maghreb Fez,08.05.2025 | Olympique de Safi | Maghreb Fez | 2 | 2
Round 29,08.05.2025,Raja Casablanca,Difaa El Jadidi,08.05.2025 | Raja Casablanca | Difaa El Jadidi | 3 | 2
Round 29,08.05.2025,Renaissance Zemamra,Union Touarga,08.05.2025 | Renaissance Zemamra | Union Touarga | 3 | 0
Round 29,07.05.2025,Berkane,Chabab Mohammedia,07.05.2025 | Berkane | Chabab Mohammedia | 1 | 0
Round 28,04.05.2025,Chabab Mohammedia,IR Tanger,04.05.2025 | Chabab Mohammedia | IR Tanger | 1 | 2
Round 28,04.05.2025,COD Meknes,Berkane,04.05.2025 | COD Meknes | Berkane | 0 | 4
Round 28,04.05.2025,Difaa El Jadidi,FUS Rabat,04.05.2025 | Difaa El Jadidi | FUS Rabat | 0 | 5
Round 28,04.05.2025,Hassania Agadir,Olympique de Safi,04.05.2025 | Hassania Agadir | Olympique de Safi | 2 | 3
Round 28,04.05.2025,Maghreb Fez,Jeunesse Sportive Soualem,04.05.2025 | Maghreb Fez | Jeunesse Sportive Soualem | 2 | 0
Round 28,04.05.2025,Moghreb Tetouan,Renaissance Zemamra,04.05.2025 | Moghreb Tetouan | Renaissance Zemamra | 3 | 0
Round 28,04.05.2025,Union Touarga,Raja Casablanca,04.05.2025 | Union Touarga | Raja Casablanca | 0 | 0
Round 28,03.05.2025,Wydad AC,FAR Rabat,03.05.2025 | Wydad AC | FAR Rabat | 2 | 1
Round 27,01.05.2025,Berkane,Difaa El Jadidi,01.05.2025 | Berkane | Difaa El Jadidi | 1 | 1
Round 27,23.04.2025,Chabab Mohammedia,COD Meknes,23.04.2025 | Chabab Mohammedia | COD Meknes | 1 | 2
Round 27,23.04.2025,FAR Rabat,Jeunesse Sportive Soualem,23.04.2025 | FAR Rabat | Jeunesse Sportive Soualem | 2 | 0
Round 27,23.04.2025,FUS Rabat,Moghreb Tetouan,23.04.2025 | FUS Rabat | Moghreb Tetouan | 2 | 2
Round 27,23.04.2025,IR Tanger,Union Touarga,23.04.2025 | IR Tanger | Union Touarga | 0 | 1
Round 27,23.04.2025,Olympique de Safi,Wydad AC,23.04.2025 | Olympique de Safi | Wydad AC | 1 | 1
Round 27,23.04.2025,Raja Casablanca,Hassania Agadir,23.04.2025 | Raja Casablanca | Hassania Agadir | 1 | 0
Round 27,23.04.2025,Renaissance Zemamra,Maghreb Fez,23.04.2025 | Renaissance Zemamra | Maghreb Fez | 1 | 1
Round 26,14.04.2025,Moghreb Tetouan,IR Tanger,14.04.2025 | Moghreb Tetouan | IR Tanger | 2 | 1
Round 26,13.04.2025,Union Touarga,FAR Rabat,13.04.2025 | Union Touarga | FAR Rabat | 0 | 1
Round 26,13.04.2025,Hassania Agadir,Berkane,13.04.2025 | Hassania Agadir | Berkane | 2 | 0
Round 26,12.04.2025,Wydad AC,Raja Casablanca,12.04.2025 | Wydad AC | Raja Casablanca | 1 | 1
Round 26,12.04.2025,Difaa El Jadidi,Chabab Mohammedia,12.04.2025 | Difaa El Jadidi | Chabab Mohammedia | 1 | 0
Round 26,12.04.2025,Maghreb Fez,FUS Rabat,12.04.2025 | Maghreb Fez | FUS Rabat | 1 | 0
Round 26,11.04.2025,Jeunesse Sportive Soualem,Renaissance Zemamra,11.04.2025 | Jeunesse Sportive Soualem | Renaissance Zemamra | 0 | 1
Round 26,11.04.2025,COD Meknes,Olympique de Safi,11.04.2025 | COD Meknes | Olympique de Safi | 1 | 0
Round 25,16.03.2025,Chabab Mohammedia,Hassania Agadir,16.03.2025 | Chabab Mohammedia | Hassania Agadir | 0 | 4
Round 25,16.03.2025,Difaa El Jadidi,COD Meknes,16.03.2025 | Difaa El Jadidi | COD Meknes | 2 | 1
Round 25,16.03.2025,Raja Casablanca,Moghreb Tetouan,16.03.2025 | Raja Casablanca | Moghreb Tetouan | 1 | 1
Round 25,15.03.2025,Berkane,Union Touarga,15.03.2025 | Berkane | Union Touarga | 1 | 1
Round 25,15.03.2025,FUS Rabat,Jeunesse Sportive Soualem,15.03.2025 | FUS Rabat | Jeunesse Sportive Soualem | 4 | 2
Round 25,15.03.2025,IR Tanger,Wydad AC,15.03.2025 | IR Tanger | Wydad AC | 1 | 1
Round 25,14.03.2025,FAR Rabat,Maghreb Fez,14.03.2025 | FAR Rabat | Maghreb Fez | 3 | 1
Round 25,14.03.2025,Olympique de Safi,Renaissance Zemamra,14.03.2025 | Olympique de Safi | Renaissance Zemamra | 2 | 0
Round 24,10.03.2025,COD Meknes,Raja Casablanca,10.03.2025 | COD Meknes | Raja Casablanca | 1 | 2
Round 24,10.03.2025,Hassania Agadir,Difaa El Jadidi,10.03.2025 | Hassania Agadir | Difaa El Jadidi | 1 | 1
Round 24,09.03.2025,Moghreb Tetouan,Berkane,09.03.2025 | Moghreb Tetouan | Berkane | 0 | 2
Round 24,09.03.2025,Wydad AC,FUS Rabat,09.03.2025 | Wydad AC | FUS Rabat | 2 | 2
Round 24,08.03.2025,Maghreb Fez,IR Tanger,08.03.2025 | Maghreb Fez | IR Tanger | 1 | 1
Round 24,08.03.2025,Renaissance Zemamra,FAR Rabat,08.03.2025 | Renaissance Zemamra | FAR Rabat | 1 | 2
Round 24,07.03.2025,Jeunesse Sportive Soualem,Olympique de Safi,07.03.2025 | Jeunesse Sportive Soualem | Olympique de Safi | 0 | 1
Round 24,07.03.2025,Union Touarga,Chabab Mohammedia,07.03.2025 | Union Touarga | Chabab Mohammedia | 2 | 1
Round 23,28.02.2025,Berkane,Wydad AC,28.02.2025 | Berkane | Wydad AC | 0 | 0
Round 23,28.02.2025,Olympique de Safi,FAR Rabat,28.02.2025 | Olympique de Safi | FAR Rabat | 1 | 1
Round 23,28.02.2025,FUS Rabat,Renaissance Zemamra,28.02.2025 | FUS Rabat | Renaissance Zemamra | 3 | 0
