round,date,team_home,team_away,full_text
Final,01.06.2025,Willem II,Telstar,01.06.2025 | Willem II | Telstar | Winner: Telstar | 1 | 3
Final,29.05.2025,Telstar,Willem II,29.05.2025 | Telstar | Willem II | 2 | 2
Final,25.05.2025,AZ Alkmaar,Winner: AZ Alkmaar,25.05.2025 | AZ Alkmaar | Winner: AZ Alkmaar | Twente | 3 | 2
Semi-finals,24.05.2025,Pen,Willem II,24.05.2025 | Pen | Willem II | Advancing to next round: Willem II | Dordrecht | 4 | 2 | 3 | 2
Semi-finals,23.05.2025,AET,Telstar,23.05.2025 | AET | Telstar | Advancing to next round: Telstar | Den Bosch | 2 | 1 | 1 | 1
Semi-finals,22.05.2025,AET,Twente,22.05.2025 | AET | Twente | Advancing to next round: Twente | Nijmegen | 3 | 2 | 2 | 2
Semi-finals,22.05.2025,AZ Alkmaar,Advancing to next round: AZ Alkmaar,22.05.2025 | AZ Alkmaar | Advancing to next round: AZ Alkmaar | Heerenveen | 4 | 1
Semi-finals,21.05.2025,Dordrecht,Willem II,21.05.2025 | Dordrecht | Willem II | 2 | 1
Semi-finals,20.05.2025,Den Bosch,Telstar,20.05.2025 | Den Bosch | Telstar | 0 | 0
Round 34,18.05.2025,Ajax,Twente,18.05.2025 | Ajax | Twente | 2 | 0
Round 34,18.05.2025,AZ Alkmaar,Almere City,18.05.2025 | AZ Alkmaar | Almere City | 1 | 1
Round 34,18.05.2025,Heerenveen,Feyenoord,18.05.2025 | Heerenveen | Feyenoord | 2 | 0
Round 34,18.05.2025,Heracles,Nijmegen,18.05.2025 | Heracles | Nijmegen | 1 | 2
Round 34,18.05.2025,NAC Breda,Willem II,18.05.2025 | NAC Breda | Willem II | 1 | 1
Round 34,18.05.2025,Sittard,Utrecht,18.05.2025 | Sittard | Utrecht | 0 | 0
Round 34,18.05.2025,Sparta Rotterdam,PSV,18.05.2025 | Sparta Rotterdam | PSV | 1 | 3
Round 34,18.05.2025,Waalwijk,G.A. Eagles,18.05.2025 | Waalwijk | G.A. Eagles | 5 | 3
Round 34,18.05.2025,Zwolle,Groningen,18.05.2025 | Zwolle | Groningen | 2 | 0
Quarter-finals,17.05.2025,Dordrecht,Advancing to next round: Dordrecht,17.05.2025 | Dordrecht | Advancing to next round: Dordrecht | De Graafschap | 2 | 0
Quarter-finals,17.05.2025,Den Haag,Telstar,17.05.2025 | Den Haag | Telstar | Advancing to next round: Telstar | 0 | 1
Quarter-finals,16.05.2025,AET,Cambuur,16.05.2025 | AET | Cambuur | Den Bosch | Advancing to next round: Den Bosch | 1 | 1 | 1 | 0
Round 33,14.05.2025,Almere City,Sittard,14.05.2025 | Almere City | Sittard | 1 | 1
Round 33,14.05.2025,Feyenoord,Waalwijk,14.05.2025 | Feyenoord | Waalwijk | 2 | 0
Round 33,14.05.2025,G.A. Eagles,Heerenveen,14.05.2025 | G.A. Eagles | Heerenveen | 1 | 0
Round 33,14.05.2025,Groningen,Ajax,14.05.2025 | Groningen | Ajax | 2 | 2
Round 33,14.05.2025,Nijmegen,NAC Breda,14.05.2025 | Nijmegen | NAC Breda | 3 | 0
Round 33,14.05.2025,PSV,Heracles,14.05.2025 | PSV | Heracles | 4 | 1
Round 33,14.05.2025,Twente,AZ Alkmaar,14.05.2025 | Twente | AZ Alkmaar | 2 | 3
Round 33,14.05.2025,Utrecht,Sparta Rotterdam,14.05.2025 | Utrecht | Sparta Rotterdam | 1 | 1
Round 33,14.05.2025,Willem II,Zwolle,14.05.2025 | Willem II | Zwolle | 1 | 2
Quarter-finals,13.05.2025,De Graafschap,Dordrecht,13.05.2025 | De Graafschap | Dordrecht | 0 | 0
Quarter-finals,13.05.2025,Telstar,Den Haag,13.05.2025 | Telstar | Den Haag | 2 | 0
Quarter-finals,12.05.2025,Den Bosch,Cambuur,12.05.2025 | Den Bosch | Cambuur | 1 | 0
Round 32,11.05.2025,Ajax,Nijmegen,11.05.2025 | Ajax | Nijmegen | 0 | 3
Round 32,11.05.2025,AZ Alkmaar,Groningen,11.05.2025 | AZ Alkmaar | Groningen | 3 | 0
Round 32,11.05.2025,Feyenoord,PSV,11.05.2025 | Feyenoord | PSV | 2 | 3
Round 32,11.05.2025,Twente,Utrecht,11.05.2025 | Twente | Utrecht | 2 | 0
Round 32,11.05.2025,Zwolle,G.A. Eagles,11.05.2025 | Zwolle | G.A. Eagles | 1 | 1
Round 32,10.05.2025,Almere City,Sparta Rotterdam,10.05.2025 | Almere City | Sparta Rotterdam | 0 | 3
Round 32,10.05.2025,Sittard,NAC Breda,10.05.2025 | Sittard | NAC Breda | 1 | 0
Round 32,10.05.2025,Waalwijk,Heerenveen,10.05.2025 | Waalwijk | Heerenveen | 3 | 1
Round 32,09.05.2025,Willem II,Heracles,09.05.2025 | Willem II | Heracles | 1 | 2
Round 31,04.05.2025,G.A. Eagles,AZ Alkmaar,04.05.2025 | G.A. Eagles | AZ Alkmaar | 0 | 3
Round 31,04.05.2025,Sparta Rotterdam,Twente,04.05.2025 | Sparta Rotterdam | Twente | 0 | 2
Round 31,04.05.2025,NAC Breda,Zwolle,04.05.2025 | NAC Breda | Zwolle | 1 | 3
Round 31,03.05.2025,PSV,Sittard,03.05.2025 | PSV | Sittard | 4 | 1
Round 31,03.05.2025,Groningen,Waalwijk,03.05.2025 | Groningen | Waalwijk | 6 | 1
Round 31,03.05.2025,Heracles,Feyenoord,03.05.2025 | Heracles | Feyenoord | 1 | 4
Round 31,03.05.2025,Nijmegen,Willem II,03.05.2025 | Nijmegen | Willem II | 1 | 1
Round 30,27.04.2025,Almere City,G.A. Eagles,27.04.2025 | Almere City | G.A. Eagles | 0 | 0
Round 30,27.04.2025,Ajax,Sparta Rotterdam,27.04.2025 | Ajax | Sparta Rotterdam | 1 | 1
Round 30,27.04.2025,Heerenveen,Nijmegen,27.04.2025 | Heerenveen | Nijmegen | 1 | 0
Round 30,27.04.2025,Sittard,Willem II,27.04.2025 | Sittard | Willem II | 1 | 0
Round 30,25.04.2025,Feyenoord,Zwolle,25.04.2025 | Feyenoord | Zwolle | 4 | 0
Round 30,25.04.2025,Waalwijk,Utrecht,25.04.2025 | Waalwijk | Utrecht | 0 | 4
Round 30,24.04.2025,Twente,PSV,24.04.2025 | Twente | PSV | 1 | 3
Round 30,24.04.2025,AZ Alkmaar,NAC Breda,24.04.2025 | AZ Alkmaar | NAC Breda | 1 | 1
Round 30,23.04.2025,Groningen,Heracles,23.04.2025 | Groningen | Heracles | 4 | 1
Round 31,20.04.2025,Utrecht,Ajax,20.04.2025 | Utrecht | Ajax | 4 | 0
Round 31,19.04.2025,Heerenveen,Almere City,19.04.2025 | Heerenveen | Almere City | 2 | 1
Round 29,13.04.2025,Willem II,Ajax,13.04.2025 | Willem II | Ajax | 1 | 2
Round 29,13.04.2025,Heracles,AZ Alkmaar,13.04.2025 | Heracles | AZ Alkmaar | 1 | 0
Round 29,13.04.2025,Zwolle,Twente,13.04.2025 | Zwolle | Twente | 1 | 1
Round 29,13.04.2025,Utrecht,Groningen,13.04.2025 | Utrecht | Groningen | 3 | 1
Round 29,12.04.2025,NAC Breda,G.A. Eagles,12.04.2025 | NAC Breda | G.A. Eagles | 1 | 1
Round 29,12.04.2025,PSV,Almere City,12.04.2025 | PSV | Almere City | 5 | 0
Round 29,12.04.2025,Sparta Rotterdam,Heerenveen,12.04.2025 | Sparta Rotterdam | Heerenveen | 3 | 1
Round 29,12.04.2025,Sittard,Feyenoord,12.04.2025 | Sittard | Feyenoord | 0 | 2
Round 29,11.04.2025,Nijmegen,Waalwijk,11.04.2025 | Nijmegen | Waalwijk | 2 | 1
Round 28,06.04.2025,Ajax,NAC Breda,06.04.2025 | Ajax | NAC Breda | 3 | 1
Round 28,06.04.2025,G.A. Eagles,Utrecht,06.04.2025 | G.A. Eagles | Utrecht | 2 | 2
Round 28,06.04.2025,Sparta Rotterdam,Nijmegen,06.04.2025 | Sparta Rotterdam | Nijmegen | 2 | 0
Round 28,06.04.2025,Waalwijk,Heracles,06.04.2025 | Waalwijk | Heracles | 0 | 0
Round 28,05.04.2025,Almere City,Zwolle,05.04.2025 | Almere City | Zwolle | 2 | 2
Round 28,05.04.2025,Groningen,PSV,05.04.2025 | Groningen | PSV | 1 | 3
Round 28,05.04.2025,Twente,Sittard,05.04.2025 | Twente | Sittard | 1 | 1
Round 28,05.04.2025,AZ Alkmaar,Feyenoord,05.04.2025 | AZ Alkmaar | Feyenoord | 0 | 1
Round 28,04.04.2025,Heerenveen,Willem II,04.04.2025 | Heerenveen | Willem II | 3 | 1
Round 25,02.04.2025,Feyenoord,Groningen,02.04.2025 | Feyenoord | Groningen | 4 | 1
Round 25,01.04.2025,AZ Alkmaar,Waalwijk,01.04.2025 | AZ Alkmaar | Waalwijk | 2 | 2
Round 27,30.03.2025,Feyenoord,G.A. Eagles,30.03.2025 | Feyenoord | G.A. Eagles | 3 | 2
Round 27,30.03.2025,Heracles,Twente,30.03.2025 | Heracles | Twente | 2 | 1
Round 27,30.03.2025,PSV,Ajax,30.03.2025 | PSV | Ajax | 0 | 2
Round 27,30.03.2025,Utrecht,Heerenveen,30.03.2025 | Utrecht | Heerenveen | 2 | 0
Round 27,29.03.2025,Nijmegen,AZ Alkmaar,29.03.2025 | Nijmegen | AZ Alkmaar | 3 | 3
Round 27,29.03.2025,Zwolle,Waalwijk,29.03.2025 | Zwolle | Waalwijk | 2 | 0
Round 27,29.03.2025,Sittard,Sparta Rotterdam,29.03.2025 | Sittard | Sparta Rotterdam | 0 | 3
Round 27,29.03.2025,Willem II,Almere City,29.03.2025 | Willem II | Almere City | 0 | 2
Round 27,29.03.2025,NAC Breda,Groningen,29.03.2025 | NAC Breda | Groningen | 1 | 1
Round 26,16.03.2025,Ajax,AZ Alkmaar,16.03.2025 | Ajax | AZ Alkmaar | 2 | 2
Round 26,16.03.2025,Groningen,Sittard,16.03.2025 | Groningen | Sittard | 1 | 0
Round 26,16.03.2025,Twente,Feyenoord,16.03.2025 | Twente | Feyenoord | 2 | 6
Round 26,16.03.2025,G.A. Eagles,Willem II,16.03.2025 | G.A. Eagles | Willem II | 1 | 0
Round 26,15.03.2025,Heerenveen,Heracles,15.03.2025 | Heerenveen | Heracles | 1 | 1
Round 26,15.03.2025,Waalwijk,PSV,15.03.2025 | Waalwijk | PSV | 0 | 3
Round 26,15.03.2025,Sparta Rotterdam,Zwolle,15.03.2025 | Sparta Rotterdam | Zwolle | 1 | 1
Round 26,15.03.2025,Utrecht,Nijmegen,15.03.2025 | Utrecht | Nijmegen | 0 | 1
Round 26,14.03.2025,Almere City,NAC Breda,14.03.2025 | Almere City | NAC Breda | 1 | 1
Round 25,09.03.2025,Twente,Almere City,09.03.2025 | Twente | Almere City | 1 | 0
Round 25,09.03.2025,Nijmegen,G.A. Eagles,09.03.2025 | Nijmegen | G.A. Eagles | 2 | 3
Round 25,09.03.2025,Zwolle,Ajax,09.03.2025 | Zwolle | Ajax | 0 | 1
Round 25,09.03.2025,Willem II,Utrecht,09.03.2025 | Willem II | Utrecht | 2 | 3
Round 25,08.03.2025,PSV,Heerenveen,08.03.2025 | PSV | Heerenveen | 2 | 1
Round 25,08.03.2025,Sittard,Heracles,08.03.2025 | Sittard | Heracles | 1 | 0
Round 25,07.03.2025,NAC Breda,Sparta Rotterdam,07.03.2025 | NAC Breda | Sparta Rotterdam | 1 | 1
Round 24,02.03.2025,Sparta Rotterdam,Willem II,02.03.2025 | Sparta Rotterdam | Willem II | 4 | 0
Round 24,02.03.2025,Almere City,Ajax,02.03.2025 | Almere City | Ajax | 0 | 1
Round 24,02.03.2025,Heracles,Zwolle,02.03.2025 | Heracles | Zwolle | 4 | 2
Round 24,02.03.2025,Heerenveen,AZ Alkmaar,02.03.2025 | Heerenveen | AZ Alkmaar | 3 | 1
Round 24,01.03.2025,Feyenoord,Nijmegen,01.03.2025 | Feyenoord | Nijmegen | 0 | 0
Round 24,01.03.2025,Groningen,Twente,01.03.2025 | Groningen | Twente | 1 | 1
Round 24,01.03.2025,G.A. Eagles,PSV,01.03.2025 | G.A. Eagles | PSV | 3 | 2
Round 24,01.03.2025,Utrecht,NAC Breda,01.03.2025 | Utrecht | NAC Breda | 1 | 0
Round 24,28.02.2025,Waalwijk,Sittard,28.02.2025 | Waalwijk | Sittard | 1 | 2
Round 23,23.02.2025,AZ Alkmaar,Sittard,23.02.2025 | AZ Alkmaar | Sittard | 1 | 0
Round 20,23.02.2025,Ajax,G.A. Eagles,23.02.2025 | Ajax | G.A. Eagles | 2 | 0
Round 20,23.02.2025,Twente,Nijmegen,23.02.2025 | Twente | Nijmegen | 2 | 0
Round 20,22.02.2025,Feyenoord,Almere City,22.02.2025 | Feyenoord | Almere City | 2 | 1
Round 23,16.02.2025,Ajax,Heracles,16.02.2025 | Ajax | Heracles | 4 | 0
Round 23,16.02.2025,Twente,Waalwijk,16.02.2025 | Twente | Waalwijk | 2 | 0
Round 23,16.02.2025,Zwolle,Heerenveen,16.02.2025 | Zwolle | Heerenveen | 1 | 1
Round 23,16.02.2025,Nijmegen,Almere City,16.02.2025 | Nijmegen | Almere City | 2 | 2
Round 23,15.02.2025,Willem II,Groningen,15.02.2025 | Willem II | Groningen | 1 | 3
Round 23,15.02.2025,NAC Breda,Feyenoord,15.02.2025 | NAC Breda | Feyenoord | 0 | 0
Round 23,15.02.2025,PSV,Utrecht,15.02.2025 | PSV | Utrecht | 2 | 2
Round 23,14.02.2025,G.A. Eagles,Sparta Rotterdam,14.02.2025 | G.A. Eagles | Sparta Rotterdam | 1 | 0
Round 22,09.02.2025,AZ Alkmaar,Zwolle,09.02.2025 | AZ Alkmaar | Zwolle | 2 | 0
Round 22,09.02.2025,Heerenveen,Twente,09.02.2025 | Heerenveen | Twente | 3 | 3
Round 22,09.02.2025,Sittard,Ajax,09.02.2025 | Sittard | Ajax | 0 | 2
Round 22,09.02.2025,Waalwijk,NAC Breda,09.02.2025 | Waalwijk | NAC Breda | 5 | 0
Round 22,09.02.2025,Utrecht,Almere City,09.02.2025 | Utrecht | Almere City | 0 | 1
Round 22,08.02.2025,Feyenoord,Sparta Rotterdam,08.02.2025 | Feyenoord | Sparta Rotterdam | 3 | 0
Round 22,08.02.2025,Groningen,Nijmegen,08.02.2025 | Groningen | Nijmegen | 2 | 1
Round 22,08.02.2025,PSV,Willem II,08.02.2025 | PSV | Willem II | 1 | 1
Round 22,08.02.2025,Heracles,G.A. Eagles,08.02.2025 | Heracles | G.A. Eagles | 4 | 2
Round 21,02.02.2025,Willem II,AZ Alkmaar,02.02.2025 | Willem II | AZ Alkmaar | 0 | 2
Round 21,02.02.2025,Sparta Rotterdam,Groningen,02.02.2025 | Sparta Rotterdam | Groningen | 1 | 0
Round 21,02.02.2025,Ajax,Feyenoord,02.02.2025 | Ajax | Feyenoord | 2 | 1
Round 21,02.02.2025,G.A. Eagles,Twente,02.02.2025 | G.A. Eagles | Twente | 2 | 2
Round 21,02.02.2025,Almere City,Waalwijk,02.02.2025 | Almere City | Waalwijk | 1 | 4
Round 21,01.02.2025,Nijmegen,PSV,01.02.2025 | Nijmegen | PSV | 3 | 3
Round 21,01.02.2025,Heerenveen,Sittard,01.02.2025 | Heerenveen | Sittard | 2 | 2
Round 21,01.02.2025,Zwolle,Utrecht,01.02.2025 | Zwolle | Utrecht | 3 | 3
Round 21,31.01.2025,NAC Breda,Heracles,31.01.2025 | NAC Breda | Heracles | 1 | 1
Round 17,28.01.2025,Heracles,Groningen,28.01.2025 | Heracles | Groningen | 1 | 1
Round 20,26.01.2025,AZ Alkmaar,Sparta Rotterdam,26.01.2025 | AZ Alkmaar | Sparta Rotterdam | 1 | 2
Round 20,26.01.2025,Waalwijk,Willem II,26.01.2025 | Waalwijk | Willem II | 2 | 0
Round 20,26.01.2025,Sittard,Zwolle,26.01.2025 | Sittard | Zwolle | 1 | 4
Round 20,25.01.2025,Groningen,Heerenveen,25.01.2025 | Groningen | Heerenveen | 1 | 0
Round 20,25.01.2025,PSV,NAC Breda,25.01.2025 | PSV | NAC Breda | 3 | 2
Round 20,24.01.2025,Heracles,Utrecht,24.01.2025 | Heracles | Utrecht | 1 | 1
Round 19,19.01.2025,Sparta Rotterdam,Waalwijk,19.01.2025 | Sparta Rotterdam | Waalwijk | 1 | 1
Round 19,19.01.2025,Nijmegen,Sittard,19.01.2025 | Nijmegen | Sittard | 4 | 1
Round 19,19.01.2025,Almere City,Heracles,19.01.2025 | Almere City | Heracles | 0 | 2
Round 19,19.01.2025,Heerenveen,Ajax,19.01.2025 | Heerenveen | Ajax | 0 | 2
Round 19,19.01.2025,NAC Breda,Twente,19.01.2025 | NAC Breda | Twente | 2 | 1
Round 19,18.01.2025,G.A. Eagles,Groningen,18.01.2025 | G.A. Eagles | Groningen | 2 | 1
Round 19,18.01.2025,Willem II,Feyenoord,18.01.2025 | Willem II | Feyenoord | 1 | 1
Round 19,18.01.2025,Utrecht,AZ Alkmaar,18.01.2025 | Utrecht | AZ Alkmaar | 0 | 0
Round 19,18.01.2025,Zwolle,PSV,18.01.2025 | Zwolle | PSV | 3 | 1
Round 18,12.01.2025,NAC Breda,Heerenveen,12.01.2025 | NAC Breda | Heerenveen | 2 | 4
Round 18,12.01.2025,Feyenoord,Utrecht,12.01.2025 | Feyenoord | Utrecht | 1 | 2
Round 18,12.01.2025,Groningen,Almere City,12.01.2025 | Groningen | Almere City | 0 | 0
Round 18,12.01.2025,Twente,Willem II,12.01.2025 | Twente | Willem II | 6 | 2
