round,date,team_home,team_away,full_text
Round 38,25.05.2025,Bayelsa United,Remo Stars,25.05.2025 | Bayelsa United | Remo Stars | 3 | 0
Round 38,25.05.2025,El Kanemi,Sunshine Stars,25.05.2025 | El Kanemi | Sunshine Stars | 1 | 0
Round 38,25.05.2025,Enyimba,Plateau United,25.05.2025 | Enyimba | Plateau United | 0 | 1
Round 38,25.05.2025,Heartland,Akwa United,25.05.2025 | Heartland | Akwa United | 2 | 1
Round 38,25.05.2025,Ikorodu City,Abia Warriors,25.05.2025 | Ikorodu City | Abia Warriors | 3 | 2
Round 38,25.05.2025,Katsina Utd,Kwara,25.05.2025 | Katsina Utd | Kwara | 1 | 0
Round 38,25.05.2025,Lobi Stars,Bendel,25.05.2025 | Lobi Stars | Bendel | 2 | 1
Round 38,25.05.2025,Niger Tornadoes,Kano Pillars,25.05.2025 | Niger Tornadoes | Kano Pillars | 3 | 2
Round 38,25.05.2025,Rivers United,Nasarawa,25.05.2025 | Rivers United | Nasarawa | 2 | 1
Round 38,25.05.2025,Shooting,Rangers Int'l,25.05.2025 | Shooting | Rangers Int'l | 5 | 1
Round 37,11.05.2025,Abia Warriors,El Kanemi,11.05.2025 | Abia Warriors | El Kanemi | 2 | 1
Round 37,11.05.2025,Akwa United,Bayelsa United,11.05.2025 | Akwa United | Bayelsa United | 2 | 0
Round 37,11.05.2025,Bendel,Heartland,11.05.2025 | Bendel | Heartland | 1 | 0
Round 37,11.05.2025,Kano Pillars,Shooting,11.05.2025 | Kano Pillars | Shooting | 3 | 1
Round 37,11.05.2025,Kwara,Rivers United,11.05.2025 | Kwara | Rivers United | 3 | 1
Round 37,11.05.2025,Nasarawa,Enyimba,11.05.2025 | Nasarawa | Enyimba | 3 | 2
Round 37,11.05.2025,Plateau United,Lobi Stars,11.05.2025 | Plateau United | Lobi Stars | 2 | 1
Round 37,11.05.2025,Rangers Int'l,Katsina Utd,11.05.2025 | Rangers Int'l | Katsina Utd | 4 | 0
Round 37,11.05.2025,Remo Stars,Ikorodu City,11.05.2025 | Remo Stars | Ikorodu City | 4 | 1
Round 37,11.05.2025,Sunshine Stars,Niger Tornadoes,11.05.2025 | Sunshine Stars | Niger Tornadoes | 1 | 2
Round 36,07.05.2025,Ikorodu City,Bayelsa United,07.05.2025 | Ikorodu City | Bayelsa United | 3 | 2
Round 36,07.05.2025,Bendel,Akwa United,07.05.2025 | Bendel | Akwa United | 1 | 0
Round 36,07.05.2025,Enyimba,Kwara,07.05.2025 | Enyimba | Kwara | 2 | 0
Round 36,07.05.2025,Heartland,Plateau United,07.05.2025 | Heartland | Plateau United | 2 | 0
Round 36,07.05.2025,Katsina Utd,Kano Pillars,07.05.2025 | Katsina Utd | Kano Pillars | 1 | 0
Round 36,07.05.2025,Niger Tornadoes,Abia Warriors,07.05.2025 | Niger Tornadoes | Abia Warriors | 1 | 1
Round 36,07.05.2025,Rivers United,Rangers Int'l,07.05.2025 | Rivers United | Rangers Int'l | 1 | 0
Round 36,07.05.2025,Shooting,Sunshine Stars,07.05.2025 | Shooting | Sunshine Stars | 1 | 0
Round 36,07.05.2025,El Kanemi,Remo Stars,07.05.2025 | El Kanemi | Remo Stars | 2 | 0
Round 36,07.05.2025,Lobi Stars,Nasarawa,07.05.2025 | Lobi Stars | Nasarawa | 1 | 2
Round 35,27.04.2025,Remo Stars,Niger Tornadoes,27.04.2025 | Remo Stars | Niger Tornadoes | 1 | 0
Round 35,27.04.2025,Abia Warriors,Shooting,27.04.2025 | Abia Warriors | Shooting | 3 | 1
Round 35,27.04.2025,Akwa United,Ikorodu City,27.04.2025 | Akwa United | Ikorodu City | 2 | 1
Round 35,27.04.2025,Bayelsa United,El Kanemi,27.04.2025 | Bayelsa United | El Kanemi | 2 | 1
Round 35,27.04.2025,Kwara,Lobi Stars,27.04.2025 | Kwara | Lobi Stars | 4 | 0
Round 35,27.04.2025,Plateau United,Bendel,27.04.2025 | Plateau United | Bendel | 2 | 1
Round 35,27.04.2025,Rangers Int'l,Enyimba,27.04.2025 | Rangers Int'l | Enyimba | 1 | 2
Round 35,27.04.2025,Sunshine Stars,Katsina Utd,27.04.2025 | Sunshine Stars | Katsina Utd | 2 | 0
Round 35,27.04.2025,Nasarawa,Heartland,27.04.2025 | Nasarawa | Heartland | 1 | 0
Round 35,25.04.2025,Kano Pillars,Rivers United,25.04.2025 | Kano Pillars | Rivers United | 2 | 0
Round 34,20.04.2025,Bendel,Nasarawa,20.04.2025 | Bendel | Nasarawa | 1 | 1
Round 34,20.04.2025,Heartland,Kwara,20.04.2025 | Heartland | Kwara | 0 | 0
Round 34,20.04.2025,Plateau United,Akwa United,20.04.2025 | Plateau United | Akwa United | 1 | 0
Round 34,20.04.2025,Rivers United,Sunshine Stars,20.04.2025 | Rivers United | Sunshine Stars | 1 | 0
Round 34,20.04.2025,Shooting,Remo Stars,20.04.2025 | Shooting | Remo Stars | 0 | 1
Round 34,20.04.2025,El Kanemi,Ikorodu City,20.04.2025 | El Kanemi | Ikorodu City | 1 | 1
Round 34,20.04.2025,Niger Tornadoes,Bayelsa United,20.04.2025 | Niger Tornadoes | Bayelsa United | 1 | 1
Round 34,19.04.2025,Enyimba,Kano Pillars,19.04.2025 | Enyimba | Kano Pillars | 2 | 1
Round 34,19.04.2025,Lobi Stars,Rangers Int'l,19.04.2025 | Lobi Stars | Rangers Int'l | 2 | 4
Round 34,19.04.2025,Katsina Utd,Abia Warriors,19.04.2025 | Katsina Utd | Abia Warriors | 5 | 1
Round 33,13.04.2025,Ikorodu City,Niger Tornadoes,13.04.2025 | Ikorodu City | Niger Tornadoes | 3 | 0
Round 33,13.04.2025,Kwara,Bendel,13.04.2025 | Kwara | Bendel | 0 | 1
Round 33,13.04.2025,Abia Warriors,Rivers United,13.04.2025 | Abia Warriors | Rivers United | 2 | 0
Round 33,13.04.2025,Akwa United,El Kanemi,13.04.2025 | Akwa United | El Kanemi | 1 | 1
Round 33,13.04.2025,Kano Pillars,Lobi Stars,13.04.2025 | Kano Pillars | Lobi Stars | 2 | 0
Round 33,13.04.2025,Nasarawa,Plateau United,13.04.2025 | Nasarawa | Plateau United | 3 | 2
Round 33,13.04.2025,Remo Stars,Katsina Utd,13.04.2025 | Remo Stars | Katsina Utd | 0 | 0
Round 33,13.04.2025,Sunshine Stars,Enyimba,13.04.2025 | Sunshine Stars | Enyimba | 2 | 1
