round,date,team_home,team_away,full_text
Final,11.05.2025,Coleraine,Cliftonville,11.05.2025 | Coleraine | Cliftonville | Winner: Cliftonville | 0 | 2
Semi-finals,07.05.2025,Coleraine,Advancing to next round: Coleraine,07.05.2025 | Coleraine | Advancing to next round: Coleraine | Crusaders | 1 | 0
Semi-finals,07.05.2025,Glentoran,Cliftonville,07.05.2025 | Glentoran | Cliftonville | Advancing to next round: Cliftonville | 0 | 2
Final,02.05.2025,Carrick Rangers,Winner: Carrick Rangers,02.05.2025 | Carrick Rangers | Winner: Carrick Rangers | Annagh | 3 | 1
Final,29.04.2025,Annagh,Carrick Rangers,29.04.2025 | Annagh | Carrick Rangers | 2 | 5
Final,26.04.2025,Loughgall,Cliftonville,26.04.2025 | Loughgall | Cliftonville | 1 | 4
Final,26.04.2025,Portadown,Ballymena,26.04.2025 | Portadown | Ballymena | 2 | 1
Final,26.04.2025,Carrick Rangers,Glenavon,26.04.2025 | Carrick Rangers | Glenavon | 0 | 4
Final,19.04.2025,Glenavon,Ballymena,19.04.2025 | Glenavon | Ballymena | 2 | 0
Final,19.04.2025,Loughgall,Carrick Rangers,19.04.2025 | Loughgall | Carrick Rangers | 2 | 2
Final,19.04.2025,Portadown,Cliftonville,19.04.2025 | Portadown | Cliftonville | 2 | 0
Final,26.04.2025,Coleraine,Linfield,26.04.2025 | Coleraine | Linfield | 1 | 0
Final,26.04.2025,Dungannon,Crusaders,26.04.2025 | Dungannon | Crusaders | 1 | 0
Final,26.04.2025,Larne,Glentoran,26.04.2025 | Larne | Glentoran | 2 | 0 | 0
Final,19.04.2025,Crusaders,Coleraine,19.04.2025 | Crusaders | Coleraine | 3 | 0
Final,19.04.2025,Dungannon,Glentoran,19.04.2025 | Dungannon | Glentoran | 3 | 2
Final,18.04.2025,Larne,Linfield,18.04.2025 | Larne | Linfield | 2 | 1
Final,12.04.2025,Coleraine,Larne,12.04.2025 | Coleraine | Larne | 1 | 2
Final,12.04.2025,Crusaders,Glentoran,12.04.2025 | Crusaders | Glentoran | 0 | 4
Final,12.04.2025,Linfield,Dungannon,12.04.2025 | Linfield | Dungannon | 2 | 0
Final,12.04.2025,Ballymena,Carrick Rangers,12.04.2025 | Ballymena | Carrick Rangers | 1 | 1
Final,12.04.2025,Cliftonville,Glenavon,12.04.2025 | Cliftonville | Glenavon | 2 | 0
Final,12.04.2025,Portadown,Loughgall,12.04.2025 | Portadown | Loughgall | 3 | 1
Final,05.04.2025,Carrick Rangers,Portadown,05.04.2025 | Carrick Rangers | Portadown | 4 | 1
Final,05.04.2025,Cliftonville,Ballymena,05.04.2025 | Cliftonville | Ballymena | 5 | 0
Final,05.04.2025,Glenavon,Loughgall,05.04.2025 | Glenavon | Loughgall | 0 | 1
Final,05.04.2025,Coleraine,Dungannon,05.04.2025 | Coleraine | Dungannon | 3 | 2
Final,05.04.2025,Crusaders,Larne,05.04.2025 | Crusaders | Larne | 2 | 2
Final,05.04.2025,Linfield,Glentoran,05.04.2025 | Linfield | Glentoran | 2 | 1
Final,01.04.2025,Dungannon,Larne,01.04.2025 | Dungannon | Larne | 1 | 1
Final,01.04.2025,Glentoran,Coleraine,01.04.2025 | Glentoran | Coleraine | 2 | 1
Final,01.04.2025,Linfield,Crusaders,01.04.2025 | Linfield | Crusaders | 3 | 1
Final,01.04.2025,Ballymena,Loughgall,01.04.2025 | Ballymena | Loughgall | 5 | 2
Final,01.04.2025,Carrick Rangers,Cliftonville,01.04.2025 | Carrick Rangers | Cliftonville | 1 | 3
Final,01.04.2025,Portadown,Glenavon,01.04.2025 | Portadown | Glenavon | 1 | 1
Round 33,24.03.2025,Dungannon,Linfield,24.03.2025 | Dungannon | Linfield | 0 | 3
Round 33,22.03.2025,Cliftonville,Carrick Rangers,22.03.2025 | Cliftonville | Carrick Rangers | 3 | 0
Round 33,22.03.2025,Coleraine,Portadown,22.03.2025 | Coleraine | Portadown | 1 | 0
Round 33,22.03.2025,Glenavon,Larne,22.03.2025 | Glenavon | Larne | 0 | 1
Round 33,22.03.2025,Glentoran,Crusaders,22.03.2025 | Glentoran | Crusaders | 0 | 1
Round 33,22.03.2025,Loughgall,Ballymena,22.03.2025 | Loughgall | Ballymena | 2 | 1
Round 31,18.03.2025,Coleraine,Cliftonville,18.03.2025 | Coleraine | Cliftonville | 2 | 2
Round 26,18.03.2025,Glentoran,Larne,18.03.2025 | Glentoran | Larne | 2 | 2
Round 32,15.03.2025,Larne,Coleraine,15.03.2025 | Larne | Coleraine | 1 | 1
Round 32,15.03.2025,Portadown,Dungannon,15.03.2025 | Portadown | Dungannon | 1 | 1
Round 32,15.03.2025,Ballymena,Cliftonville,15.03.2025 | Ballymena | Cliftonville | 1 | 0
Round 32,15.03.2025,Carrick Rangers,Glentoran,15.03.2025 | Carrick Rangers | Glentoran | 0 | 0
Round 32,15.03.2025,Crusaders,Loughgall,15.03.2025 | Crusaders | Loughgall | 1 | 1
Round 32,15.03.2025,Linfield,Glenavon,15.03.2025 | Linfield | Glenavon | 2 | 0
Round 24,12.03.2025,Cliftonville,Dungannon,12.03.2025 | Cliftonville | Dungannon | 0 | 2
Round 31,12.03.2025,Glentoran,Glenavon,12.03.2025 | Glentoran | Glenavon | 3 | 3
Round 18,11.03.2025,Ballymena,Larne,11.03.2025 | Ballymena | Larne | 1 | 2
Round 31,08.03.2025,Portadown,Carrick Rangers,08.03.2025 | Portadown | Carrick Rangers | 1 | 0
Round 31,08.03.2025,Dungannon,Ballymena,08.03.2025 | Dungannon | Ballymena | 0 | 3
Round 25,08.03.2025,Glenavon,Coleraine,08.03.2025 | Glenavon | Coleraine | 0 | 1
Round 31,08.03.2025,Loughgall,Larne,08.03.2025 | Loughgall | Larne | 0 | 1
Round 31,07.03.2025,Crusaders,Linfield,07.03.2025 | Crusaders | Linfield | 0 | 2
Round 12,04.03.2025,Carrick Rangers,Larne,04.03.2025 | Carrick Rangers | Larne | 1 | 0
Round 20,04.03.2025,Glentoran,Ballymena,04.03.2025 | Glentoran | Ballymena | 1 | 0
Round 28,04.03.2025,Loughgall,Glenavon,04.03.2025 | Loughgall | Glenavon | 0 | 2
Round 20,01.03.2025,Coleraine,Portadown,01.03.2025 | Coleraine | Portadown | 2 | 0
Round 20,26.02.2025,Loughgall,Larne,26.02.2025 | Loughgall | Larne | 1 | 4
Round 30,22.02.2025,Ballymena,Portadown,22.02.2025 | Ballymena | Portadown | 2 | 0
Round 30,22.02.2025,Carrick Rangers,Loughgall,22.02.2025 | Carrick Rangers | Loughgall | 0 | 0
Round 30,22.02.2025,Glenavon,Crusaders,22.02.2025 | Glenavon | Crusaders | 0 | 1
Round 30,22.02.2025,Larne,Dungannon,22.02.2025 | Larne | Dungannon | 0 | 1
Round 30,22.02.2025,Linfield,Coleraine,22.02.2025 | Linfield | Coleraine | 0 | 2
Round 30,21.02.2025,Cliftonville,Glentoran,21.02.2025 | Cliftonville | Glentoran | 2 | 0
Round 25,18.02.2025,Ballymena,Glentoran,18.02.2025 | Ballymena | Glentoran | 1 | 1
Round 21,18.02.2025,Larne,Glenavon,18.02.2025 | Larne | Glenavon | 1 | 1
