round,date,team_home,team_away,full_text
Final,30.11.2025,Plaza Amador,Winner: Plaza Amador,30.11.2025 | Plaza Amador | Winner: Plaza Amador | Alianza | 2 | 0
Semi-finals,23.11.2025,Plaza Amador,Advancing to next round: Plaza Amador,23.11.2025 | Plaza Amador | Advancing to next round: Plaza Amador | Independiente | 4 | 0
Semi-finals,22.11.2025,San Francisco,Alianza,22.11.2025 | San Francisco | Alianza | Advancing to next round: Alianza | 1 | 2
Semi-finals,17.11.2025,Alianza,San Francisco,17.11.2025 | Alianza | San Francisco | 1 | 1
Semi-finals,16.11.2025,Independiente,Plaza Amador,16.11.2025 | Independiente | Plaza Amador | 2 | 2
Quarter-finals,13.11.2025,Pen,Alianza,13.11.2025 | Pen | Alianza | Advancing to next round: Alianza | Deportivo Universitario | 3 | 2 | 1 | 1
Quarter-finals,12.11.2025,AET,Independiente,12.11.2025 | AET | Independiente | Advancing to next round: Independiente | Miguelito | 2 | 1 | 1 | 1
Round 16,09.11.2025,Arabe Unido,Tauro,09.11.2025 | Arabe Unido | Tauro | 4 | 1
Round 16,09.11.2025,Miguelito,Plaza Amador,09.11.2025 | Miguelito | Plaza Amador | 1 | 1
Round 16,09.11.2025,UMECIT,Alianza,09.11.2025 | UMECIT | Alianza | 1 | 3
Round 16,08.11.2025,Atl. Nacional,Independiente,08.11.2025 | Atl. Nacional | Independiente | 0 | 2
Round 16,08.11.2025,Deportivo Universitario,Herrera,08.11.2025 | Deportivo Universitario | Herrera | 1 | 1
Round 16,08.11.2025,San Francisco,Veraguas,08.11.2025 | San Francisco | Veraguas | 3 | 0
Round 15,02.11.2025,Alianza,Arabe Unido,02.11.2025 | Alianza | Arabe Unido | 2 | 1 | 2
Round 15,02.11.2025,Plaza Amador,UMECIT,02.11.2025 | Plaza Amador | UMECIT | 1 | 0
Round 15,02.11.2025,Tauro,Miguelito,02.11.2025 | Tauro | Miguelito | 0 | 1
Round 15,31.10.2025,Herrera,Atl. Nacional,31.10.2025 | Herrera | 2 | Atl. Nacional | 0 | 1
Round 15,31.10.2025,Independiente,San Francisco,31.10.2025 | Independiente | San Francisco | 0 | 0
Round 15,31.10.2025,Veraguas,Deportivo Universitario,31.10.2025 | Veraguas | Deportivo Universitario | 2 | 1
Round 14,28.10.2025,UMECIT,Tauro,28.10.2025 | UMECIT | Tauro | 3 | 2
Round 14,27.10.2025,Independiente,Veraguas,27.10.2025 | Independiente | Veraguas | 3 | 0
Round 14,26.10.2025,Atl. Nacional,Deportivo Universitario,26.10.2025 | Atl. Nacional | Deportivo Universitario | 2 | 0
Round 14,26.10.2025,Plaza Amador,Alianza,26.10.2025 | Plaza Amador | Alianza | 0 | 1
Round 14,26.10.2025,Miguelito,Arabe Unido,26.10.2025 | Miguelito | Arabe Unido | 0 | 0
Round 14,25.10.2025,San Francisco,Herrera,25.10.2025 | San Francisco | Herrera | 1 | 0
Round 13,21.10.2025,Veraguas,Atl. Nacional,21.10.2025 | Veraguas | 2 | Atl. Nacional | 2 | 3
Round 13,19.10.2025,Miguelito,Alianza,19.10.2025 | Miguelito | Alianza | 2 | 1
Round 13,19.10.2025,Arabe Unido,UMECIT,19.10.2025 | Arabe Unido | UMECIT | 1 | 1
Round 13,19.10.2025,Deportivo Universitario,San Francisco,19.10.2025 | Deportivo Universitario | San Francisco | 0 | 0
Round 13,18.10.2025,Herrera,Independiente,18.10.2025 | Herrera | Independiente | 0 | 2
Round 13,18.10.2025,Tauro,Plaza Amador,18.10.2025 | Tauro | Plaza Amador | 2 | 3
Round 12,14.10.2025,UMECIT,Miguelito,14.10.2025 | UMECIT | Miguelito | 3 | 3
Round 12,13.10.2025,San Francisco,Atl. Nacional,13.10.2025 | San Francisco | Atl. Nacional | 2 | 2
Round 12,12.10.2025,Herrera,Veraguas,12.10.2025 | Herrera | Veraguas | 0 | 2
