round,date,team_home,team_away,full_text
Round 34,24.05.2025,Gornik Zabrze,Korona Kielce,24.05.2025 | Gornik Zabrze | Korona Kielce | 1 | 1
Round 34,24.05.2025,Jagiellonia,Pogon Szczecin,24.05.2025 | Jagiellonia | Pogon Szczecin | 1 | 1
Round 34,24.05.2025,Lech Poznan,Piast Gliwice,24.05.2025 | Lech Poznan | Piast Gliwice | 1 | 0
Round 34,24.05.2025,Lechia Gdansk,GKS Katowice,24.05.2025 | Lechia Gdansk | GKS Katowice | 2 | 3
Round 34,24.05.2025,Legia,Stal Mielec,24.05.2025 | Legia | Stal Mielec | 2 | 2
Round 34,24.05.2025,Puszcza,Slask Wroclaw,24.05.2025 | Puszcza | Slask Wroclaw | 1 | 1
Round 34,24.05.2025,Radomiak Radom,Motor Lublin,24.05.2025 | Radomiak Radom | Motor Lublin | 2 | 3
Round 34,24.05.2025,Rakow,Widzew Lodz,24.05.2025 | Rakow | Widzew Lodz | 2 | 1
Round 34,24.05.2025,Zaglebie,Cracovia,24.05.2025 | Zaglebie | Cracovia | 1 | 2
Round 33,19.05.2025,Widzew Lodz,Puszcza,19.05.2025 | Widzew Lodz | Puszcza | 2 | 0
Round 33,18.05.2025,GKS Katowice,Lech Poznan,18.05.2025 | GKS Katowice | Lech Poznan | 2 | 2
Round 33,18.05.2025,Cracovia,Legia,18.05.2025 | Cracovia | Legia | 3 | 1
Round 33,18.05.2025,Motor Lublin,Zaglebie,18.05.2025 | Motor Lublin | Zaglebie | 1 | 0
Round 33,17.05.2025,Korona Kielce,Rakow,17.05.2025 | Korona Kielce | Rakow | 1 | 1
Round 33,17.05.2025,Piast Gliwice,Gornik Zabrze,17.05.2025 | Piast Gliwice | Gornik Zabrze | 2 | 0
Round 33,17.05.2025,Pogon Szczecin,Lechia Gdansk,17.05.2025 | Pogon Szczecin | Lechia Gdansk | 3 | 3
Round 33,16.05.2025,Slask Wroclaw,Jagiellonia,16.05.2025 | Slask Wroclaw | Jagiellonia | 1 | 1
Round 33,16.05.2025,Stal Mielec,Radomiak Radom,16.05.2025 | Stal Mielec | Radomiak Radom | 2 | 2
Round 31,15.05.2025,Widzew Lodz,Legia,15.05.2025 | Widzew Lodz | Legia | 2 | 0 | 2
Round 31,14.05.2025,Pogon Szczecin,Motor Lublin,14.05.2025 | Pogon Szczecin | Motor Lublin | 3 | 0
Round 32,12.05.2025,Puszcza,Stal Mielec,12.05.2025 | Puszcza | Stal Mielec | 2 | 3
Round 32,11.05.2025,Legia,Lech Poznan,11.05.2025 | Legia | Lech Poznan | 0 | 1
Round 32,11.05.2025,GKS Katowice,Cracovia,11.05.2025 | GKS Katowice | Cracovia | 2 | 1
Round 32,11.05.2025,Lechia Gdansk,Korona Kielce,11.05.2025 | Lechia Gdansk | Korona Kielce | 3 | 2
Round 32,10.05.2025,Rakow,Jagiellonia,10.05.2025 | Rakow | Jagiellonia | 1 | 2
Round 32,10.05.2025,Zaglebie,Widzew Lodz,10.05.2025 | Zaglebie | Widzew Lodz | 2 | 1
Round 32,10.05.2025,Radomiak Radom,Pogon Szczecin,10.05.2025 | Radomiak Radom | Pogon Szczecin | 2 | 0
Round 32,09.05.2025,Gornik Zabrze,Slask Wroclaw,09.05.2025 | Gornik Zabrze | Slask Wroclaw | 2 | 0
Round 32,09.05.2025,Motor Lublin,Piast Gliwice,09.05.2025 | Motor Lublin | Piast Gliwice | 1 | 4
Round 31,05.05.2025,Korona Kielce,GKS Katowice,05.05.2025 | Korona Kielce | GKS Katowice | 2 | 1
Round 31,04.05.2025,Jagiellonia,Gornik Zabrze,04.05.2025 | Jagiellonia | Gornik Zabrze | 1 | 1
Round 31,04.05.2025,Cracovia,Lechia Gdansk,04.05.2025 | Cracovia | Lechia Gdansk | 0 | 2
Round 31,04.05.2025,Piast Gliwice,Radomiak Radom,04.05.2025 | Piast Gliwice | Radomiak Radom | 0 | 0
Round 31,03.05.2025,Lech Poznan,Puszcza,03.05.2025 | Lech Poznan | Puszcza | 8 | 1
Round 31,03.05.2025,Slask Wroclaw,Zaglebie,03.05.2025 | Slask Wroclaw | Zaglebie | 3 | 1
Round 31,03.05.2025,Stal Mielec,Rakow,03.05.2025 | Stal Mielec | Rakow | 0 | 2
Round 30,28.04.2025,Zaglebie,Stal Mielec,28.04.2025 | Zaglebie | Stal Mielec | 2 | 2
Round 30,27.04.2025,Radomiak Radom,Lech Poznan,27.04.2025 | Radomiak Radom | Lech Poznan | 2 | 2
Round 30,27.04.2025,Gornik Zabrze,Widzew Lodz,27.04.2025 | Gornik Zabrze | Widzew Lodz | 0 | 0
Round 30,27.04.2025,Korona Kielce,Jagiellonia,27.04.2025 | Korona Kielce | Jagiellonia | 3 | 1
Round 30,26.04.2025,GKS Katowice,Legia,26.04.2025 | GKS Katowice | Legia | 1 | 3
Round 30,26.04.2025,Motor Lublin,Cracovia,26.04.2025 | Motor Lublin | Cracovia | 0 | 1
Round 30,26.04.2025,Lechia Gdansk,Piast Gliwice,26.04.2025 | Lechia Gdansk | Piast Gliwice | 3 | 1
Round 30,25.04.2025,Rakow,Slask Wroclaw,25.04.2025 | Rakow | Slask Wroclaw | 3 | 0
Round 30,25.04.2025,Puszcza,Pogon Szczecin,25.04.2025 | Puszcza | Pogon Szczecin | 4 | 5
Round 29,22.04.2025,Stal Mielec,Gornik Zabrze,22.04.2025 | Stal Mielec | Gornik Zabrze | 0 | 0
Round 29,21.04.2025,Lech Poznan,Cracovia,21.04.2025 | Lech Poznan | Cracovia | 2 | 1
Round 29,21.04.2025,Legia,Lechia Gdansk,21.04.2025 | Legia | Lechia Gdansk | 2 | 1
Round 29,21.04.2025,Jagiellonia,Zaglebie,21.04.2025 | Jagiellonia | Zaglebie | 1 | 3
Round 29,21.04.2025,Puszcza,Radomiak Radom,21.04.2025 | Puszcza | Radomiak Radom | 2 | 2
Round 29,19.04.2025,Pogon Szczecin,Rakow,19.04.2025 | Pogon Szczecin | Rakow | 1 | 0
Round 29,19.04.2025,Widzew Lodz,Motor Lublin,19.04.2025 | Widzew Lodz | Motor Lublin | 1 | 2
Round 29,19.04.2025,Slask Wroclaw,GKS Katowice,19.04.2025 | Slask Wroclaw | GKS Katowice | 0 | 2
Round 29,19.04.2025,Piast Gliwice,Korona Kielce,19.04.2025 | Piast Gliwice | Korona Kielce | 1 | 1
Round 28,14.04.2025,Lechia Gdansk,Stal Mielec,14.04.2025 | Lechia Gdansk | Stal Mielec | 3 | 2
Round 28,13.04.2025,Legia,Jagiellonia,13.04.2025 | Legia | Jagiellonia | 0 | 1
Round 28,13.04.2025,Motor Lublin,Lech Poznan,13.04.2025 | Motor Lublin | Lech Poznan | 1 | 2
Round 28,13.04.2025,Piast Gliwice,Pogon Szczecin,13.04.2025 | Piast Gliwice | Pogon Szczecin | 2 | 1
Round 28,12.04.2025,Rakow,Radomiak Radom,12.04.2025 | Rakow | Radomiak Radom | 2 | 1
Round 28,12.04.2025,Cracovia,Slask Wroclaw,12.04.2025 | Cracovia | Slask Wroclaw | 2 | 4
