round,date,team_home,team_away,full_text
Final,31.05.2025,Akhmat Grozny,Winner: Akhmat Grozny,31.05.2025 | Akhmat Grozny | Winner: Akhmat Grozny | Ural | 2 | 0
Final,31.05.2025,Pari NN,Sochi,31.05.2025 | Pari NN | Sochi | Advancing to next round: Sochi | 1 | 3
Final,28.05.2025,Sochi,Pari NN,28.05.2025 | Sochi | Pari NN | 1 | 2
Final,28.05.2025,Ural,Akhmat Grozny,28.05.2025 | Ural | Akhmat Grozny | 2 | 1
Round 30,24.05.2025,Akron Togliatti,Lokomotiv Moscow,24.05.2025 | Akron Togliatti | Lokomotiv Moscow | 1 | 4
Round 30,24.05.2025,CSKA Moscow,Pari NN,24.05.2025 | CSKA Moscow | Pari NN | 2 | 0
Round 30,24.05.2025,Dynamo Makhachkala,FK Rostov,24.05.2025 | Dynamo Makhachkala | FK Rostov | 1 | 1
Round 30,24.05.2025,Fakel Voronezh,Krylya Sovetov,24.05.2025 | Fakel Voronezh | Krylya Sovetov | 1 | 1
Round 30,24.05.2025,Krasnodar,Dynamo Moscow,24.05.2025 | Krasnodar | Dynamo Moscow | 3 | 0
Round 30,24.05.2025,Rubin Kazan,Orenburg,24.05.2025 | Rubin Kazan | Orenburg | 4 | 2
Round 30,24.05.2025,Spartak Moscow,Khimki,24.05.2025 | Spartak Moscow | Khimki | 5 | 0
Round 30,24.05.2025,Zenit,Akhmat Grozny,24.05.2025 | Zenit | Akhmat Grozny | 3 | 0
Round 29,19.05.2025,Lokomotiv Moscow,CSKA Moscow,19.05.2025 | Lokomotiv Moscow | CSKA Moscow | 2 | 2
Round 29,18.05.2025,FK Rostov,Zenit,18.05.2025 | FK Rostov | Zenit | 0 | 1
Round 29,18.05.2025,Dynamo Moscow,Akron Togliatti,18.05.2025 | Dynamo Moscow | Akron Togliatti | 2 | 1
Round 29,18.05.2025,Akhmat Grozny,Dynamo Makhachkala,18.05.2025 | Akhmat Grozny | Dynamo Makhachkala | 1 | 1
Round 29,18.05.2025,Krylya Sovetov,Spartak Moscow,18.05.2025 | Krylya Sovetov | 2 | Spartak Moscow | 0 | 2
Round 29,17.05.2025,Pari NN,Fakel Voronezh,17.05.2025 | Pari NN | Fakel Voronezh | 1 | 1
Round 29,17.05.2025,Khimki,Rubin Kazan,17.05.2025 | Khimki | Rubin Kazan | 3 | 2
Round 29,17.05.2025,Orenburg,Krasnodar,17.05.2025 | Orenburg | Krasnodar | 1 | 2
Round 28,12.05.2025,Pari NN,Krylya Sovetov,12.05.2025 | Pari NN | Krylya Sovetov | 5 | 2
Round 28,11.05.2025,Dynamo Moscow,Spartak Moscow,11.05.2025 | Dynamo Moscow | Spartak Moscow | 2 | 0
