round,date,team_home,team_away,full_text
Final,26.05.2025,Ross County,Livingston,26.05.2025 | Ross County | Livingston | Winner: Livingston | 2 | 4
Final,22.05.2025,Livingston,Ross County,22.05.2025 | Livingston | Ross County | 1 | 1
Round 38,18.05.2025,Kilmarnock,Hearts,18.05.2025 | Kilmarnock | Hearts | 0 | 1
Round 38,18.05.2025,Ross County,Motherwell,18.05.2025 | Ross County | Motherwell | 1 | 1
Round 38,18.05.2025,St Johnstone,Dundee FC,18.05.2025 | St Johnstone | Dundee FC | 0 | 2
Round 38,17.05.2025,Celtic,St. Mirren,17.05.2025 | Celtic | St. Mirren | 1 | 1
Round 38,17.05.2025,Dundee Utd,Aberdeen,17.05.2025 | Dundee Utd | Aberdeen | 2 | 1
Round 38,17.05.2025,Hibernian,Rangers,17.05.2025 | Hibernian | Rangers | 2 | 2
Semi-finals,16.05.2025,Livingston,Advancing to next round: Livingston,16.05.2025 | Livingston | Advancing to next round: Livingston | Partick Thistle | 2 | 0
Round 37,14.05.2025,Aberdeen,Celtic,14.05.2025 | Aberdeen | Celtic | 1 | 5
Round 37,14.05.2025,Rangers,Dundee Utd,14.05.2025 | Rangers | Dundee Utd | 3 | 1
Round 37,14.05.2025,St. Mirren,Hibernian,14.05.2025 | St. Mirren | Hibernian | 2 | 2
Round 37,14.05.2025,Dundee FC,Ross County,14.05.2025 | Dundee FC | Ross County | 1 | 1
Round 37,14.05.2025,Hearts,St Johnstone,14.05.2025 | Hearts | St Johnstone | 2 | 1
Round 37,14.05.2025,Motherwell,Kilmarnock,14.05.2025 | Motherwell | Kilmarnock | 3 | 0
Semi-finals,13.05.2025,Partick Thistle,Livingston,13.05.2025 | Partick Thistle | Livingston | 0 | 2
Round 36,11.05.2025,Rangers,Aberdeen,11.05.2025 | Rangers | Aberdeen | 4 | 0
Round 36,10.05.2025,Celtic,Hibernian,10.05.2025 | Celtic | Hibernian | 3 | 1
