round,date,team_home,team_away,full_text
Round 30,29.06.2025,ASC HLM,Jaraaf,29.06.2025 | ASC HLM | Jaraaf | 1 | 4
Round 30,29.06.2025,Generation F.,Pikine,29.06.2025 | Generation F. | Pikine | 4 | 0
Round 30,29.06.2025,Guediawaye,US Goree,29.06.2025 | Guediawaye | US Goree | 2 | 0
Round 30,29.06.2025,Jamono Fatick,Dakar SC,29.06.2025 | Jamono Fatick | Dakar SC | 4 | 0
Round 30,29.06.2025,Oslo Football Academy,AJEL,29.06.2025 | Oslo Football Academy | AJEL | 3 | 2
Round 30,29.06.2025,Ouakam,Casa,29.06.2025 | Ouakam | Casa | 1 | 1
Round 30,29.06.2025,Sonacos,Teungueth,29.06.2025 | Sonacos | Teungueth | 0 | 1
Round 30,29.06.2025,Wally Daan,Linguere,29.06.2025 | Wally Daan | Linguere | 1 | 1
Round 29,26.06.2025,Casa,Guediawaye,26.06.2025 | Casa | Guediawaye | 0 | 0
Round 29,26.06.2025,Dakar SC,Wally Daan,26.06.2025 | Dakar SC | Wally Daan | 1 | 1
Round 29,26.06.2025,Generation F.,Jamono Fatick,26.06.2025 | Generation F. | Jamono Fatick | 3 | 2
Round 29,26.06.2025,Jaraaf,Sonacos,26.06.2025 | Jaraaf | Sonacos | 2 | 0
Round 29,26.06.2025,Linguere,Oslo Football Academy,26.06.2025 | Linguere | Oslo Football Academy | 1 | 2
Round 29,26.06.2025,Pikine,ASC HLM,26.06.2025 | Pikine | ASC HLM | 0 | 0
Round 29,26.06.2025,Teungueth,Ouakam,26.06.2025 | Teungueth | Ouakam | 2 | 0
Round 29,26.06.2025,US Goree,AJEL,26.06.2025 | US Goree | AJEL | 2 | 1
Round 28,22.06.2025,ASC HLM,Jamono Fatick,22.06.2025 | ASC HLM | Jamono Fatick | 0 | 0
Round 28,22.06.2025,Casa,US Goree,22.06.2025 | Casa | US Goree | 0 | 0
Round 28,22.06.2025,Guediawaye,Teungueth,22.06.2025 | Guediawaye | Teungueth | 2 | 2
Round 28,22.06.2025,Sonacos,Pikine,22.06.2025 | Sonacos | Pikine | 2 | 1
Round 28,22.06.2025,Wally Daan,Generation F.,22.06.2025 | Wally Daan | Generation F. | 0 | 2
Round 28,21.06.2025,AJEL,Linguere,21.06.2025 | AJEL | Linguere | 1 | 0
Round 28,21.06.2025,Oslo Football Academy,Dakar SC,21.06.2025 | Oslo Football Academy | Dakar SC | 0 | 2
Round 28,21.06.2025,Ouakam,Jaraaf,21.06.2025 | Ouakam | Jaraaf | 1 | 1
