round,date,team_home,team_away,full_text
Final,01.06.2025,Napredak,Winner: Napredak,01.06.2025 | Napredak | Winner: Napredak | Mladost GAT | 1 | 0
Final,01.06.2025,Radnicki Nis,Advancing to next round: Radnicki Nis,01.06.2025 | Radnicki Nis | Advancing to next round: Radnicki Nis | Macva | 2 | 0
Final,28.05.2025,Macva,Radnicki Nis,28.05.2025 | Macva | Radnicki Nis | 0 | 0
Final,28.05.2025,Mladost GAT,Napredak,28.05.2025 | Mladost GAT | Napredak | 0 | 0
Round 37,25.05.2025,OFK Beograd Mozzart Bet,Novi Pazar,25.05.2025 | OFK Beograd Mozzart Bet | Novi Pazar | 2 | 3
Round 37,25.05.2025,Partizan,Vojvodina,25.05.2025 | Partizan | Vojvodina | 3 | 2
Round 37,25.05.2025,Radnicki 1923,TSC,25.05.2025 | Radnicki 1923 | TSC | 5 | 2
Round 37,24.05.2025,Crvena zvezda,Mladost,24.05.2025 | Crvena zvezda | Mladost | 3 | 1
Round 37,24.05.2025,IMT Novi Beograd,Napredak,24.05.2025 | IMT Novi Beograd | Napredak | 2 | 1
Round 37,24.05.2025,Radnicki Nis,Jedinstvo U.,24.05.2025 | Radnicki Nis | Jedinstvo U. | 3 | 1
Round 37,24.05.2025,Sp. Subotica,Tekstilac Odzaci,24.05.2025 | Sp. Subotica | Tekstilac Odzaci | 2 | 4
Round 37,23.05.2025,Cukaricki,Zeleznicar Pancevo,23.05.2025 | Cukaricki | Zeleznicar Pancevo | 2 | 2
Round 36,18.05.2025,Jedinstvo U.,IMT Novi Beograd,18.05.2025 | Jedinstvo U. | IMT Novi Beograd | 0 | 3
Round 36,18.05.2025,Napredak,Radnicki Nis,18.05.2025 | Napredak | Radnicki Nis | 2 | 1
Round 36,18.05.2025,Tekstilac Odzaci,Cukaricki,18.05.2025 | Tekstilac Odzaci | Cukaricki | 0 | 3
Round 36,18.05.2025,Zeleznicar Pancevo,Sp. Subotica,18.05.2025 | Zeleznicar Pancevo | Sp. Subotica | 3 | 0
Round 36,17.05.2025,Mladost,Partizan,17.05.2025 | Mladost | Partizan | 0 | 4
Round 36,17.05.2025,Novi Pazar,Crvena zvezda,17.05.2025 | Novi Pazar | Crvena zvezda | 3 | 3
Round 36,17.05.2025,TSC,OFK Beograd Mozzart Bet,17.05.2025 | TSC | OFK Beograd Mozzart Bet | 3 | 2
Round 36,17.05.2025,Vojvodina,Radnicki 1923,17.05.2025 | Vojvodina | Radnicki 1923 | 0 | 0
Round 35,12.05.2025,Zeleznicar Pancevo,Napredak,12.05.2025 | Zeleznicar Pancevo | Napredak | 1 | 1
Round 35,12.05.2025,Cukaricki,IMT Novi Beograd,12.05.2025 | Cukaricki | IMT Novi Beograd | 1 | 1
Round 35,11.05.2025,Partizan,TSC,11.05.2025 | Partizan | TSC | 1 | 2
Round 35,11.05.2025,Crvena zvezda,Vojvodina,11.05.2025 | Crvena zvezda | Vojvodina | 1 | 1
Round 35,11.05.2025,Sp. Subotica,Radnicki Nis,11.05.2025 | Sp. Subotica | Radnicki Nis | 1 | 0
Round 35,11.05.2025,OFK Beograd Mozzart Bet,Mladost,11.05.2025 | OFK Beograd Mozzart Bet | Mladost | 1 | 0
Round 35,10.05.2025,Radnicki 1923,Novi Pazar,10.05.2025 | Radnicki 1923 | Novi Pazar | 2 | 3
Round 35,10.05.2025,Tekstilac Odzaci,Jedinstvo U.,10.05.2025 | Tekstilac Odzaci | Jedinstvo U. | 2 | 3
Round 34,04.05.2025,Radnicki 1923,Mladost,04.05.2025 | Radnicki 1923 | Mladost | 1 | 1
Round 34,04.05.2025,Novi Pazar,Partizan,04.05.2025 | Novi Pazar | Partizan | 2 | 1
Round 34,04.05.2025,Jedinstvo U.,Sp. Subotica,04.05.2025 | Jedinstvo U. | Sp. Subotica | 1 | 0
Round 34,04.05.2025,IMT Novi Beograd,Zeleznicar Pancevo,04.05.2025 | IMT Novi Beograd | Zeleznicar Pancevo | 0 | 1
Round 34,03.05.2025,Radnicki Nis,Tekstilac Odzaci,03.05.2025 | Radnicki Nis | Tekstilac Odzaci | 1 | 0
Round 34,03.05.2025,TSC,Crvena zvezda,03.05.2025 | TSC | Crvena zvezda | 1 | 2
Round 34,03.05.2025,Napredak,Cukaricki,03.05.2025 | Napredak | Cukaricki | 0 | 1
Round 34,02.05.2025,OFK Beograd Mozzart Bet,Vojvodina,02.05.2025 | OFK Beograd Mozzart Bet | Vojvodina | 1 | 2
Round 33,28.04.2025,Zeleznicar Pancevo,Radnicki Nis,28.04.2025 | Zeleznicar Pancevo | Radnicki Nis | 1 | 2
Round 33,28.04.2025,Mladost,Novi Pazar,28.04.2025 | Mladost | Novi Pazar | 1 | 1
Round 33,28.04.2025,Cukaricki,Sp. Subotica,28.04.2025 | Cukaricki | Sp. Subotica | 0 | 0
Round 33,28.04.2025,Napredak,Jedinstvo U.,28.04.2025 | Napredak | Jedinstvo U. | 1 | 0
Round 33,27.04.2025,Vojvodina,TSC,27.04.2025 | Vojvodina | TSC | 0 | 3
Round 33,27.04.2025,Partizan,Radnicki 1923,27.04.2025 | Partizan | Radnicki 1923 | 3 | 1
Round 33,27.04.2025,Crvena zvezda,OFK Beograd Mozzart Bet,27.04.2025 | Crvena zvezda | OFK Beograd Mozzart Bet | 5 | 2
Round 33,26.04.2025,IMT Novi Beograd,Tekstilac Odzaci,26.04.2025 | IMT Novi Beograd | Tekstilac Odzaci | 3 | 1
Round 32,24.04.2025,Jedinstvo U.,Cukaricki,24.04.2025 | Jedinstvo U. | Cukaricki | 4 | 1
Round 32,24.04.2025,Sp. Subotica,Napredak,24.04.2025 | Sp. Subotica | Napredak | 2 | 1
