round,date,team_home,team_away,full_text
Final,24.05.2025,Trencin,Winner: Trencin,24.05.2025 | Trencin | Winner: Trencin | Z. Moravce-Vrable | 4 | 2
Final,23.05.2025,Dun. Streda,Winner: Dun. Streda,23.05.2025 | Dun. Streda | Winner: Dun. Streda | Podbrezova | 3 | 2
Semi-finals,20.05.2025,Dun. Streda,Advancing to next round: Dun. Streda,20.05.2025 | Dun. Streda | Advancing to next round: Dun. Streda | Michalovce | 2 | 1
Semi-finals,20.05.2025,Pen,Kosice,20.05.2025 | Pen | Kosice | Podbrezova | Advancing to next round: Podbrezova | 2 | 3 | 2 | 2
Final,20.05.2025,Z. Moravce-Vrable,Trencin,20.05.2025 | Z. Moravce-Vrable | Trencin | 1 | 1
Round 10,17.05.2025,Banska Bystrica,Michalovce,17.05.2025 | Banska Bystrica | Michalovce | 2 | 3
Round 10,17.05.2025,Komarno,Ruzomberok,17.05.2025 | Komarno | Ruzomberok | 1 | 2
Round 10,17.05.2025,Trencin,Skalica,17.05.2025 | Trencin | Skalica | 2 | 0
Round 10,17.05.2025,Slovan Bratislava,Kosice,17.05.2025 | Slovan Bratislava | Kosice | 1 | 0
Round 10,17.05.2025,Trnava,Podbrezova,17.05.2025 | Trnava | Podbrezova | 2 | 1
Round 10,17.05.2025,Zilina,Dun. Streda,17.05.2025 | Zilina | Dun. Streda | 0 | 1
Round 9,11.05.2025,Dun. Streda,Trnava,11.05.2025 | Dun. Streda | Trnava | 1 | 0
Round 9,11.05.2025,Michalovce,Komarno,11.05.2025 | Michalovce | Komarno | 4 | 5
Round 9,10.05.2025,Kosice,Zilina,10.05.2025 | Kosice | Zilina | 3 | 2
Round 9,10.05.2025,Podbrezova,Slovan Bratislava,10.05.2025 | Podbrezova | Slovan Bratislava | 1 | 3
Round 9,10.05.2025,Ruzomberok,Trencin,10.05.2025 | Ruzomberok | Trencin | 1 | 0
Round 9,10.05.2025,Skalica,Banska Bystrica,10.05.2025 | Skalica | Banska Bystrica | 3 | 1
Round 8,04.05.2025,Banska Bystrica,Ruzomberok,04.05.2025 | Banska Bystrica | Ruzomberok | 0 | 2
Round 8,04.05.2025,Trnava,Kosice,04.05.2025 | Trnava | Kosice | 0 | 1
Round 8,03.05.2025,Slovan Bratislava,Zilina,03.05.2025 | Slovan Bratislava | Zilina | 4 | 3
Round 8,03.05.2025,Podbrezova,Dun. Streda,03.05.2025 | Podbrezova | Dun. Streda | 2 | 0
Round 8,03.05.2025,Komarno,Trencin,03.05.2025 | Komarno | Trencin | 0 | 0
Round 8,03.05.2025,Michalovce,Skalica,03.05.2025 | Michalovce | Skalica | 2 | 4
Round 7,27.04.2025,Skalica,Komarno,27.04.2025 | Skalica | Komarno | 0 | 1
Round 7,27.04.2025,Zilina,Trnava,27.04.2025 | Zilina | Trnava | 2 | 1
Round 7,26.04.2025,Dun. Streda,Slovan Bratislava,26.04.2025 | Dun. Streda | Slovan Bratislava | 2 | 1
Round 7,26.04.2025,Kosice,Podbrezova,26.04.2025 | Kosice | Podbrezova | 1 | 1
Round 7,26.04.2025,Ruzomberok,Michalovce,26.04.2025 | Ruzomberok | Michalovce | 1 | 0
Round 7,25.04.2025,Trencin,Banska Bystrica,25.04.2025 | Trencin | Banska Bystrica | 2 | 2
Round 5,23.04.2025,Zilina,Kosice,23.04.2025 | Zilina | Kosice | 0 | 0
Round 6,20.04.2025,Dun. Streda,Kosice,20.04.2025 | Dun. Streda | Kosice | 3 | 2
Round 6,20.04.2025,Banska Bystrica,Komarno,20.04.2025 | Banska Bystrica | Komarno | 0 | 1
Round 6,19.04.2025,Trnava,Slovan Bratislava,19.04.2025 | Trnava | Slovan Bratislava | 2 | 3
Round 6,19.04.2025,Podbrezova,Zilina,19.04.2025 | Podbrezova | Zilina | 1 | 1
Round 6,19.04.2025,Michalovce,Trencin,19.04.2025 | Michalovce | Trencin | 3 | 2
Round 6,19.04.2025,Skalica,Ruzomberok,19.04.2025 | Skalica | Ruzomberok | 1 | 0
Round 5,13.04.2025,Komarno,Skalica,13.04.2025 | Komarno | Skalica | 1 | 1
Round 5,12.04.2025,Slovan Bratislava,Dun. Streda,12.04.2025 | Slovan Bratislava | Dun. Streda | 2 | 2
Round 5,12.04.2025,Podbrezova,Trnava,12.04.2025 | Podbrezova | Trnava | 1 | 2
Round 5,12.04.2025,Michalovce,Banska Bystrica,12.04.2025 | Michalovce | Banska Bystrica | 3 | 3
Round 5,12.04.2025,Trencin,Ruzomberok,12.04.2025 | Trencin | Ruzomberok | 2 | 2
Round 4,06.04.2025,Ruzomberok,Banska Bystrica,06.04.2025 | Ruzomberok | Banska Bystrica | 1 | 2
Round 4,06.04.2025,Kosice,Trnava,06.04.2025 | Kosice | Trnava | 2 | 1
Round 4,05.04.2025,Zilina,Slovan Bratislava,05.04.2025 | Zilina | Slovan Bratislava | 0 | 5
Round 4,05.04.2025,Dun. Streda,Podbrezova,05.04.2025 | Dun. Streda | Podbrezova | 1 | 1
Round 4,05.04.2025,Skalica,Michalovce,05.04.2025 | Skalica | Michalovce | 1 | 0
Round 4,05.04.2025,Trencin,Komarno,05.04.2025 | Trencin | Komarno | 1 | 0
Round 3,30.03.2025,Komarno,Michalovce,30.03.2025 | Komarno | Michalovce | 0 | 1
Round 3,30.03.2025,Trnava,Zilina,30.03.2025 | Trnava | Zilina | 2 | 4
Round 3,29.03.2025,Kosice,Dun. Streda,29.03.2025 | Kosice | Dun. Streda | 2 | 2
Round 3,29.03.2025,Slovan Bratislava,Podbrezova,29.03.2025 | Slovan Bratislava | Podbrezova | 3 | 1
Round 3,29.03.2025,Banska Bystrica,Trencin,29.03.2025 | Banska Bystrica | Trencin | 2 | 3
Round 3,29.03.2025,Ruzomberok,Skalica,29.03.2025 | Ruzomberok | Skalica | 3 | 2
Round 2,16.03.2025,Komarno,Banska Bystrica,16.03.2025 | Komarno | Banska Bystrica | 2 | 1
Round 2,16.03.2025,Podbrezova,Kosice,16.03.2025 | Podbrezova | Kosice | 0 | 1
Round 2,16.03.2025,Slovan Bratislava,Trnava,16.03.2025 | Slovan Bratislava | Trnava | 1 | 1
Round 2,15.03.2025,Dun. Streda,Zilina,15.03.2025 | Dun. Streda | Zilina | 3 | 1
Round 2,15.03.2025,Michalovce,Ruzomberok,15.03.2025 | Michalovce | Ruzomberok | 2 | 1
Round 2,15.03.2025,Skalica,Trencin,15.03.2025 | Skalica | Trencin | 1 | 0
Round 1,09.03.2025,Trencin,Michalovce,09.03.2025 | Trencin | Michalovce | 3 | 2
Round 1,09.03.2025,Kosice,Slovan Bratislava,09.03.2025 | Kosice | Slovan Bratislava | 2 | 3
Round 1,08.03.2025,Trnava,Dun. Streda,08.03.2025 | Trnava | Dun. Streda | 1 | 1
Round 1,08.03.2025,Zilina,Podbrezova,08.03.2025 | Zilina | Podbrezova | 0 | 0
Round 1,08.03.2025,Banska Bystrica,Skalica,08.03.2025 | Banska Bystrica | Skalica | 0 | 2
Round 1,08.03.2025,Ruzomberok,Komarno,08.03.2025 | Ruzomberok | Komarno | 0 | 1
Round 22,01.03.2025,Banska Bystrica,Zilina,01.03.2025 | Banska Bystrica | Zilina | 1 | 2
Round 22,01.03.2025,Dun. Streda,Ruzomberok,01.03.2025 | Dun. Streda | Ruzomberok | 3 | 0
Round 22,01.03.2025,Kosice,Michalovce,01.03.2025 | Kosice | Michalovce | 3 | 2
Round 22,01.03.2025,Podbrezova,Komarno,01.03.2025 | Podbrezova | Komarno | 2 | 2
Round 22,01.03.2025,Skalica,Trencin,01.03.2025 | Skalica | Trencin | 0 | 0
Round 22,01.03.2025,Slovan Bratislava,Trnava,01.03.2025 | Slovan Bratislava | Trnava | 0 | 1
Round 20,25.02.2025,Komarno,Zilina,25.02.2025 | Komarno | Zilina | 1 | 0
Round 21,23.02.2025,Michalovce,Banska Bystrica,23.02.2025 | Michalovce | Banska Bystrica | 1 | 0
Round 21,23.02.2025,Trnava,Podbrezova,23.02.2025 | Trnava | Podbrezova | 1 | 1
