round,date,team_home,team_away,full_text
Final,08.12.2025,Suwon FC,Bucheon FC 1995,08.12.2025 | Suwon FC | Bucheon FC 1995 | Winner: Bucheon FC 1995 | 2 | 3
Final,07.12.2025,Jeju SK,Advancing to next round: Jeju SK,07.12.2025 | Jeju SK | Advancing to next round: Jeju SK | Suwon Bluewings | 2 | 0
Final,05.12.2025,Bucheon FC 1995,Suwon FC,05.12.2025 | Bucheon FC 1995 | Suwon FC | 1 | 0
Final,03.12.2025,Suwon Bluewings,Jeju SK,03.12.2025 | Suwon Bluewings | Jeju SK | 0 | 1
Round 38,30.11.2025,Gangwon,Pohang,30.11.2025 | Gangwon | Pohang | 1 | 0
Round 38,30.11.2025,Gimcheon Sangmu,Daejeon,30.11.2025 | Gimcheon Sangmu | Daejeon | 0 | 3
Round 38,30.11.2025,Jeonbuk,Seoul,30.11.2025 | Jeonbuk | Seoul | 2 | 1
Round 38,30.11.2025,Daegu,Anyang,30.11.2025 | Daegu | Anyang | 2 | 2
Round 38,30.11.2025,Suwon FC,Gwangju FC,30.11.2025 | Suwon FC | Gwangju FC | 0 | 1
Round 38,30.11.2025,Ulsan HD,Jeju SK,30.11.2025 | Ulsan HD | Jeju SK | 0 | 1
Round 37,23.11.2025,Jeju SK,Daegu,23.11.2025 | Jeju SK | Daegu | 1 | 1
Round 37,22.11.2025,Gwangju FC,Ulsan HD,22.11.2025 | Gwangju FC | Ulsan HD | 2 | 0
Round 37,22.11.2025,Pohang,Jeonbuk,22.11.2025 | Pohang | Jeonbuk | 0 | 0
Round 37,22.11.2025,Daejeon,Gangwon,22.11.2025 | Daejeon | Gangwon | 1 | 1
Round 37,22.11.2025,Seoul,Gimcheon Sangmu,22.11.2025 | Seoul | Gimcheon Sangmu | 1 | 3
Round 37,22.11.2025,Anyang,Suwon FC,22.11.2025 | Anyang | Suwon FC | 0 | 1
Round 36,09.11.2025,Ulsan HD,Suwon FC,09.11.2025 | Ulsan HD | Suwon FC | 1 | 0
Round 36,09.11.2025,Pohang,Seoul,09.11.2025 | Pohang | Seoul | 0 | 0
