round,date,team_home,team_away,full_text
Final,30.05.2025,Aarau,Grasshoppers,30.05.2025 | Aarau | Grasshoppers | Winner: Grasshoppers | 1 | 0
Final,27.05.2025,Grasshoppers,Aarau,27.05.2025 | Grasshoppers | Aarau | 4 | 0
Round 38,24.05.2025,Basel,Luzern,24.05.2025 | Basel | Luzern | 4 | 0
Round 38,24.05.2025,Lugano,Young Boys,24.05.2025 | Lugano | Young Boys | 1 | 1
Round 38,24.05.2025,Servette,Lausanne,24.05.2025 | Servette | Lausanne | 3 | 3
Round 38,22.05.2025,Grasshoppers,St. Gallen,22.05.2025 | Grasshoppers | St. Gallen | 2 | 0
Round 38,22.05.2025,Winterthur,Sion,22.05.2025 | Winterthur | Sion | 2 | 0
Round 38,22.05.2025,Yverdon,Zurich,22.05.2025 | Yverdon | Zurich | 3 | 2
Round 37,18.05.2025,Lausanne,Lugano,18.05.2025 | Lausanne | Lugano | 1 | 1
Round 37,18.05.2025,Luzern,Servette,18.05.2025 | Luzern | Servette | 3 | 4
Round 37,18.05.2025,Young Boys,Basel,18.05.2025 | Young Boys | Basel | 6 | 2
Round 37,17.05.2025,Sion,Grasshoppers,17.05.2025 | Sion | Grasshoppers | 2 | 1
Round 37,17.05.2025,St. Gallen,Zurich,17.05.2025 | St. Gallen | Zurich | 3 | 2
Round 37,17.05.2025,Winterthur,Yverdon,17.05.2025 | Winterthur | Yverdon | 2 | 2
Round 36,15.05.2025,Servette,Lugano,15.05.2025 | Servette | Lugano | 4 | 1
Round 36,15.05.2025,Young Boys,Luzern,15.05.2025 | Young Boys | Luzern | 2 | 1
Round 36,14.05.2025,Lausanne,Basel,14.05.2025 | Lausanne | Basel | 2 | 3
Round 36,14.05.2025,Grasshoppers,Yverdon,14.05.2025 | Grasshoppers | Yverdon | 5 | 0
Round 36,13.05.2025,Sion,St. Gallen,13.05.2025 | Sion | St. Gallen | 1 | 1
Round 36,13.05.2025,Zurich,Winterthur,13.05.2025 | Zurich | Winterthur | 4 | 1
Round 35,11.05.2025,Servette,Young Boys,11.05.2025 | Servette | Young Boys | 0 | 0
Round 35,11.05.2025,Luzern,Lausanne,11.05.2025 | Luzern | Lausanne | 1 | 1
Round 35,10.05.2025,Lugano,Basel,10.05.2025 | Lugano | Basel | 2 | 5
Round 35,10.05.2025,St. Gallen,Winterthur,10.05.2025 | St. Gallen | Winterthur | 1 | 4
Round 35,10.05.2025,Yverdon,Sion,10.05.2025 | Yverdon | Sion | 1 | 1
Round 35,10.05.2025,Zurich,Grasshoppers,10.05.2025 | Zurich | Grasshoppers | 3 | 0
Round 34,06.05.2025,Yverdon,St. Gallen,06.05.2025 | Yverdon | St. Gallen | 1 | 1
Round 34,04.05.2025,Basel,Servette,04.05.2025 | Basel | Servette | 5 | 1
Round 34,04.05.2025,Luzern,Lugano,04.05.2025 | Luzern | Lugano | 0 | 2
Round 34,04.05.2025,Sion,Zurich,04.05.2025 | Sion | Zurich | 2 | 1
Round 34,03.05.2025,Lausanne,Young Boys,03.05.2025 | Lausanne | Young Boys | 3 | 2
Round 34,03.05.2025,Winterthur,Grasshoppers,03.05.2025 | Winterthur | Grasshoppers | 2 | 0
Round 33,21.04.2025,Basel,Yverdon,21.04.2025 | Basel | Yverdon | 5 | 0
Round 33,21.04.2025,Lausanne,Lugano,21.04.2025 | Lausanne | Lugano | 2 | 0
Round 33,21.04.2025,Servette,Luzern,21.04.2025 | Servette | Luzern | 2 | 1
Round 33,21.04.2025,St. Gallen,Sion,21.04.2025 | St. Gallen | Sion | 1 | 0
Round 33,21.04.2025,Young Boys,Zurich,21.04.2025 | Young Boys | Zurich | 2 | 1
Round 33,19.04.2025,Grasshoppers,Winterthur,19.04.2025 | Grasshoppers | Winterthur | 0 | 1
Round 32,13.04.2025,Luzern,Young Boys,13.04.2025 | Luzern | Young Boys | 5 | 0
Round 32,13.04.2025,Sion,Servette,13.04.2025 | Sion | Servette | 1 | 1
Round 32,13.04.2025,Lugano,St. Gallen,13.04.2025 | Lugano | St. Gallen | 1 | 1
Round 32,12.04.2025,Zurich,Basel,12.04.2025 | Zurich | Basel | 0 | 4
Round 32,12.04.2025,Winterthur,Lausanne,12.04.2025 | Winterthur | Lausanne | 1 | 0
Round 32,12.04.2025,Yverdon,Grasshoppers,12.04.2025 | Yverdon | Grasshoppers | 1 | 2
Round 31,06.04.2025,Basel,Lugano,06.04.2025 | Basel | Lugano | 2 | 0
Round 31,06.04.2025,Grasshoppers,Luzern,06.04.2025 | Grasshoppers | Luzern | 3 | 1
Round 31,06.04.2025,St. Gallen,Servette,06.04.2025 | St. Gallen | Servette | 1 | 0
Round 31,05.04.2025,Young Boys,Yverdon,05.04.2025 | Young Boys | Yverdon | 1 | 1
Round 31,05.04.2025,Lausanne,Sion,05.04.2025 | Lausanne | Sion | 2 | 0
Round 31,05.04.2025,Winterthur,Zurich,05.04.2025 | Winterthur | Zurich | 0 | 0
Round 30,03.04.2025,Basel,Grasshoppers,03.04.2025 | Basel | Grasshoppers | 2 | 1
Round 30,03.04.2025,Luzern,St. Gallen,03.04.2025 | Luzern | St. Gallen | 1 | 1
Round 30,02.04.2025,Sion,Winterthur,02.04.2025 | Sion | Winterthur | 1 | 2
Round 30,02.04.2025,Zurich,Lausanne,02.04.2025 | Zurich | Lausanne | 2 | 2
