round,date,team_home,team_away,full_text
Final,30.11.2025,AET,Nacional,30.11.2025 | AET | Nacional | Winner: Nacional | Penarol | 1 | 0 | 0 | 0
Final,23.11.2025,Penarol,Nacional,23.11.2025 | Penarol | Nacional | 2 | 2
Semi-finals,16.11.2025,AET,Liverpool M.,16.11.2025 | AET | Liverpool M. | Penarol | Advancing to next round: Penarol | 1 | 2 | 0 | 0
Round 15,09.11.2025,Defensor Sp.,Nacional,09.11.2025 | Defensor Sp. | Nacional | 1 | 1
Round 15,09.11.2025,Juventud,Progreso,09.11.2025 | Juventud | Progreso | 1 | 1
Round 15,09.11.2025,Montevideo City,Penarol,09.11.2025 | Montevideo City | Penarol | 0 | 2
Round 15,09.11.2025,CA Cerro,Boston River,09.11.2025 | CA Cerro | Boston River | 0 | 0
Round 15,08.11.2025,Wanderers,River Plate,08.11.2025 | Wanderers | River Plate | 0 | 4
Round 15,08.11.2025,Danubio,Plaza Colonia,08.11.2025 | Danubio | Plaza Colonia | 2 | 0
Round 15,07.11.2025,Cerro Largo,Liverpool M.,07.11.2025 | Cerro Largo | Liverpool M. | 2 | 0
Round 15,07.11.2025,Miramar,Racing Montevideo,07.11.2025 | Miramar | Racing Montevideo | 0 | 2
Round 14,03.11.2025,Plaza Colonia,Cerro Largo,03.11.2025 | Plaza Colonia | Cerro Largo | 0 | 2
Round 14,02.11.2025,Penarol,Defensor Sp.,02.11.2025 | Penarol | Defensor Sp. | 2 | 1
Round 14,02.11.2025,Racing Montevideo,Danubio,02.11.2025 | Racing Montevideo | Danubio | 1 | 2
Round 14,02.11.2025,River Plate,Miramar,02.11.2025 | River Plate | Miramar | 1 | 1
Round 14,01.11.2025,CA Cerro,Nacional,01.11.2025 | CA Cerro | Nacional | 0 | 0
Round 14,01.11.2025,Liverpool M.,Juventud,01.11.2025 | Liverpool M. | Juventud | 0 | 1
Round 14,01.11.2025,Progreso,Montevideo City,01.11.2025 | Progreso | Montevideo City | 0 | 5
Round 14,01.11.2025,Wanderers,Boston River,01.11.2025 | Wanderers | Boston River | 2 | 2
Round 13,27.10.2025,Miramar,Boston River,27.10.2025 | Miramar | Boston River | 0 | 4
Round 13,26.10.2025,Wanderers,Nacional,26.10.2025 | Wanderers | Nacional | 0 | 0
Round 13,26.10.2025,Liverpool M.,Progreso,26.10.2025 | Liverpool M. | Progreso | 3 | 1
Round 13,26.10.2025,Danubio,River Plate,26.10.2025 | Danubio | River Plate | 0 | 1
Round 13,25.10.2025,Cerro Largo,Racing Montevideo,25.10.2025 | Cerro Largo | Racing Montevideo | 2 | 2
Round 13,25.10.2025,CA Cerro,Penarol,25.10.2025 | CA Cerro | Penarol | 2 | 0
Round 13,25.10.2025,Juventud,Plaza Colonia,25.10.2025 | Juventud | 2 | Plaza Colonia | 0 | 2
Round 13,25.10.2025,Defensor Sp.,Montevideo City,25.10.2025 | Defensor Sp. | Montevideo City | 0 | 1
Round 12,21.10.2025,Plaza Colonia,Liverpool M.,21.10.2025 | Plaza Colonia | Liverpool M. | 0 | 1
Round 12,20.10.2025,Racing Montevideo,Juventud,20.10.2025 | Racing Montevideo | Juventud | 0 | 0
Round 12,19.10.2025,Penarol,Wanderers,19.10.2025 | Penarol | Wanderers | 3 | 0
Round 12,19.10.2025,Progreso,Defensor Sp.,19.10.2025 | Progreso | Defensor Sp. | 2 | 3
Round 12,19.10.2025,River Plate,Cerro Largo,19.10.2025 | River Plate | Cerro Largo | 1 | 1
Round 12,18.10.2025,Nacional,Miramar,18.10.2025 | Nacional | Miramar | 3 | 1
Round 12,18.10.2025,Montevideo City,CA Cerro,18.10.2025 | Montevideo City | CA Cerro | 1 | 2
