round,date,team_home,team_away,full_text
Final,18.05.2025,Haverfordwest,Winner: Haverfordwest,18.05.2025 | Haverfordwest | Winner: Haverfordwest | Caernarfon | 3 | 1
Semi-finals,11.05.2025,Pen,Caernarfon,11.05.2025 | Pen | Caernarfon | Advancing to next round: Caernarfon | Cardiff Metropolitan | 1 | 0 | 0 | 0
Quarter-finals,26.04.2025,Cardiff Metropolitan,Advancing to next round: Cardiff Metropolitan,26.04.2025 | Cardiff Metropolitan | Advancing to next round: Cardiff Metropolitan | Bala | 1 | 0
Quarter-finals,26.04.2025,Caernarfon,Advancing to next round: Caernarfon,26.04.2025 | Caernarfon | Advancing to next round: Caernarfon | Barry | 5 | 2
Round 32,19.04.2025,Aberystwyth,Connahs Q.,19.04.2025 | Aberystwyth | Connahs Q. | 1 | 1
Round 32,19.04.2025,Barry,Briton Ferry,19.04.2025 | Barry | Briton Ferry | 5 | 0
Round 32,19.04.2025,Flint,Newtown,19.04.2025 | Flint | Newtown | 4 | 0
Round 32,19.04.2025,Bala,Penybont,19.04.2025 | Bala | Penybont | 3 | 2
Round 32,19.04.2025,Caernarfon,Cardiff Metropolitan,19.04.2025 | Caernarfon | Cardiff Metropolitan | 2 | 1
Round 32,19.04.2025,Haverfordwest,TNS,19.04.2025 | Haverfordwest | TNS | 1 | 3
Round 31,13.04.2025,Penybont,Caernarfon,13.04.2025 | Penybont | Caernarfon | 3 | 1
Round 31,13.04.2025,Connahs Q.,Barry,13.04.2025 | Connahs Q. | Barry | 0 | 2
Round 31,12.04.2025,Briton Ferry,Flint,12.04.2025 | Briton Ferry | Flint | 1 | 2
Round 31,12.04.2025,Newtown,Aberystwyth,12.04.2025 | Newtown | Aberystwyth | 2 | 3
Round 31,11.04.2025,Cardiff Metropolitan,Haverfordwest,11.04.2025 | Cardiff Metropolitan | Haverfordwest | 1 | 1
Round 31,11.04.2025,TNS,Bala,11.04.2025 | TNS | Bala | 2 | 1
Round 30,29.03.2025,Bala,Cardiff Metropolitan,29.03.2025 | Bala | Cardiff Metropolitan | 0 | 0
Round 30,29.03.2025,Haverfordwest,Caernarfon,29.03.2025 | Haverfordwest | Caernarfon | 1 | 1
Round 30,29.03.2025,Penybont,TNS,29.03.2025 | Penybont | TNS | 1 | 0
Round 30,29.03.2025,Briton Ferry,Connahs Q.,29.03.2025 | Briton Ferry | Connahs Q. | 1 | 0
Round 30,28.03.2025,Aberystwyth,Flint,28.03.2025 | Aberystwyth | Flint | 1 | 2
Round 30,28.03.2025,Barry,Newtown,28.03.2025 | Barry | Newtown | 2 | 1
Round 29,22.03.2025,Flint,Barry,22.03.2025 | Flint | Barry | 3 | 2
Round 29,22.03.2025,Cardiff Metropolitan,TNS,22.03.2025 | Cardiff Metropolitan | TNS | 0 | 6
Round 29,21.03.2025,Aberystwyth,Briton Ferry,21.03.2025 | Aberystwyth | Briton Ferry | 0 | 1
Round 29,21.03.2025,Newtown,Connahs Q.,21.03.2025 | Newtown | Connahs Q. | 2 | 3
Round 29,21.03.2025,Caernarfon,Bala,21.03.2025 | Caernarfon | Bala | 5 | 0
Round 29,21.03.2025,Haverfordwest,Penybont,21.03.2025 | Haverfordwest | Penybont | 1 | 2
Round 28,15.03.2025,Bala,Haverfordwest,15.03.2025 | Bala | Haverfordwest | 0 | 0
Round 28,14.03.2025,Penybont,Cardiff Metropolitan,14.03.2025 | Penybont | Cardiff Metropolitan | 0 | 0
Round 28,11.03.2025,TNS,Caernarfon,11.03.2025 | TNS | Caernarfon | 2 | 0
Round 28,11.03.2025,Barry,Aberystwyth,11.03.2025 | Barry | Aberystwyth | 2 | 1
Round 28,11.03.2025,Briton Ferry,Newtown,11.03.2025 | Briton Ferry | Newtown | 1 | 1
Round 28,11.03.2025,Connahs Q.,Flint,11.03.2025 | Connahs Q. | Flint | 4 | 0
Round 27,08.03.2025,Cardiff Metropolitan,Caernarfon,08.03.2025 | Cardiff Metropolitan | Caernarfon | 4 | 2
Round 27,08.03.2025,Penybont,Bala,08.03.2025 | Penybont | Bala | 3 | 2
Round 27,08.03.2025,TNS,Haverfordwest,08.03.2025 | TNS | Haverfordwest | 5 | 1
Round 27,07.03.2025,Briton Ferry,Barry,07.03.2025 | Briton Ferry | Barry | 3 | 4
Round 27,07.03.2025,Connahs Q.,Aberystwyth,07.03.2025 | Connahs Q. | Aberystwyth | 3 | 0
Round 27,07.03.2025,Newtown,Flint,07.03.2025 | Newtown | Flint | 2 | 2
Round 26,22.02.2025,Barry,Connahs Q.,22.02.2025 | Barry | Connahs Q. | 0 | 2
Round 26,22.02.2025,Flint,Briton Ferry,22.02.2025 | Flint | Briton Ferry | 3 | 1
Round 26,22.02.2025,Caernarfon,Penybont,22.02.2025 | Caernarfon | Penybont | 3 | 2
Round 26,22.02.2025,Aberystwyth,Newtown,22.02.2025 | Aberystwyth | Newtown | 0 | 1
Round 26,21.02.2025,Bala,TNS,21.02.2025 | Bala | TNS | 0 | 2
Round 26,21.02.2025,Haverfordwest,Cardiff Metropolitan,21.02.2025 | Haverfordwest | Cardiff Metropolitan | 1 | 0
Round 23,11.02.2025,Caernarfon,TNS,11.02.2025 | Caernarfon | TNS | 0 | 1
Round 25,08.02.2025,Caernarfon,Haverfordwest,08.02.2025 | Caernarfon | Haverfordwest | 1 | 1
Round 25,08.02.2025,Cardiff Metropolitan,Bala,08.02.2025 | Cardiff Metropolitan | Bala | 2 | 1
Round 25,08.02.2025,Connahs Q.,Briton Ferry,08.02.2025 | Connahs Q. | Briton Ferry | 0 | 1
Round 25,08.02.2025,Newtown,Barry,08.02.2025 | Newtown | Barry | 1 | 1
Round 25,08.02.2025,TNS,Penybont,08.02.2025 | TNS | Penybont | 4 | 0
Round 25,07.02.2025,Flint,Aberystwyth,07.02.2025 | Flint | Aberystwyth | 2 | 0
Round 24,01.02.2025,Barry,Flint,01.02.2025 | Barry | Flint | 3 | 1
Round 24,01.02.2025,Briton Ferry,Aberystwyth,01.02.2025 | Briton Ferry | Aberystwyth | 2 | 3
Round 24,01.02.2025,Connahs Q.,Newtown,01.02.2025 | Connahs Q. | Newtown | 1 | 0
Round 24,01.02.2025,TNS,Cardiff Metropolitan,01.02.2025 | TNS | Cardiff Metropolitan | 3 | 1
Round 24,01.02.2025,Penybont,Haverfordwest,01.02.2025 | Penybont | Haverfordwest | 0 | 0
Round 24,31.01.2025,Bala,Caernarfon,31.01.2025 | Bala | Caernarfon | 1 | 3
Round 23,25.01.2025,Haverfordwest,Bala,25.01.2025 | Haverfordwest | Bala | 3 | 2
Round 23,25.01.2025,Flint,Connahs Q.,25.01.2025 | Flint | Connahs Q. | 2 | 1
Round 23,24.01.2025,Aberystwyth,Barry,24.01.2025 | Aberystwyth | Barry | 1 | 2
Round 23,24.01.2025,Newtown,Briton Ferry,24.01.2025 | Newtown | Briton Ferry | 2 | 2
Round 23,24.01.2025,Cardiff Metropolitan,Penybont,24.01.2025 | Cardiff Metropolitan | Penybont | 2 | 1
Round 22,17.01.2025,Connahs Q.,Bala,17.01.2025 | Connahs Q. | Bala | 0 | 2
Round 22,14.01.2025,Barry,Haverfordwest,14.01.2025 | Barry | Haverfordwest | 1 | 1
Round 22,14.01.2025,Caernarfon,Flint,14.01.2025 | Caernarfon | Flint | 3 | 0
Round 22,14.01.2025,Cardiff Metropolitan,TNS,14.01.2025 | Cardiff Metropolitan | TNS | 0 | 2
Round 22,14.01.2025,Newtown,Penybont,14.01.2025 | Newtown | Penybont | 1 | 2
Round 22,11.01.2025,Aberystwyth,Briton Ferry,11.01.2025 | Aberystwyth | Briton Ferry | 1 | 6
Round 21,11.01.2025,Bala,Caernarfon,11.01.2025 | Bala | Caernarfon | 0 | 2
Round 19,04.01.2025,Haverfordwest,Briton Ferry,04.01.2025 | Haverfordwest | Briton Ferry | 5 | 1
Round 19,04.01.2025,Penybont,Connahs Q.,04.01.2025 | Penybont | Connahs Q. | 1 | 0
Round 19,04.01.2025,TNS,Newtown,04.01.2025 | TNS | Newtown | 2 | 1
Round 21,01.01.2025,Flint,Newtown,01.01.2025 | Flint | Newtown | 2 | 0
Round 21,01.01.2025,Haverfordwest,Aberystwyth,01.01.2025 | Haverfordwest | Aberystwyth | 1 | 0
Round 21,31.12.2024,Penybont,Cardiff Metropolitan,31.12.2024 | Penybont | Cardiff Metropolitan | 2 | 2
Round 21,31.12.2024,TNS,Connahs Q.,31.12.2024 | TNS | Connahs Q. | 2 | 1
Round 21,31.12.2024,Briton Ferry,Barry,31.12.2024 | Briton Ferry | Barry | 0 | 0
Round 20,26.12.2024,Aberystwyth,Bala,26.12.2024 | Aberystwyth | Bala | 0 | 0
Round 20,26.12.2024,Caernarfon,TNS,26.12.2024 | Caernarfon | TNS | 2 | 5
Round 20,26.12.2024,Connahs Q.,Flint,26.12.2024 | Connahs Q. | Flint | 7 | 2
Round 20,26.12.2024,Newtown,Haverfordwest,26.12.2024 | Newtown | Haverfordwest | 0 | 2
Round 20,26.12.2024,Barry,Penybont,26.12.2024 | Barry | Penybont | 1 | 2
Round 20,26.12.2024,Cardiff Metropolitan,Briton Ferry,26.12.2024 | Cardiff Metropolitan | Briton Ferry | 1 | 3
Round 4,22.12.2024,TNS,Briton Ferry,22.12.2024 | TNS | Briton Ferry | 5 | 2
Round 19,21.12.2024,Aberystwyth,Caernarfon,21.12.2024 | Aberystwyth | Caernarfon | 3 | 1
Round 19,21.12.2024,Bala,Barry,21.12.2024 | Bala | Barry | 3 | 1
Round 17,14.12.2024,Caernarfon,Barry,14.12.2024 | Caernarfon | Barry | 3 | 2
Round 19,14.12.2024,Cardiff Metropolitan,Flint,14.12.2024 | Cardiff Metropolitan | Flint | 2 | 0
Round 18,10.12.2024,Barry,Cardiff Metropolitan,10.12.2024 | Barry | Cardiff Metropolitan | 2 | 1
Round 18,04.12.2024,Bala,TNS,04.12.2024 | Bala | TNS | 1 | 0
Round 18,04.12.2024,Flint,Aberystwyth,04.12.2024 | Flint | Aberystwyth | 3 | 0
Round 18,03.12.2024,Briton Ferry,Newtown,03.12.2024 | Briton Ferry | Newtown | 2 | 1
Round 18,03.12.2024,Connahs Q.,Caernarfon,03.12.2024 | Connahs Q. | Caernarfon | 1 | 1
Round 18,03.12.2024,Penybont,Haverfordwest,03.12.2024 | Penybont | Haverfordwest | 1 | 0
Round 17,30.11.2024,Newtown,Connahs Q.,30.11.2024 | Newtown | Connahs Q. | 0 | 3
Round 17,23.11.2024,Cardiff Metropolitan,Aberystwyth,23.11.2024 | Cardiff Metropolitan | Aberystwyth | 3 | 0
Round 17,23.11.2024,Flint,Briton Ferry,23.11.2024 | Flint | Briton Ferry | 2 | 1
Round 17,23.11.2024,Haverfordwest,Bala,23.11.2024 | Haverfordwest | Bala | 0 | 0
Round 17,23.11.2024,TNS,Penybont,23.11.2024 | TNS | Penybont | 3 | 2
Round 11,20.11.2024,Briton Ferry,TNS,20.11.2024 | Briton Ferry | TNS | 3 | 1
Round 16,10.11.2024,TNS,Haverfordwest,10.11.2024 | TNS | Haverfordwest | 2 | 1
Round 16,09.11.2024,Cardiff Metropolitan,Bala,09.11.2024 | Cardiff Metropolitan | Bala | 3 | 3
Round 16,09.11.2024,Barry,Connahs Q.,09.11.2024 | Barry | Connahs Q. | 3 | 2
Round 16,09.11.2024,Briton Ferry,Caernarfon,09.11.2024 | Briton Ferry | Caernarfon | 0 | 1
Round 16,09.11.2024,Penybont,Flint,09.11.2024 | Penybont | Flint | 3 | 1
Round 16,08.11.2024,Aberystwyth,Newtown,08.11.2024 | Aberystwyth | Newtown | 3 | 1
Round 15,02.11.2024,Briton Ferry,Aberystwyth,02.11.2024 | Briton Ferry | Aberystwyth | 4 | 0
Round 15,02.11.2024,Caernarfon,Penybont,02.11.2024 | Caernarfon | Penybont | 1 | 5
Round 15,02.11.2024,Connahs Q.,Cardiff Metropolitan,02.11.2024 | Connahs Q. | Cardiff Metropolitan | 1 | 0
Round 15,02.11.2024,Haverfordwest,Flint,02.11.2024 | Haverfordwest | Flint | 4 | 1
Round 15,02.11.2024,Newtown,Bala,02.11.2024 | Newtown | Bala | 0 | 0
